Molecule ChEMBL ID,Smiles,pChEMBL Value,Target ChEMBL ID,Target Name,Cell ChEMBL ID
CHEMBL3343578,CC1=CN([C@H]2C[C@H](N=[N+]=[N-])[C@@H](COP(=O)(OCCS(=O)(=O)c3ccccc3)OCCS(=O)(=O)c4ccccc4)O2)C(=O)NC1=O,4.79,CHEMBL614508,143B,CHEMBL3307382
CHEMBL3343585,CCC(CS(=O)(=O)c1ccccc1)OP(=O)(OC[C@H]2O[C@H](C[C@@H]2N=[N+]=[N-])N3C=C(C)C(=O)NC3=O)OC(CC)CS(=O)(=O)c4ccccc4,4.91,CHEMBL614508,143B,CHEMBL3307382
CHEMBL3343580,COc1ccc(cc1)S(=O)(=O)CCOP(=O)(OCCS(=O)(=O)c2ccc(OC)cc2)OC[C@H]3O[C@H](C[C@@H]3N=[N+]=[N-])N4C=C(C)C(=O)NC4=O,5.275,CHEMBL614508,143B,CHEMBL3307382
CHEMBL170758,CCC(CC)n1c(C)cc2c3c(N)nc(N)nc3ccc12,9.1,CHEMBL614508,143B,CHEMBL3307382
CHEMBL3343583,CC(COP(=O)(OCC(C)S(=O)(=O)c1ccccc1)OC[C@H]2O[C@H](C[C@@H]2N=[N+]=[N-])N3C=C(C)C(=O)NC3=O)S(=O)(=O)c4ccccc4,4.56,CHEMBL614508,143B,CHEMBL3307382
CHEMBL3343586,CC(OP(=O)(OC[C@H]1O[C@H](C[C@@H]1N=[N+]=[N-])N2C=C(C)C(=O)NC2=O)OC(C)C(C)S(=O)(=O)c3ccccc3)C(C)S(=O)(=O)c4ccccc4,4.58,CHEMBL614508,143B,CHEMBL3307382
CHEMBL3343588,CC1=CN([C@H]2C[C@H](N=[N+]=[N-])[C@@H](COP(=O)(OCCS(=O)(=O)c3ccccc3)Oc4ccccc4)O2)C(=O)NC1=O,4.59,CHEMBL614508,143B,CHEMBL3307382
CHEMBL3343587,CC1=CN([C@H]2C[C@H](N=[N+]=[N-])[C@@H](COP(=O)(OCC(c3ccccc3)S(=O)(=O)c4ccccc4)OCC(c5ccccc5)S(=O)(=O)c6ccccc6)O2)C(=O)NC1=O,4.779999999999999,CHEMBL614508,143B,CHEMBL3307382
CHEMBL3343582,CC1=CN([C@H]2C[C@H](N=[N+]=[N-])[C@@H](COP(=O)(OCCS(=O)(=O)c3ccc(cc3)[N+](=O)[O-])OCCS(=O)(=O)c4ccc(cc4)[N+](=O)[O-])O2)C(=O)NC1=O,4.64,CHEMBL614508,143B,CHEMBL3307382
CHEMBL3786992,CNP(=O)(OC[C@H]1O[C@H](C[C@@H]1OC(=O)OC(C)(C)C)N2C=C(F)C(=O)NC2=O)Oc3ccc(Cl)cc3,5.025,CHEMBL614508,143B,CHEMBL3307382
CHEMBL3785362,CCNP(=O)(OC[C@H]1O[C@H](C[C@@H]1OC(=O)OC(C)(C)C)N2C=C(F)C(=O)NC2=O)Oc3ccc(Cl)cc3,5.2,CHEMBL614508,143B,CHEMBL3307382
CHEMBL3785842,COC(=O)[C@H](C)NP(=O)(OC[C@H]1O[C@H](C[C@@H]1O)N2C=C(F)C(=O)NC2=O)Oc3ccc(Cl)cc3,5.225,CHEMBL614508,143B,CHEMBL3307382
CHEMBL3787087,CNP(=O)(OC[C@H]1O[C@H](C[C@@H]1O)N2C=C(F)C(=O)NC2=O)Oc3ccc(Cl)cc3,5.285,CHEMBL614508,143B,CHEMBL3307382
CHEMBL3343584,CC(CS(=O)(=O)c1ccccc1)OP(=O)(OC[C@H]2O[C@H](C[C@@H]2N=[N+]=[N-])N3C=C(C)C(=O)NC3=O)OC(C)CS(=O)(=O)c4ccccc4,4.65,CHEMBL614508,143B,CHEMBL3307382
CHEMBL3785877,CC(C)(C)OC(=O)O[C@H]1C[C@@H](O[C@@H]1COP(=O)(NCC(F)(F)F)Oc2ccc(Cl)cc2)N3C=C(F)C(=O)NC3=O,6.125,CHEMBL614508,143B,CHEMBL3307382
CHEMBL3787373,CCNP(=O)(OC[C@H]1O[C@H](C[C@@H]1O)N2C=C(F)C(=O)NC2=O)Oc3ccc(Cl)cc3,5.21,CHEMBL614508,143B,CHEMBL3307382
CHEMBL3785172,O[C@H]1C[C@@H](O[C@@H]1COP(=O)(NCC(F)(F)F)Oc2ccc(Cl)cc2)N3C=C(F)C(=O)NC3=O,5.675,CHEMBL614508,143B,CHEMBL3307382
CHEMBL3787574,O[C@H]1C[C@@H](O[C@@H]1COP(=O)(NCC#C)Oc2ccc(Cl)cc2)N3C=C(F)C(=O)NC3=O,5.4250000000000025,CHEMBL614508,143B,CHEMBL3307382
CHEMBL917,OC[C@H]1O[C@H](C[C@@H]1O)N2C=C(F)C(=O)NC2=O,5.035,CHEMBL614508,143B,CHEMBL3307382
CHEMBL803,NC1=NC(=O)N(C=C1)[C@@H]2O[C@H](CO)[C@@H](O)[C@@H]2O,5.23,CHEMBL614508,143B,CHEMBL3307382
CHEMBL3786607,COC(=O)[C@H](C)NP(=O)(OC[C@H]1O[C@H](C[C@@H]1OC(=O)OC(C)(C)C)N2C=C(F)C(=O)NC2=O)Oc3ccc(Cl)cc3,5.665,CHEMBL614508,143B,CHEMBL3307382
CHEMBL3343589,CC1=CN([C@H]2C[C@H](N=[N+]=[N-])[C@@H](COP(=O)(OCCS(=O)(=O)c3ccccc3)Oc4ccc(C)cc4)O2)C(=O)NC1=O,4.55,CHEMBL614508,143B,CHEMBL3307382
CHEMBL3343592,CC1=CN([C@H]2C[C@H](N=[N+]=[N-])[C@@H](COP(=O)(OCCS(=O)(=O)c3ccccc3)Oc4ccc(Cl)cc4)O2)C(=O)NC1=O,4.61,CHEMBL614508,143B,CHEMBL3307382
CHEMBL3343579,CC1=CN([C@H]2C[C@H](N=[N+]=[N-])[C@@H](COP(=O)(OCCS(=O)(=O)c3ccc(C)cc3)OCCS(=O)(=O)c4ccc(C)cc4)O2)C(=O)NC1=O,4.71,CHEMBL614508,143B,CHEMBL3307382
CHEMBL3343581,CC1=CN([C@H]2C[C@H](N=[N+]=[N-])[C@@H](COP(=O)(OCCS(=O)(=O)c3ccc(Cl)cc3)OCCS(=O)(=O)c4ccc(Cl)cc4)O2)C(=O)NC1=O,5.085,CHEMBL614508,143B,CHEMBL3307382
CHEMBL3343590,COc1ccc(OP(=O)(OCCS(=O)(=O)c2ccccc2)OC[C@H]3O[C@H](C[C@@H]3N=[N+]=[N-])N4C=C(C)C(=O)NC4=O)cc1,4.645,CHEMBL614508,143B,CHEMBL3307382
