Molecule ChEMBL ID,Smiles,pChEMBL Value,Target ChEMBL ID,Target Name,Cell ChEMBL ID
CHEMBL3771059,CCCCn1c2ccccc2c3cc(CN4CCN(Cc5cc6c7ccccc7n(CCCC)c6c(n5)c8cc(OC)c(OC)c(OC)c8)CC4)nc(c9cc(OC)c(OC)c(OC)c9)c13,5.17,CHEMBL1075381,22RV1,CHEMBL3308004
CHEMBL3827311,CC(O)(CS(=O)(=O)c1cccc(OC(F)(F)F)c1)C(=O)Nc2cc(cc(c2)C(F)(F)F)C(F)(F)F,4.89,CHEMBL1075381,22RV1,CHEMBL3308004
CHEMBL3827373,CC(O)(CS(=O)(=O)c1ccccc1C(F)(F)F)C(=O)Nc2cc(cc(c2)C(F)(F)F)C(F)(F)F,5.03,CHEMBL1075381,22RV1,CHEMBL3308004
CHEMBL3827008,CC(O)(CS(=O)(=O)c1cc(cc(c1)C(F)(F)F)C(F)(F)F)C(=O)Nc2ccc(c(c2)C(F)(F)F)[N+](=O)[O-],5.67,CHEMBL1075381,22RV1,CHEMBL3308004
CHEMBL3827277,CC(O)(CS(=O)(=O)c1cc(cc(c1)C(F)(F)F)C(F)(F)F)C(=O)Nc2ccc(C#N)c(c2)C(F)(F)F,5.51,CHEMBL1075381,22RV1,CHEMBL3308004
CHEMBL3828469,CC(O)(COc1cc(cc(c1)C(F)(F)F)C(F)(F)F)C(=O)Nc2ccc(c(c2)C(F)(F)F)[N+](=O)[O-],5.96,CHEMBL1075381,22RV1,CHEMBL3308004
CHEMBL3827581,CC(O)(CSc1ccccc1OC(F)(F)F)C(=O)Nc2cc(cc(c2)C(F)(F)F)C(F)(F)F,5.53,CHEMBL1075381,22RV1,CHEMBL3308004
CHEMBL3828594,CC(O)(CSc1cccc(c1)C(F)(F)F)C(=O)Nc2cc(cc(c2)C(F)(F)F)C(F)(F)F,5.01,CHEMBL1075381,22RV1,CHEMBL3308004
CHEMBL3827956,CC(O)(CSc1cc(cc(c1)C(F)(F)F)C(F)(F)F)C(=O)Nc2ccc(cc2C(F)(F)F)C#N,5.33,CHEMBL1075381,22RV1,CHEMBL3308004
CHEMBL3828139,CC(O)(CSc1cc(cc(c1)C(F)(F)F)C(F)(F)F)C(=O)Nc2ccc(c(c2)C(F)(F)F)[N+](=O)[O-],5.82,CHEMBL1075381,22RV1,CHEMBL3308004
