Molecule ChEMBL ID,Smiles,pChEMBL Value,Target ChEMBL ID,Target Name,Cell ChEMBL ID
CHEMBL9941,COc1ccc(\C=C\C(=O)c2cc(OC)c(OC)c(OC)c2)cc1O,7.3,CHEMBL1075387,8505C,CHEMBL3308353
CHEMBL1089817,CC(=C)[C@@H]1CC[C@@]2(CC[C@]3(C)[C@H](CC[C@@H]4[C@@]5(C)CC[C@H](O)C(C)(C)[C@@H]5CC[C@@]34C)[C@@H]12)[C@H]6CCC(=O)O6,4.65,CHEMBL1075387,8505C,CHEMBL3308353
CHEMBL598982,CC(=C)[C@@H]1CC[C@@]2(CC[C@]3(C)[C@H](CC[C@@H]4[C@@]5(C)CC[C@H](O)C(C)(C)[C@@H]5CC[C@@]34C)[C@@H]12)[C@@H]6CO6,4.65,CHEMBL1075387,8505C,CHEMBL3308353
CHEMBL2151733,C[C@]12CC[C@@](C)(C[C@H]1C3=CC(=O)[C@@H]4[C@@]5(C)CC[C@H](OC(=O)CNCCCN)C(C)(C)[C@@H]5CC[C@@]4(C)[C@]3(C)CC2)C(=O)OCc6ccccc6,5.68,CHEMBL1075387,8505C,CHEMBL3308353
CHEMBL2151613,COC(=O)[C@@]1(C)CC[C@]2(C)CC[C@]3(C)C(=CC(=O)[C@@H]4[C@@]5(C)CC\C(=N/OC(=O)[C@H](C)NC(=O)OC(C)(C)C)\C(C)(C)[C@@H]5CC[C@@]34C)[C@@H]2C1,4.81,CHEMBL1075387,8505C,CHEMBL3308353
CHEMBL1085718,CCNC(=O)O[C@H]1CC[C@@]2(C)[C@@H](CC[C@]3(C)[C@@H]2CC[C@@H]4[C@H]5[C@@H](CC[C@]5(COC(=O)C)CC[C@@]34C)C(=C)C)C1(C)C,5.3,CHEMBL1075387,8505C,CHEMBL3308353
CHEMBL2392560,COC(=O)[C@@]1(C)CC[C@]2(C)CC[C@]3(C)c4c([se]c1c24)C(=O)[C@@H]5[C@@]6(C)CC[C@H](OC(=O)C)C(C)(C)[C@@H]6CC[C@@]35C,4.38,CHEMBL1075387,8505C,CHEMBL3308353
CHEMBL3086606,CCCCOC(=O)[C@]12CCC(C)(C)C[C@H]1C3=CC[C@@H]4[C@@]5(C)C[C@@H](O)[C@H](O)C(C)(C)[C@@H]5CC[C@@]4(C)[C@]3(C)CC2,4.86,CHEMBL1075387,8505C,CHEMBL3308353
CHEMBL2151615,COC(=O)[C@@]1(C)CC[C@]2(C)CC[C@]3(C)C(=CC(=O)[C@@H]4[C@@]5(C)CC[C@H](OC(=O)[C@@H](N)CSSC[C@H](N)C(=O)O[C@H]6CC[C@@]7(C)[C@@H](CC[C@]8(C)[C@@H]7C(=O)C=C9[C@@H]%10C[C@](C)(CC[C@]%10(C)CC[C@@]89C)C(=O)OC)C6(C)C)C(C)(C)[C@@H]5CC[C@@]34C)[C@@H]2C1,4.82,CHEMBL1075387,8505C,CHEMBL3308353
CHEMBL1269532,Cl.COC(=O)[C@@]1(C)CC[C@]2(C)CC[C@]3(C)C(=CC(=O)[C@@H]4[C@@]5(C)CC[C@H](OC(=O)CN)C(C)(C)[C@@H]5CC[C@@]34C)[C@@H]2C1,5.24,CHEMBL1075387,8505C,CHEMBL3308353
CHEMBL1090337,COC(=O)C#C[C@@H](O)[C@]12CC[C@H]([C@@H]1[C@H]3CC[C@@H]4[C@@]5(C)CC[C@H](OC(=O)C)C(C)(C)[C@@H]5CC[C@@]4(C)[C@]3(C)CC2)C(=C)C,5.44,CHEMBL1075387,8505C,CHEMBL3308353
CHEMBL1269530,C[C@H](N)C(=O)O[C@H]1CC[C@@]2(C)[C@@H](CC[C@]3(C)[C@@H]2C(=O)C=C4[C@@H]5C[C@](C)(CC[C@]5(C)CC[C@@]34C)C(=O)OCc6ccccc6)C1(C)C,5.51,CHEMBL1075387,8505C,CHEMBL3308353
