Molecule ChEMBL ID,Smiles,pChEMBL Value,Target ChEMBL ID,Target Name,Cell ChEMBL ID
CHEMBL136396,CC1=C[C@H]2O[C@@H]3[C@H](O)[C@H]4OC(=O)\C=C/C=C/C(=O)OCC\C(=C\C(=O)OC[C@@]2(CC1)[C@]4(C)[C@]35CO5)\C,7.28,CHEMBL614516,A498,CHEMBL3308425
CHEMBL266434,C\C=C/1\NC(=O)[C@H](CO)NC(=O)\C(=C\C)\NC(=O)[C@H](Cc2ccccc2)NC(=O)[C@@H]3CCCN3C(=O)CNC(=O)[C@H](CCC(=O)N)NC(=O)C(O)C(C[C@H](CC(O)C(O)CC(C)C)OC(=O)[C@H](CC(C)C)N(C)C(=O)C)NC(=O)[C@@H]4CCCN4C(=O)[C@H](CCc5ccccc5)NC(=O)C(NC1=O)C(C)O,5.58,CHEMBL614516,A498,CHEMBL3308425
CHEMBL384522,CC(Cc1ccccc1)C(=O)SCCCCCCC(=O)Nc2nc(cs2)c3ccccc3,5.58,CHEMBL614516,A498,CHEMBL3308425
CHEMBL440614,CC(C)C[C@H](NC(=O)[C@@H](N)Cc1ccccc1)C(=O)NCC(=O)N[C@@H](Cc2c[nH]c3ccccc23)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](Cc4ccccc4)C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](C(C)C)C(=O)N[C@@H](C)C(=O)N[C@@H](CO)C(=O)N[C@@H](CCCCN)C(=O)O,4.25,CHEMBL614516,A498,CHEMBL3308425
CHEMBL466975,CC(C)CCCCCCCCCCC\C(=C\1/C(=O)C(C)N(C)C1=O)\O,5.47,CHEMBL614516,A498,CHEMBL3308425
CHEMBL2420798,COc1ccccc1C2=CC(=O)Nc3cc4OCOc4cc23,5.01,CHEMBL614516,A498,CHEMBL3308425
CHEMBL3322970,CC(=CCC\C(=C\[C@@H]1CC(=C[C@]2(O1)O[C@@H]3C=C(C)C(=O)C[C@@H]3C(=C2)CO)C)\C)C,5.36,CHEMBL614516,A498,CHEMBL3308425
CHEMBL590715,CC[C@@]1(O)C(=O)OCC2=C1C=C3N(Cc4c(\C=N\OCCNC(=O)CCC(=O)NCc5ccc(C[C@@H]6NC(=O)[C@@H](Cc7ccccc7)NC(=O)[C@H](CC(=O)O)NC(=O)CNC(=O)[C@H](CCCNC(=N)N)NC6=O)cc5)c8ccccc8nc34)C2=O,5.37,CHEMBL614516,A498,CHEMBL3308425
CHEMBL136268,C[C@H](O)[C@@H]1OCC\C(=C\C(=O)OC[C@]23CCC(=C[C@H]2O[C@@H]4[C@H](O)[C@@H](OC(=O)\C=C/C=C/1)[C@@]3(C)[C@]45CO5)C)\C,7.72,CHEMBL614516,A498,CHEMBL3308425
CHEMBL2413507,OCc1oc2c3ccccc3n(Cc4ccc(F)cc4)c2c1,6.16,CHEMBL614516,A498,CHEMBL3308425
CHEMBL368036,CC(C)C(=O)SCCCCCCC(=O)Nc1nc(cs1)c2ccccc2,5.17,CHEMBL614516,A498,CHEMBL3308425
CHEMBL265607,CO[C@H]1O[C@H](CO)[C@@H](O)[C@@H](O)[C@H]1OC(=O)CCC(=O)O[C@H]([C@@H](NC(=O)c2ccccc2)c3ccccc3)C(=O)O[C@H]4C[C@@]5(O)[C@@H](OC(=O)c6ccccc6)[C@@H]7[C@@]8(CO[C@@H]8C[C@H](O)[C@@]7(C)C(=O)[C@H](OC(=O)C)C(=C4C)C5(C)C)OC(=O)C,6.59,CHEMBL614516,A498,CHEMBL3308425
CHEMBL553205,CC[C@@H](C)[C@@H]1NC(=O)[C@@H]2CCCN2C(=O)[C@H](CC(C)C)NC(=O)[C@@H]3CCCN3C(=O)[C@@H](NC(=O)[C@@H]4CCCN4CC(=O)[C@H](Cc5ccccc5)NC1=O)C(C)C,5.75,CHEMBL614516,A498,CHEMBL3308425
CHEMBL85702,CCOP(=O)(OCC)N(C)\N=N/C,4.66,CHEMBL614516,A498,CHEMBL3308425
CHEMBL435984,C[C@@H]1O[C@H]2C\C(=C\C(=O)OC[C@]34CCC(=C[C@H]3O[C@@H]5[C@H](O)[C@@H](OC(=O)\C=C/C=C/[C@@H]1O2)[C@@]4(C)[C@]56CO6)C)\C,6.23,CHEMBL614516,A498,CHEMBL3308425
CHEMBL2441788,COc1cc(ccc1Cl)c2nn(cc2c3ccncc3)c4cccc(NC(=O)Nc5ccc(Cl)c(Cl)c5)c4,5.94,CHEMBL614516,A498,CHEMBL3308425
CHEMBL428647,CC(=O)O[C@H]1C(=O)[C@]2(C)[C@@H](O)C[C@H]3OC[C@@]3(OC(=O)C)[C@H]2[C@H](OC(=O)c4ccccc4)[C@]5(O)C[C@H](OC(=O)[C@H](O)[C@@H](NC(=O)c6ccccc6)c7ccccc7)C(=C1C5(C)C)C,6.4875000000000025,CHEMBL614516,A498,CHEMBL3308425
CHEMBL2441800,Oc1cc(ccc1Cl)c2nn(cc2c3ccncc3)c4cccc(NC(=O)Nc5cc(cc(c5)C(F)(F)F)C(F)(F)F)c4,6.1,CHEMBL614516,A498,CHEMBL3308425
CHEMBL2441799,Oc1cc(ccc1Cl)c2nn(cc2c3ccncc3)c4cccc(NC(=O)Nc5ccc(Cl)c(c5)C(F)(F)F)c4,5.85,CHEMBL614516,A498,CHEMBL3308425
CHEMBL519923,C[C@@H]1NC(=O)CC\C=C\CCCOC(=O)C[C@@H](NC(=O)[C@@H](Cc2c[nH]c3ccccc23)NC1=O)c4ccccc4,4.6,CHEMBL614516,A498,CHEMBL3308425
CHEMBL333985,OCc1oc(cc1)c2nn(Cc3ccccc3)c4ccccc24,6.4899999999999975,CHEMBL614516,A498,CHEMBL3308425
CHEMBL2413617,OCc1oc2c3ccccc3n(Cc4cccc(Cl)c4)c2c1,5.96,CHEMBL614516,A498,CHEMBL3308425
CHEMBL136053,C[C@H](O)[C@@H](O)\C=C\C=C/C(=O)O[C@@H]1CC2O[C@@H]3C=C(C)CC[C@]3(COC(=O)\C=C(/C)\CCO)[C@]1(C)[C@]24CO4,5.16,CHEMBL614516,A498,CHEMBL3308425
CHEMBL59962,Cc1c2cccc2c(OCCO)cc3c4ccccc4[nH]c13,4.86,CHEMBL614516,A498,CHEMBL3308425
CHEMBL334648,C[C@@H](O)[C@@H]1OCC[C@@H](C)[C@H](O)C(=O)OC[C@]23CCC(=C[C@H]2O[C@@H]4C[C@@H](OC(=O)\C=C/C=C/1)[C@@]3(C)[C@]45CO5)C,6.5,CHEMBL614516,A498,CHEMBL3308425
CHEMBL393690,COc1ccc(cc1)C(=O)O[C@@H]2[C@@H](O)[C@H](O)CO[C@H]2O[C@@H]3[C@H](O)CO[C@H](O[C@H]4C[C@H]5[C@@H]6CCc7cc(O)ccc7[C@H]6CC[C@]5(C)[C@@]4(O)[C@H](C)C(=O)CCC(C)C)[C@H]3OC(=O)C,6.37,CHEMBL614516,A498,CHEMBL3308425
CHEMBL335603,CC(OC(=O)C)[C@@H](O)\C=C\C=C/C(=O)O[C@@H]1CC2O[C@@H]3C=C(C)CC[C@]3(COC(=O)\C=C(/C)\CCO)[C@]1(C)[C@]24CO4,5.62,CHEMBL614516,A498,CHEMBL3308425
CHEMBL442115,CC[C@H](C)[C@H](NC(=O)[C@H](C)NC(=O)[C@H](CS)NC(=O)[C@H](CCCCN)NC(=O)[C@@H](NC(=O)[C@H](CO)NC(=O)[C@@H]1CCCN1C(=O)[C@H](CC(C)C)NC(=O)[C@@H](NC(=O)[C@H](CCCCN)NC(=O)[C@H](CO)NC(=O)[C@H](C)NC(=O)[C@@H](NC(=O)[C@H](CCCCN)NC(=O)[C@H](Cc2ccccc2)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](C)NC(=O)CNC(=O)[C@H](CC(C)C)NC(=O)[C@@H](N)Cc3ccccc3)C(C)C)C(C)C)C(C)C)C(=O)N[C@@H]([C@@H](C)O)C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](CS)C(=O)O,4.27,CHEMBL614516,A498,CHEMBL3308425
CHEMBL398092,COc1ccc(cc1)C(=O)O[C@@H]2[C@@H](O)[C@H](O)CO[C@H]2O[C@@H]3[C@H](F)CO[C@H](O[C@H]4C[C@H]5[C@@H]6CCc7cc(O)ccc7[C@H]6CC[C@]5(C)[C@@]4(O)[C@H](C)C(=O)CCC(C)C)[C@H]3OC(=O)C,6.52,CHEMBL614516,A498,CHEMBL3308425
CHEMBL84852,CCOC(=O)N(C)\N=N/C,4.46,CHEMBL614516,A498,CHEMBL3308425
CHEMBL1790020,[Cl-].[Cl-].CN=C1C=CC(=C(c2ccc(cc2)N(C)C)c3ccc(cc3)N(C)C)C=C1.CN(C)c4ccc(cc4)C(=C5C=CC(=[N+](C)C)C=C5)c6ccc(cc6)N(C)C.CN(C)c7ccc(cc7)C(=C8C=CC(=[N+](C)C)C=C8)c9ccc(cc9)N(C)C,7.24,CHEMBL614516,A498,CHEMBL3308425
CHEMBL2179417,CC1=C([Se]CC(OC(=O)[C@@H](CO)NC(=O)OC(C)(C)C)C(=O)NCCCCCC(=O)OCc2ccccc2)C(=O)c3ccccc3C1=O,5.3,CHEMBL614516,A498,CHEMBL3308425
CHEMBL2179419,CC1=C([Se]CC(OC(=O)[C@@H](CSSC(C)(C)C)NC(=O)C(C)(C)C)C(=O)NCCCCCC(=O)OCc2ccccc2)C(=O)c3ccccc3C1=O,4.89,CHEMBL614516,A498,CHEMBL3308425
CHEMBL351001,CCCNP(=O)(OCc1oc(cc1)[N+](=O)[O-])N(CCCl)CCCl,5.85,CHEMBL614516,A498,CHEMBL3308425
CHEMBL2316705,O=C(COc1ccc2NC(=O)CCc2c1)Nc3ccc(cc3)c4ccccc4,4.8,CHEMBL614516,A498,CHEMBL3308425
CHEMBL341800,C[C@H](O)[C@@H]1OCC[C@@H](C)[C@H](O)C(=O)OC[C@]23CCC(=C[C@H]2O[C@@H]4C[C@@H](OC(=O)\C=C/C=C/1)[C@@]3(C)[C@]45CO5)C,8.22,CHEMBL614516,A498,CHEMBL3308425
CHEMBL2316704,COc1ccc(NC(=O)COc2ccc3NC(=O)CCc3c2)cc1,4.96,CHEMBL614516,A498,CHEMBL3308425
CHEMBL87938,CCOC(=O)N(C)\N=N/CCCl,4.8,CHEMBL614516,A498,CHEMBL3308425
CHEMBL86892,CNC(=O)N(C)\N=N/C,4.43,CHEMBL614516,A498,CHEMBL3308425
CHEMBL2069708,CCN(CC)CC(=O)Nc1cccc(c1)n2cc(nn2)c3ccc4ccc(cc4c3)c5cn(nn5)c6cccc(NC(=O)CN(CC)CC)c6,5.6,CHEMBL614516,A498,CHEMBL3308425
CHEMBL351028,Nc1nc(O)c2nc(CNc3ccc(cc3)C(=O)NC(CCCCNP(=O)(OCc4oc(cc4)[N+](=O)[O-])N(CCBr)CCBr)C(=O)O)cnc2n1,4.84,CHEMBL614516,A498,CHEMBL3308425
CHEMBL2441804,Oc1cc(ccc1Cl)c2nn(cc2c3ccncc3)c4cccc(NC(=O)c5ccc(N6CCOCC6)c(c5)C(F)(F)F)c4,4.81,CHEMBL614516,A498,CHEMBL3308425
CHEMBL2441797,Oc1cc(ccc1Cl)c2nn(cc2c3ccncc3)c4cccc(NC(=O)Nc5ccc(Cl)c(Cl)c5)c4,6.03,CHEMBL614516,A498,CHEMBL3308425
CHEMBL939,COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1OCCCN4CCOCC4,5.355,CHEMBL614516,A498,CHEMBL3308425
CHEMBL220241,CCn1c(nc2cnc(Oc3cccc(NC(=O)c4ccc(OCCN5CCOCC5)cc4)c3)cc12)c6nonc6N,4.28,CHEMBL614516,A498,CHEMBL3308425
CHEMBL2179418,CC1=C([Se]CC(OC(=O)CNC(=O)OC(C)(C)C)C(=O)NCCCCCC(=O)OCc2ccccc2)C(=O)c3ccccc3C1=O,5.16,CHEMBL614516,A498,CHEMBL3308425
CHEMBL136186,C[C@@H](O)[C@@H](O)\C=C\C=C/C(=O)O[C@@H]1CC2O[C@@H]3C=C(C)CC[C@]3(COC(=O)\C=C(/C)\CCO)[C@]1(C)[C@]24CO4,5.09,CHEMBL614516,A498,CHEMBL3308425
CHEMBL38957,CC(=O)Nc1ccc2[nH]c(cc2c1)C(=O)Nc3ccc4[nH]c(cc4c3)C(=O)N5CC(CCl)c6c5cc(O)c7ccccc67,8.4,CHEMBL614516,A498,CHEMBL3308425
CHEMBL87769,CNC(=O)N(C)\N=N/CCCl,4.7,CHEMBL614516,A498,CHEMBL3308425
CHEMBL3608816,COc1ccccc1Cn2c3ccccc3c4cc(ncc24)C(=O)O,5.12,CHEMBL614516,A498,CHEMBL3308425
CHEMBL9470,CC(=CC[C@@H](O)C1=CC(=O)c2c(O)ccc(O)c2C1=O)C,7.09,CHEMBL614516,A498,CHEMBL3308425
CHEMBL2064393,Cc1c(COc2cccc(Nc3ncnc4cc5OC(=O)N(CCCN6CCOCC6)c5cc34)c2)nccc1OCC(F)(F)F,4.45,CHEMBL614516,A498,CHEMBL3308425
CHEMBL2441796,COc1cc(ccc1Cl)c2nn(cc2c3ccncc3)c4cccc(NC(=O)c5ccc(N6CCOCC6)c(c5)C(F)(F)F)c4,6.64,CHEMBL614516,A498,CHEMBL3308425
CHEMBL412142,Cc1c[nH]c(n1)c2cnc(NCCNc3ccc(cn3)C#N)nc2c4ccc(Cl)cc4Cl,5.88,CHEMBL614516,A498,CHEMBL3308425
CHEMBL135561,COC(=O)[C@H](CCSC)NC(=O)c1ccc(NC[C@@H](N)CS)cc1c2ccccc2,5.97,CHEMBL614516,A498,CHEMBL3308425
CHEMBL521851,CS(=O)(=O)N1CCN(Cc2cc3nc(nc(N4CCOCC4)c3s2)c5cccc6[nH]ncc56)CC1,5.88,CHEMBL614516,A498,CHEMBL3308425
CHEMBL2413504,OCc1oc2c3ccccc3n(Cc4ccccc4)c2c1,6.62,CHEMBL614516,A498,CHEMBL3308425
CHEMBL603469,C[C@]12O[C@H](C[C@]1(O)CO)n3c4ccccc4c5c6C(=O)NCc6c7c8ccccc8n2c7c35,6.66,CHEMBL614516,A498,CHEMBL3308425
CHEMBL159380,NC(CCCCNP(=O)(OCc1oc(cc1)[N+](=O)[O-])N(CCCl)CCCl)C(=O)O,4.58,CHEMBL614516,A498,CHEMBL3308425
CHEMBL1813658,COc1ccc(\C=C(/NC=O)\C(=C\c2ccc(O)cc2)\NC=O)cc1,5.76,CHEMBL614516,A498,CHEMBL3308425
CHEMBL2338631,CC(=CCC\C(=C\CC\C(=C\[C@@H](O)CC(=C)[C@H]1CC(=O)C(=C[C@H]1O)C)\C)\C)C,5.31,CHEMBL614516,A498,CHEMBL3308425
CHEMBL2338629,CC(=CCC\C(=C\[C@@H]1CC(=C[C@]2(O1)O[C@@H]3C=C(C)[C@H](O)C[C@@H]3C(=C2)C=O)C)\C)C,5.01,CHEMBL614516,A498,CHEMBL3308425
