Molecule ChEMBL ID,Smiles,pChEMBL Value,Target ChEMBL ID,Target Name,Cell ChEMBL ID
CHEMBL234318,CO\N=C\1/NC=Nc2c1[n+](C\C=C(/C)\CC\C=C(/C)\CC\C=C(/C)\CCC=C(C)C)cn2C,5.13,CHEMBL614519,ACHN,CHEMBL3307633
CHEMBL65633,COc1cc(cc(OC)c1OC)N2C(C(O)C2=O)c3ccc4OCOc4c3,5.67,CHEMBL614519,ACHN,CHEMBL3307633
CHEMBL455132,O=C1NN(C(=O)C2(CSC3=C2C(=O)c4ncccc4C3=O)N1)c5ccccc5,6.03,CHEMBL614519,ACHN,CHEMBL3307633
CHEMBL454889,[O-][N+](=O)c1ccc(cc1)N2NC(=O)NC3(CSC4=C3C(=O)c5ncccc5C4=O)C2=O,6.19,CHEMBL614519,ACHN,CHEMBL3307633
CHEMBL87702,Clc1ccc2c(c1)c(N=O)c3c4ccccc4nnn23,5.58,CHEMBL614519,ACHN,CHEMBL3307633
CHEMBL453902,CCCCc1ccc(cc1)N2C(=O)NC3(CSC4=C3C(=O)c5ncccc5C4=O)C2=O,7.3,CHEMBL614519,ACHN,CHEMBL3307633
CHEMBL61102,COc1ccc(cc1N)C2C(OC(=O)C)C(=O)N2c3cc(OC)c(OC)c(OC)c3,6.82,CHEMBL614519,ACHN,CHEMBL3307633
CHEMBL1096928,Cc1cc2c([se]1)c(nn2c3ccccc3)c4oc(CO)cc4,5.72,CHEMBL614519,ACHN,CHEMBL3307633
CHEMBL483758,COc1ccc(cc1)C2=CC(=O)c3c(O)c(OC)c(OCCN4CCCCC4)cc3O2,4.03,CHEMBL614519,ACHN,CHEMBL3307633
CHEMBL1554,CC(C)[C@H]1NC(=O)[C@@H](NC(=O)C2=C(N)C(=O)C(=C3Oc4c(C)ccc(C(=O)N[C@H]5[C@@H](C)OC(=O)[C@H](C(C)C)N(C)C(=O)CN(C)C(=O)[C@@H]6CCCN6C(=O)[C@H](NC5=O)C(C)C)c4N=C23)C)[C@@H](C)OC(=O)[C@H](C(C)C)N(C)C(=O)CN(C)C(=O)[C@@H]7CCCN7C1=O,8.3,CHEMBL614519,ACHN,CHEMBL3307633
CHEMBL197088,COc1ccc(cc1)C2=CC(=O)c3c(O)c(OC)c(O[C@@H]4OC(CO[C@@H]5OC(C)[C@H](O)[C@H](O)C5OC(=O)C)[C@@H](O)[C@H](O)C4O)cc3O2,4.87,CHEMBL614519,ACHN,CHEMBL3307633
CHEMBL422497,O=C1C=C2Oc3ccccc3N=C2c4ccncc14,4.64,CHEMBL614519,ACHN,CHEMBL3307633
CHEMBL2314086,COc1cc(cc(OC)c1OC)[C@H]2[C@@H]3[C@H](COC3=O)[C@H](NC(=O)c4cc(on4)c5ccc(C)cc5)c6cc7OCOc7cc26,4.54,CHEMBL614519,ACHN,CHEMBL3307633
