Molecule ChEMBL ID,Smiles,pChEMBL Value,Target ChEMBL ID,Target Name,Cell ChEMBL ID
CHEMBL1277823,COc1ccc(OC)c(NC2=CC(=O)c3c(C2=O)c(C)nc4N(C)C(=O)N(C)C(=O)c34)c1,4.5,CHEMBL613860,AGS,CHEMBL3308078
CHEMBL1812613,COc1ccc(OC)c(NC2=CC(=O)c3cnc4CCCC(=O)c4c3C2=O)c1,4.48,CHEMBL613860,AGS,CHEMBL3308078
CHEMBL1812614,CN(C1=CC(=O)c2cnc3CCCC(=O)c3c2C1=O)c4ccccc4,5.08,CHEMBL613860,AGS,CHEMBL3308078
CHEMBL1812622,O=C1CCCc2nc(c3occc3)c4C(=O)C(=CC(=O)c4c12)Nc5ccccc5,6.24,CHEMBL613860,AGS,CHEMBL3308078
CHEMBL1812610,CCN(C1=CC(=O)c2c(cnc3CCCC(=O)c23)C1=O)c4ccccc4,5.36,CHEMBL613860,AGS,CHEMBL3308078
CHEMBL492906,COC(=O)c1c(C)nc(C)c2C(=O)C(=CC(=O)c12)Nc3cc(OC)ccc3OC,4.7,CHEMBL613860,AGS,CHEMBL3308078
CHEMBL492734,COC(=O)c1c(C)nc(C)c2C(=O)C(=CC(=O)c12)N(C)c3ccccc3,5.48,CHEMBL613860,AGS,CHEMBL3308078
CHEMBL552969,C=CCCC[C@@H]1NCCc2c1[nH]c3ccccc23,4.84,CHEMBL613860,AGS,CHEMBL3308078
CHEMBL611977,CCCCCCCCC1=C(OC)C(=O)C2=C(C1=O)S(=O)(=O)CCN2,5.14,CHEMBL613860,AGS,CHEMBL3308078
CHEMBL2146570,[Br-].CCCCCCCCCCCCCC[N+](C)(C)CCCCOc1cc(O)c2C(=O)c3c(O)cc(C)cc3C(=O)c2c1,4.77,CHEMBL613860,AGS,CHEMBL3308078
CHEMBL563450,Brc1ccc2c3CCN4CCCC[C@H]4c3[nH]c2c1,4.18,CHEMBL613860,AGS,CHEMBL3308078
CHEMBL552286,CN1CCc2c3[C@@H]1CCC[C@H](O)n3c4cc(Br)ccc24,4.51,CHEMBL613860,AGS,CHEMBL3308078
CHEMBL388964,CC(C)C1=CC(=O)c2c3C=CCC(C)(C)c3ccc2C1=O,4.5600000000000005,CHEMBL613860,AGS,CHEMBL3308078
CHEMBL561687,CN1CCc2c3[C@@H]1CCC=Cn3c4ccccc24,4.38,CHEMBL613860,AGS,CHEMBL3308078
CHEMBL228657,C\C(=C/C=C/C(=C/1\C(=O)C[C@H]2[C@@]3(C)CC[C@H](O)C(C)(C)[C@@H]3CC[C@]12C)/C)\C=C\C=C(/C)\C(=O)O,5.68,CHEMBL613860,AGS,CHEMBL3308078
CHEMBL1163527,Cl.NCCC(=O)N1CCc2c([nH]c3c(Cl)cccc23)C1c4cccc(O)c4,5.88,CHEMBL613860,AGS,CHEMBL3308078
CHEMBL221137,CCCCCCCCCCCC1=C(O)C(=O)C=C(O)C1=O,5.06,CHEMBL613860,AGS,CHEMBL3308078
CHEMBL2107358,COC1=CC(=N/C/1=C\c2[nH]c(C)cc2C)c3cc4ccccc4[nH]3.CS(=O)(=O)O,6.41,CHEMBL613860,AGS,CHEMBL3308078
CHEMBL92531,COc1ccc(cc1)C(=O)OC2C(O)C(O)COC2OC3C(O)COC(O[C@H]4CC5C6CC=C7C[C@@H](O)CC[C@]7(C)C6CC([C@H](C)C(O)CCC(C)C)[C@]5(C)[C@@H]4O)C3OC(=O)C,5.14,CHEMBL613860,AGS,CHEMBL3308078
CHEMBL1277271,CCN(C1=CC(=O)c2c3C(=O)N(C)C(=O)N(C)c3nc(C)c2C1=O)c4ccccc4,4.72,CHEMBL613860,AGS,CHEMBL3308078
