Molecule ChEMBL ID,Smiles,pChEMBL Value,Target ChEMBL ID,Target Name,Cell ChEMBL ID
CHEMBL232215,C[C@@H](\C=C/C=C)[C@@H]1OC(=O)\C=C/C=C/[C@@H](C)[C@@H](O)C[C@@H](O)\C=C/[C@H](C)[C@H](O)[C@@H](C)C[C@@H](C)CC[C@@H](O)[C@@H]1C,6.39,CHEMBL612588,ASPC1,CHEMBL3307994
CHEMBL257328,C[C@@H](\C=C/C=C)[C@@H]1OC(=O)\C=C/C=C/[C@@H](C)[C@@H](O)C[C@H](O)CC[C@H](C)[C@H](O)[C@@H](C)C[C@@H](C)CC[C@@H](O)[C@@H]1C,7.37,CHEMBL612588,ASPC1,CHEMBL3307994
CHEMBL474680,C[C@@H](\C=C/C=C)[C@H](O)[C@@H](C)[C@H]1CC[C@H](C)C[C@H](C)[C@@H](O)[C@@H](C)\C=C/[C@@H](O)C[C@H](O)[C@H](C)\C=C\CCC(=O)O1,5.51,CHEMBL612588,ASPC1,CHEMBL3307994
CHEMBL203996,Nc1ccccc1C(=O)NC(=O)Nc2ccc(Sc3ncc(Br)cn3)cc2,6.35,CHEMBL612588,ASPC1,CHEMBL3307994
CHEMBL206073,[O-][N+](=O)c1ccccc1C(=O)NC(=O)Nc2ccc(Oc3ncc(Br)cn3)cc2,6.11,CHEMBL612588,ASPC1,CHEMBL3307994
CHEMBL184948,COc1cc2Cc3c(Nc4cccc(c4)C(F)(F)F)[nH]nc3c2cc1OC,6.54,CHEMBL612588,ASPC1,CHEMBL3307994
CHEMBL121161,COc1cc2Cc3c(n[nH]c3c2cc1OC)c4ccccc4,5.17,CHEMBL612588,ASPC1,CHEMBL3307994
CHEMBL2147680,COC(=O)[C@]12CC[C@@H](C)[C@H](C)[C@H]1C3=CC(=O)[C@@H]4[C@@]5(C)C\C(=C\O)\C(=O)C(C)(C)[C@@H]5CC[C@@]4(C)[C@]3(C)CC2,5.05,CHEMBL612588,ASPC1,CHEMBL3307994
CHEMBL2147691,C[C@@H]1CC[C@@]2(CC[C@]3(C)C(=CC(=O)[C@@H]4[C@@]5(C)CCC(=O)C(C)(C)[C@@H]5CC[C@@]34C)[C@@H]2[C@H]1C)C(=O)n6ccnc6,4.93,CHEMBL612588,ASPC1,CHEMBL3307994
CHEMBL2147701,COC(=O)[C@]12CC[C@@H](C)[C@H](C)[C@H]1C3=CC[C@@H]4[C@@]5(C)C\C(=C\n6cnnc6)\C(=O)C(C)(C)[C@@H]5CC[C@@]4(C)[C@]3(C)CC2,5.72,CHEMBL612588,ASPC1,CHEMBL3307994
