Molecule ChEMBL ID,Smiles,pChEMBL Value,Target ChEMBL ID,Target Name,Cell ChEMBL ID
CHEMBL1097731,COc1ccc(O)c2C(=O)C=C(CCC=C(C)C)C(=O)c12,5.15,CHEMBL1075393,AU565,CHEMBL3308095
CHEMBL513640,CC(=CC[C@H](OC(=O)C=C(C)C)C1=CC(=O)c2c(O)ccc(O)c2C1=O)C,6.21,CHEMBL1075393,AU565,CHEMBL3308095
CHEMBL3287935,C[C@]12CC[C@H]3[C@@H](CCc4cc(OCCN5CCOCC5)c(cc34)[N+](=O)[O-])[C@@H]1CC[C@@H]2O,5.64,CHEMBL1075393,AU565,CHEMBL3308095
CHEMBL2441607,CC[C@@]1(C[C@H]2CN(CCc3c([nH]c4ccccc34)[C@@](C2)(C(=O)OC)c5cc6c(cc5OC)N(C)[C@H]7[C@](O)([C@H](OC(=O)C)[C@]8(CC)C=CCN9CC[C@]67[C@H]89)C(=O)OC)C1)NC(=O)N%10CCC=CC%10,9.82,CHEMBL1075393,AU565,CHEMBL3308095
CHEMBL1091644,C[C@@]1(O)C[C@@H](C1)c2nc(c3ccc4ccc(nc4c3)c5ccccc5)c6c(N)nccn26,4.24,CHEMBL1075393,AU565,CHEMBL3308095
CHEMBL252164,CCNC(=O)c1noc(c2cc(C(C)C)c(O)cc2O)c1c3ccc(CN4CCOCC4)cc3,6.93,CHEMBL1075393,AU565,CHEMBL3308095
CHEMBL573107,CC(C)CCN1C(C)C(=O)N(C)c2cnc(Nc3cc(F)c(O)c(F)c3)nc12,4.64,CHEMBL1075393,AU565,CHEMBL3308095
CHEMBL2134202,CCc1cncnc1N2CCN(Cc3nc4cc(ccc4[nH]3)C(F)(F)F)CC2,4.28,CHEMBL1075393,AU565,CHEMBL3308095
CHEMBL1823147,COc1ccc2c(C(=O)c3cc(OC)c(OC)c(OC)c3)c(C)oc2c1O,8.24,CHEMBL1075393,AU565,CHEMBL3308095
CHEMBL1097732,COc1ccc(O)c2C(=O)C(=CC(=O)c12)[C@H](CC=C(C)C)OC(=O)C,6.23,CHEMBL1075393,AU565,CHEMBL3308095
CHEMBL486627,CC(=CCCC1=CC(=O)c2c(O)ccc(O)c2C1=O)C,6.04,CHEMBL1075393,AU565,CHEMBL3308095
CHEMBL512504,OC1=C(C#N)C(=O)Nc2scc(c3ccc(cc3)c4ccccc4O)c12,4.28,CHEMBL1075393,AU565,CHEMBL3308095
CHEMBL472004,Oc1c(cc(c2cccnc12)S(=O)(=O)O)\N=N\c3ccc4cc(ccc4c3)S(=O)(=O)O,4.38,CHEMBL1075393,AU565,CHEMBL3308095
CHEMBL259181,OC[C@H](Cc1ccccc1)Nc2nc(Oc3ccc4CCCc4c3)nc5c2ncn5Cc6ccc(cc6)c7ccccc7,5.19,CHEMBL1075393,AU565,CHEMBL3308095
CHEMBL2137530,C(Cc1c[nH]c2ccccc12)Nc3ccc(Nc4ccncc4)cc3,5.15,CHEMBL1075393,AU565,CHEMBL3308095
CHEMBL2087138,Oc1cc(cc(O)c1O)C(=O)Oc2ccc(cc2)c3ccc(OC(=O)c4cc(O)c(O)c(O)c4)cc3,4.62,CHEMBL1075393,AU565,CHEMBL3308095
CHEMBL38,C\C(=C/C=C/C(=C/C(=O)O)/C)\C=C\C1=C(C)CCCC1(C)C,4.38,CHEMBL1075393,AU565,CHEMBL3308095
