Molecule ChEMBL ID,Smiles,pChEMBL Value,Target ChEMBL ID,Target Name,Cell ChEMBL ID
CHEMBL1091644,C[C@@]1(O)C[C@@H](C1)c2nc(c3ccc4ccc(nc4c3)c5ccccc5)c6c(N)nccn26,4.5,CHEMBL1075394,BCPAP,CHEMBL3308356
CHEMBL512504,OC1=C(C#N)C(=O)Nc2scc(c3ccc(cc3)c4ccccc4O)c12,4.02,CHEMBL1075394,BCPAP,CHEMBL3308356
CHEMBL403664,C[C@@H](O)[C@H](NC(=O)[C@@H](C)[C@H](O)[C@@H](C)NC(=O)[C@@H](NC(=O)c1nc(nc(N)c1C)[C@H](CC(=O)N)NC[C@H](N)C(=O)N)[C@@H](O[C@@H]2O[C@@H](CO)[C@@H](O)[C@H](O)[C@@H]2O[C@H]3O[C@H](CO)[C@@H](O)[C@H](OC(=O)N)[C@@H]3O)c4c[nH]cn4)C(=O)NCCc5nc(cs5)c6nc(cs6)C(=O)NCCC[S+](C)C,5.84,CHEMBL1075394,BCPAP,CHEMBL3308356
CHEMBL1173655,CN(C)C\C=C\C(=O)Nc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cc1O[C@H]4CCOC4,4.57,CHEMBL1075394,BCPAP,CHEMBL3308356
CHEMBL2165191,C[C@@H](Nc1ccccc1C(=O)O)C2=CC(=CN3C(=O)C=C(N=C23)N4CCOCC4)C,4.95,CHEMBL1075394,BCPAP,CHEMBL3308356
CHEMBL939,COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1OCCCN4CCOCC4,5.51,CHEMBL1075394,BCPAP,CHEMBL3308356
CHEMBL848,Nc1cccc2C(=O)N(Cc12)C3CCC(=O)NC3=O,4.36,CHEMBL1075394,BCPAP,CHEMBL3308356
CHEMBL96926,CCCCCCCC(=O)O[C@@H]1[C@@H](OC(=O)\C(=C/C)\C)C(=C2[C@@H]3OC(=O)[C@@](C)(O)[C@@]3(O)[C@H](C[C@](C)(OC(=O)C)[C@@H]12)OC(=O)CCC)C,9.35,CHEMBL1075394,BCPAP,CHEMBL3308356
CHEMBL221137,CCCCCCCCCCCC1=C(O)C(=O)C=C(O)C1=O,4.86,CHEMBL1075394,BCPAP,CHEMBL3308356
CHEMBL591429,Oc1c(CC=C)cccc1\C=N\NC(=O)CN2CCN(Cc3ccccc3)CC2,4.87,CHEMBL1075394,BCPAP,CHEMBL3308356
CHEMBL603469,C[C@]12O[C@H](C[C@]1(O)CO)n3c4ccccc4c5c6C(=O)NCc6c7c8ccccc8n2c7c35,6.01,CHEMBL1075394,BCPAP,CHEMBL3308356
CHEMBL159,CC[C@]1(O)C[C@@H]2CN(CCc3c([nH]c4ccccc34)[C@@](C2)(C(=O)OC)c5cc6c(cc5OC)N(C)[C@H]7[C@](O)([C@H](OC(=O)C)[C@]8(CC)C=CCN9CC[C@]67[C@H]89)C(=O)OC)C1,8.63,CHEMBL1075394,BCPAP,CHEMBL3308356
CHEMBL188678,O=C1C=C(Oc2c1cccc2c3cccc4c5ccccc5sc34)N6CCOCC6,4.65,CHEMBL1075394,BCPAP,CHEMBL3308356
CHEMBL217354,CC(C)c1ccccc1Cc2cc(C(=O)Nc3ccc(cc3)S(=O)(=O)c4ccccc4C(C)(C)C)c(O)c(O)c2O,6.62,CHEMBL1075394,BCPAP,CHEMBL3308356
CHEMBL1879463,CN1C(=O)N(c2ccc(cc2)C(C)(C)C#N)c3c1cnc4ccc(cc34)c5cnc6ccccc6c5,7.73,CHEMBL1075394,BCPAP,CHEMBL3308356
CHEMBL255342,O=C1\C(=C\c2cccs2)\CC/C/1=C\c3cccs3,4.87,CHEMBL1075394,BCPAP,CHEMBL3308356
CHEMBL506871,C[C@@]1(CCCN1)c2nc3cccc(C(=O)N)c3[nH]2,4.29,CHEMBL1075394,BCPAP,CHEMBL3308356
CHEMBL1972860,CN(NC(=O)CC(=O)NN(C)C(=S)c1ccccc1)C(=S)c2ccccc2,8.87,CHEMBL1075394,BCPAP,CHEMBL3308356
CHEMBL577784,Ic1cnc(Nc2cccc(NC(=O)N3CCCC3)c2)nc1NCCCNC(=O)c4cccs4,5.65,CHEMBL1075394,BCPAP,CHEMBL3308356
CHEMBL888,NC1=NC(=O)N(C=C1)[C@@H]2O[C@H](CO)[C@@H](O)C2(F)F,8.84,CHEMBL1075394,BCPAP,CHEMBL3308356
CHEMBL2107358,COC1=CC(=N/C/1=C\c2[nH]c(C)cc2C)c3cc4ccccc4[nH]3.CS(=O)(=O)O,7.23,CHEMBL1075394,BCPAP,CHEMBL3308356
CHEMBL1084546,CN(c1ncccc1CNc2nc(Nc3ccc4NC(=O)Cc4c3)ncc2C(F)(F)F)S(=O)(=O)C,5.99,CHEMBL1075394,BCPAP,CHEMBL3308356
CHEMBL135561,COC(=O)[C@H](CCSC)NC(=O)c1ccc(NC[C@@H](N)CS)cc1c2ccccc2,4.66,CHEMBL1075394,BCPAP,CHEMBL3308356
CHEMBL443684,CC1(C)CCC(=C(CN2CCN(CC2)c3ccc(cc3)C(=O)NS(=O)(=O)c4ccc(N[C@H](CCN5CCOCC5)CSc6ccccc6)c(c4)S(=O)(=O)C(F)(F)F)C1)c7ccc(Cl)cc7,5.33,CHEMBL1075394,BCPAP,CHEMBL3308356
CHEMBL1079175,NC1(CCC1)c2ccc(cc2)c3nc4C=CN5C(=O)NN=C5c4cc3c6ccccc6,4.9,CHEMBL1075394,BCPAP,CHEMBL3308356
CHEMBL94657,C[C@H]1CCC[C@@]2(C)O[C@H]2C[C@H](OC(=O)C[C@H](O)C(C)(C)C(=O)[C@H](C)[C@H]1O)\C(=C\c3csc(C)n3)\C,9.24,CHEMBL1075394,BCPAP,CHEMBL3308356
CHEMBL3545252,O.O.O.CC(=O)O[C@@]12CO[C@@H]1C[C@H](O)[C@]3(C)[C@@H]2[C@H](OC(=O)c4ccccc4)[C@]5(O)C[C@H](OC(=O)[C@H](O)[C@@H](NC(=O)OC(C)(C)C)c6ccccc6)C(=C([C@@H](O)C3=O)C5(C)C)C,9.02,CHEMBL1075394,BCPAP,CHEMBL3308356
CHEMBL803,NC1=NC(=O)N(C=C1)[C@@H]2O[C@H](CO)[C@@H](O)[C@@H]2O,6.3,CHEMBL1075394,BCPAP,CHEMBL3308356
CHEMBL1171837,CN1CCN(Cc2ccc(NC(=O)c3ccc(C)c(c3)C#Cc4cnc5cccnn45)cc2C(F)(F)F)CC1,6.44,CHEMBL1075394,BCPAP,CHEMBL3308356
CHEMBL259181,OC[C@H](Cc1ccccc1)Nc2nc(Oc3ccc4CCCc4c3)nc5c2ncn5Cc6ccc(cc6)c7ccccc7,4.69,CHEMBL1075394,BCPAP,CHEMBL3308356
CHEMBL3349342,COc1cc(F)c(F)c(Nc2ccc(I)cc2F)c1NS(=O)(=O)C3(CC(O)CO)CC3,5.66,CHEMBL1075394,BCPAP,CHEMBL3308356
CHEMBL98,ONC(=O)CCCCCCC(=O)Nc1ccccc1,6.3,CHEMBL1075394,BCPAP,CHEMBL3308356
CHEMBL585951,Fc1cc(cc(c1)C2=N\C(=N/c3ccc(cc3)n4cnc(n4)N5CCOCC5)\NC=C2)N6CCOCC6,6.03,CHEMBL1075394,BCPAP,CHEMBL3308356
CHEMBL507361,OC[C@@H](O)CONC(=O)c1ccc(F)c(F)c1Nc2ccc(I)cc2F,6.87,CHEMBL1075394,BCPAP,CHEMBL3308356
CHEMBL412142,Cc1c[nH]c(n1)c2cnc(NCCNc3ccc(cn3)C#N)nc2c4ccc(Cl)cc4Cl,5.78,CHEMBL1075394,BCPAP,CHEMBL3308356
CHEMBL608533,CO[C@@H]1[C@@H](C[C@H]2O[C@]1(C)n3c4ccccc4c5c6CNC(=O)c6c7c8ccccc8n2c7c35)N(C)C(=O)c9ccccc9,6.53,CHEMBL1075394,BCPAP,CHEMBL3308356
CHEMBL2137530,C(Cc1c[nH]c2ccccc12)Nc3ccc(Nc4ccncc4)cc3,4.16,CHEMBL1075394,BCPAP,CHEMBL3308356
