Molecule ChEMBL ID,Smiles,pChEMBL Value,Target ChEMBL ID,Target Name,Cell ChEMBL ID
CHEMBL107535,Brc1ccc(NC(=S)NCCN2C(=O)c3cccn3c4ncccc24)nc1,6.7475000000000005,CHEMBL614533,C8166,CHEMBL3307638
CHEMBL311270,CC1=CN(C2OC(COC(=O)CC(O)(CC(=O)OCc3ccccc3)C(=O)OCc4ccccc4)C=C2)C(=O)NC1=O,5.8,CHEMBL614533,C8166,CHEMBL3307638
CHEMBL320557,Brc1ccc(NC(=S)NCCN2C(=O)c3nccn3c4ccccc24)nc1,5.9525,CHEMBL614533,C8166,CHEMBL3307638
CHEMBL137838,CCC1(Oc2cccnc2n3cccc3C1=O)c4ccccc4,7.744999999999999,CHEMBL614533,C8166,CHEMBL3307638
CHEMBL215398,Cc1cc(C)c2N=C3C(=CC(=O)c4ncccc34)Oc2c1,6.7,CHEMBL614533,C8166,CHEMBL3307638
CHEMBL3350412,CSCOC1(C)COC(C)(CC(=O)OC[C@H]2O[C@H](C[C@@H]2N=[N+]=[N-])N3C=C(C)C(=O)NC3=O)C1,6.5,CHEMBL614533,C8166,CHEMBL3307638
CHEMBL291344,CC1=CN(C2CC(N=[N+]=[N-])C(COP(=O)(OCCSC(=O)C(C)(C)C)OCCSC(=O)C(C)(C)C)O2)C(=O)NC1=O,7.7,CHEMBL614533,C8166,CHEMBL3307638
CHEMBL338339,Cc1nc(CCCCCOC(=O)c2ccccc2)n3nc(Cl)ccc13,5.88,CHEMBL614533,C8166,CHEMBL3307638
CHEMBL127427,Cc1cn(cn1)c2ccc3c(C)nc(CCCCCCC(=O)c4ccccc4)n3n2,6.995,CHEMBL614533,C8166,CHEMBL3307638
CHEMBL346174,O=C1C=C2Oc3ccccc3N=C2c4ncccc14,5.33,CHEMBL614533,C8166,CHEMBL3307638
CHEMBL3350482,NC(=O)c1nn(cc1C#C)[C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O,4.66,CHEMBL614533,C8166,CHEMBL3307638
CHEMBL121820,Cc1nc(CCCCCCC(O)c2ccccc2)n3nc(ccc13)n4ccnc4,8.31,CHEMBL614533,C8166,CHEMBL3307638
CHEMBL124248,Cc1nc(CCCCCCC(=O)c2ccccc2)n3nc(Cl)ccc13,7.1,CHEMBL614533,C8166,CHEMBL3307638
