Molecule ChEMBL ID,Smiles,pChEMBL Value,Target ChEMBL ID,Target Name,Cell ChEMBL ID
CHEMBL508049,CC(C)[C@@H]1NC(=O)CNC(=O)[C@@H]2CSC(=N2)[C@@H](OC(=O)C(C)(C)[C@H](CCCC(C)(Cl)Cl)OC(=O)c3csc1n3)C(C)(C)O,7.0,CHEMBL612566,CA46,CHEMBL3308488
CHEMBL368320,COc1cc2CC[C@@H](OC(=O)C)C3=CC(=O)C(=CC=C3c2c(OC)c1OC)SC,4.4,CHEMBL612566,CA46,CHEMBL3308488
CHEMBL1222579,COc1ccc(cc1)[C@H]2CC(=O)O[C@@H](C)C[C@@H](C)\C=C(/C)\CCC(=O)N[C@@H](C)C(=O)N[C@H](Cc3c(Br)[nH]c4ccccc34)C(=O)N2,5.52,CHEMBL612566,CA46,CHEMBL3308488
CHEMBL449158,CCC\C=C\C=C\C(=O)O[C@H]1\C(=C\C(=O)OC)\C[C@H]2C[C@@H](OC(=O)C[C@H](O)C[C@@H]3C[C@H](OC(=O)C)C(C)(C)[C@](O)(C[C@@H]4C\C(=C\C(=O)OC)\C[C@@H](O4)\C=C\C(C)(C)[C@]1(O)O2)O3)[C@@H](C)O,5.7,CHEMBL612566,CA46,CHEMBL3308488
CHEMBL2402480,COc1ccc(NC(=O)\C=C\c2ccccc2)c(c1)C(=O)N,5.3,CHEMBL612566,CA46,CHEMBL3308488
CHEMBL1222575,COc1ccc(cc1)[C@H]2CC(=O)O[C@@H](C)C[C@@H](C)\C=C(/C)\C[C@H](C)C(=O)N[C@@H](C)C(=O)N(C)[C@H](Cc3c(Br)[nH]c4ccccc34)C(=O)N2,7.7,CHEMBL612566,CA46,CHEMBL3308488
CHEMBL1222580,COc1ccc(cc1)[C@H]2CC(=O)O[C@@H](C)C[C@@H](C)\C=C(/C)\CCC(=O)N[C@@H](C)C(=O)N(C)[C@H](Cc3c[nH]c4ccccc34)C(=O)N2,6.7,CHEMBL612566,CA46,CHEMBL3308488
CHEMBL1222582,COc1ccc(cc1)[C@H]2CC(=O)NC(C)C[C@@H](C)\C=C(/C)\CCC(=O)N[C@@H](C)C(=O)N(C)[C@H](Cc3c(Br)[nH]c4ccccc34)C(=O)N2,5.82,CHEMBL612566,CA46,CHEMBL3308488
CHEMBL1222576,COc1ccc(cc1)[C@H]2CC(=O)O[C@@H](C)C[C@@H](C)\C=C(/C)\C[C@@H](C)C(=O)N[C@@H](C)C(=O)N(C)[C@H](Cc3c(Br)[nH]c4ccccc34)C(=O)N2,7.7,CHEMBL612566,CA46,CHEMBL3308488
CHEMBL298240,COc1cc2CC[C@H](N)C3=CC(=O)C(=CC=C3c2c(OC)c1OC)SC,4.42,CHEMBL612566,CA46,CHEMBL3308488
