Molecule ChEMBL ID,Smiles,pChEMBL Value,Target ChEMBL ID,Target Name,Cell ChEMBL ID
CHEMBL300988,Cc1c2cccc2ccc3c4cc(Br)ccc4[nH]c13,5.75,CHEMBL614487,EKVX,CHEMBL3307626
CHEMBL7063,COc1cc(CC2CCc3nc(N)nc(N)c3C2)cc(OC)c1OC,6.15,CHEMBL614487,EKVX,CHEMBL3307626
CHEMBL7375,COc1ccc(OC)c(CC2CCc3nc(N)nc(N)c3C2)c1,4.8,CHEMBL614487,EKVX,CHEMBL3307626
CHEMBL42819,Nc1nc(N)c2nc(CNc3ccc(cc3)C(=O)NC(CCNC(=O)c4ccccc4C(=O)O)C(=O)O)cnc2n1,7.68,CHEMBL614487,EKVX,CHEMBL3307626
CHEMBL888,NC1=NC(=O)N(C=C1)[C@@H]2O[C@H](CO)[C@@H](O)C2(F)F,4.56,CHEMBL614487,EKVX,CHEMBL3307626
CHEMBL259181,OC[C@H](Cc1ccccc1)Nc2nc(Oc3ccc4CCCc4c3)nc5c2ncn5Cc6ccc(cc6)c7ccccc7,4.29,CHEMBL614487,EKVX,CHEMBL3307626
CHEMBL176544,Cn1cc(\C=C\2/C(=O)Nc3cccnc23)c4ccccc14,4.63,CHEMBL614487,EKVX,CHEMBL3307626
CHEMBL603469,C[C@]12O[C@H](C[C@]1(O)CO)n3c4ccccc4c5c6C(=O)NCc6c7c8ccccc8n2c7c35,6.22,CHEMBL614487,EKVX,CHEMBL3307626
CHEMBL222102,O=C1C=C(OC(=C1)c2cccc3Sc4ccccc4Sc23)N5CCOCC5,4.5,CHEMBL614487,EKVX,CHEMBL3307626
CHEMBL573107,CC(C)CCN1C(C)C(=O)N(C)c2cnc(Nc3cc(F)c(O)c(F)c3)nc12,4.17,CHEMBL614487,EKVX,CHEMBL3307626
CHEMBL189584,CCN(CC)CCCCNc1ncc2cc(c(NC(=O)NC(C)(C)C)nc2n1)c3cc(OC)cc(OC)c3,4.14,CHEMBL614487,EKVX,CHEMBL3307626
CHEMBL1972860,CN(NC(=O)CC(=O)NN(C)C(=S)c1ccccc1)C(=S)c2ccccc2,7.4,CHEMBL614487,EKVX,CHEMBL3307626
CHEMBL1173655,CN(C)C\C=C\C(=O)Nc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cc1O[C@H]4CCOC4,6.0,CHEMBL614487,EKVX,CHEMBL3307626
CHEMBL521686,Fc1ccc(CC2=NNC(=O)c3ccccc23)cc1C(=O)N4CCN(CC4)C(=O)C5CC5,4.14,CHEMBL614487,EKVX,CHEMBL3307626
CHEMBL848,Nc1cccc2C(=O)N(Cc12)C3CCC(=O)NC3=O,4.43,CHEMBL614487,EKVX,CHEMBL3307626
CHEMBL1173055,CNCc1ccc(cc1)c2[nH]c3cc(F)cc4C(=O)NCCc2c34,4.13,CHEMBL614487,EKVX,CHEMBL3307626
CHEMBL135561,COC(=O)[C@H](CCSC)NC(=O)c1ccc(NC[C@@H](N)CS)cc1c2ccccc2,4.4,CHEMBL614487,EKVX,CHEMBL3307626
CHEMBL2137530,C(Cc1c[nH]c2ccccc12)Nc3ccc(Nc4ccncc4)cc3,4.37,CHEMBL614487,EKVX,CHEMBL3307626
CHEMBL38957,CC(=O)Nc1ccc2[nH]c(cc2c1)C(=O)Nc3ccc4[nH]c(cc4c3)C(=O)N5CC(CCl)c6c5cc(O)c7ccccc67,8.62,CHEMBL614487,EKVX,CHEMBL3307626
CHEMBL289228,CN1C(=O)C=C(c2cccc(Cl)c2)c3cc(ccc13)[C@](N)(c4ccc(Cl)cc4)c5cncn5C,4.68,CHEMBL614487,EKVX,CHEMBL3307626
CHEMBL188678,O=C1C=C(Oc2c1cccc2c3cccc4c5ccccc5sc34)N6CCOCC6,5.37,CHEMBL614487,EKVX,CHEMBL3307626
CHEMBL1079175,NC1(CCC1)c2ccc(cc2)c3nc4C=CN5C(=O)NN=C5c4cc3c6ccccc6,4.92,CHEMBL614487,EKVX,CHEMBL3307626
CHEMBL180127,ClC(Cl)(Cl)C(NC(=S)Nc1cccc2cccnc12)NC(=O)\C=C\c3ccccc3,4.42,CHEMBL614487,EKVX,CHEMBL3307626
CHEMBL563437,CC(=O)Oc1ccc(\C=C\c2cc(F)cc(F)c2)cc1,4.1,CHEMBL614487,EKVX,CHEMBL3307626
CHEMBL1164847,Cl.CC(=O)Nc1cccc(c1)c2ccc(cn2)c3ccnc(NC(=O)Nc4cc(cc(c4)C(F)(F)F)C(F)(F)F)n3,5.84,CHEMBL614487,EKVX,CHEMBL3307626
CHEMBL512504,OC1=C(C#N)C(=O)Nc2scc(c3ccc(cc3)c4ccccc4O)c12,4.37,CHEMBL614487,EKVX,CHEMBL3307626
CHEMBL608533,CO[C@@H]1[C@@H](C[C@H]2O[C@]1(C)n3c4ccccc4c5c6CNC(=O)c6c7c8ccccc8n2c7c35)N(C)C(=O)c9ccccc9,4.84,CHEMBL614487,EKVX,CHEMBL3307626
CHEMBL585951,Fc1cc(cc(c1)C2=N\C(=N/c3ccc(cc3)n4cnc(n4)N5CCOCC5)\NC=C2)N6CCOCC6,5.55,CHEMBL614487,EKVX,CHEMBL3307626
CHEMBL1084546,CN(c1ncccc1CNc2nc(Nc3ccc4NC(=O)Cc4c3)ncc2C(F)(F)F)S(=O)(=O)C,4.3,CHEMBL614487,EKVX,CHEMBL3307626
CHEMBL217354,CC(C)c1ccccc1Cc2cc(C(=O)Nc3ccc(cc3)S(=O)(=O)c4ccccc4C(C)(C)C)c(O)c(O)c2O,5.15,CHEMBL614487,EKVX,CHEMBL3307626
CHEMBL513909,CC[C@H]1N(C2CCCC2)c3nc(Nc4ccc(cc4OC)C(=O)NC5CCN(C)CC5)ncc3N(C)C1=O,6.1,CHEMBL614487,EKVX,CHEMBL3307626
CHEMBL1201182,CO[C@@H]1C[C@H](C[C@@H](C)[C@@H]2CC(=O)[C@H](C)\C=C(/C)\[C@@H](O)[C@@H](OC)C(=O)[C@H](C)C[C@H](C)\C=C\C=C\C=C(/C)\[C@H](C[C@@H]3CC[C@@H](C)[C@@](O)(O3)C(=O)C(=O)N4CCCC[C@H]4C(=O)O2)OC)CC[C@H]1OC(=O)C(C)(CO)CO,6.26,CHEMBL614487,EKVX,CHEMBL3307626
CHEMBL572881,CC1(C)CNc2cc(NC(=O)c3cccnc3NCc4ccncc4)ccc12,4.63,CHEMBL614487,EKVX,CHEMBL3307626
CHEMBL1673039,COc1cc(ccc1Nc2ncc3N(C)C(=O)c4ccccc4N(C)c3n2)N5CCN(C)CC5,4.34,CHEMBL614487,EKVX,CHEMBL3307626
CHEMBL9470,CC(=CC[C@@H](O)C1=CC(=O)c2c(O)ccc(O)c2C1=O)C,5.43,CHEMBL614487,EKVX,CHEMBL3307626
CHEMBL1091644,C[C@@]1(O)C[C@@H](C1)c2nc(c3ccc4ccc(nc4c3)c5ccccc5)c6c(N)nccn26,5.87,CHEMBL614487,EKVX,CHEMBL3307626
CHEMBL446125,C\C(=C/CCC(CC(=O)O)C(=O)[O-])\CC\C=C(/C)\CCC1=C(C)CCCC1(C)C.O=C2c3ccccc3[n+]4ccc5c6ccccc6[nH]c5c24,5.28,CHEMBL614487,EKVX,CHEMBL3307626
CHEMBL399530,CCc1cc(c(O)cc1O)c2[nH]nc(C)c2c3ccc4OCCOc4c3,4.56,CHEMBL614487,EKVX,CHEMBL3307626
CHEMBL577784,Ic1cnc(Nc2cccc(NC(=O)N3CCCC3)c2)nc1NCCCNC(=O)c4cccs4,5.04,CHEMBL614487,EKVX,CHEMBL3307626
CHEMBL470052,[Cl-].Brc1ccc2C(=O)c3c4[nH]c5ccccc5c4cc[n+]3c2c1,5.44,CHEMBL614487,EKVX,CHEMBL3307626
CHEMBL2363137,Cc1cc(ccc1NS(=O)(=O)c2cc(Cl)ccc2Cl)[N+](=O)[O-],5.12,CHEMBL614487,EKVX,CHEMBL3307626
CHEMBL197603,COc1cc(ccc1NC(=O)c2cc3ccccc3n2C)c4nn([C@@H]5CC[C@H](CC5)N6CCN(CC6)C(=O)C)c7ncnc(N)c47,4.41,CHEMBL614487,EKVX,CHEMBL3307626
CHEMBL379300,Cc1n[nH]c2ccc(cc12)c3cncc(OC[C@@H](N)Cc4c[nH]c5ccccc45)c3,5.59,CHEMBL614487,EKVX,CHEMBL3307626
CHEMBL428647,CC(=O)O[C@H]1C(=O)[C@]2(C)[C@@H](O)C[C@H]3OC[C@@]3(OC(=O)C)[C@H]2[C@H](OC(=O)c4ccccc4)[C@]5(O)C[C@H](OC(=O)[C@H](O)[C@@H](NC(=O)c6ccccc6)c7ccccc7)C(=C1C5(C)C)C,5.14,CHEMBL614487,EKVX,CHEMBL3307626
CHEMBL1336,CNC(=O)c1cc(Oc2ccc(NC(=O)Nc3ccc(Cl)c(c3)C(F)(F)F)cc2)ccn1,4.3,CHEMBL614487,EKVX,CHEMBL3307626
CHEMBL1801204,COc1ccc(cc1CO)c2ccc3c(nc(nc3n2)N4CCOC[C@@H]4C)N5CCOC[C@@H]5C,5.94,CHEMBL614487,EKVX,CHEMBL3307626
CHEMBL483847,NC(=O)c1cccc(c1)c2cc(Nc3ccc(OC(F)(F)F)cc3)ncn2,4.21,CHEMBL614487,EKVX,CHEMBL3307626
CHEMBL1171837,CN1CCN(Cc2ccc(NC(=O)c3ccc(C)c(c3)C#Cc4cnc5cccnn45)cc2C(F)(F)F)CC1,4.19,CHEMBL614487,EKVX,CHEMBL3307626
CHEMBL202721,COc1cc2c(Nc3ccc(NC(=O)c4ccccc4)cc3)ncnc2cc1OCCCN5CCOCC5,4.55,CHEMBL614487,EKVX,CHEMBL3307626
CHEMBL38,C\C(=C/C=C/C(=C/C(=O)O)/C)\C=C\C1=C(C)CCCC1(C)C,4.34,CHEMBL614487,EKVX,CHEMBL3307626
CHEMBL109480,CO[C@H]1C[C@H](C)CC2=C(NCC=C)C(=O)C=C(NC(=O)\C(=C\C=C/[C@H](OC)[C@@H](OC(=O)N)\C(=C\[C@H](C)[C@H]1O)\C)\C)C2=O,5.99,CHEMBL614487,EKVX,CHEMBL3307626
CHEMBL221137,CCCCCCCCCCCC1=C(O)C(=O)C=C(O)C1=O,4.33,CHEMBL614487,EKVX,CHEMBL3307626
CHEMBL553025,CCC1=C[C@@H]2CN(C1)Cc3c([nH]c4ccccc34)[C@@](C2)(C(=O)OC)c5cc6c(cc5OC)N(C)[C@H]7[C@](O)([C@H](OC(=O)C)[C@]8(CC)C=CCN9CC[C@]67[C@H]89)C(=O)OC,6.54,CHEMBL614487,EKVX,CHEMBL3307626
CHEMBL575448,C[C@]1(CCCN1c2nc(Nc3cc(n[nH]3)C4CC4)c5cccn5n2)C(=O)Nc6ccc(F)nc6,6.46,CHEMBL614487,EKVX,CHEMBL3307626
CHEMBL1023,Cc1cc2c(cc1C(=C)c3ccc(cc3)C(=O)O)C(C)(C)CCC2(C)C,6.78,CHEMBL614487,EKVX,CHEMBL3307626
CHEMBL228043,C\C(=C(/C#N)\C(=O)Nc1cc(Br)ccc1Br)\O,4.38,CHEMBL614487,EKVX,CHEMBL3307626
CHEMBL191384,N#C\C(=C/1\Nc2ccccc2S1)\c3ccnc(NCCc4cccnc4)n3,4.95,CHEMBL614487,EKVX,CHEMBL3307626
CHEMBL2144069,CN1C=Nc2ccc(Nc3cc(NC(=O)c4cccc(c4)C(C)(C)C#N)ccc3C)cc2C1=O,4.62,CHEMBL614487,EKVX,CHEMBL3307626
CHEMBL1090090,NC(=O)N(c1ccc(C(=O)N)c(n1)c2ccc(F)cc2F)c3c(F)cccc3F,4.08,CHEMBL614487,EKVX,CHEMBL3307626
CHEMBL2041933,NC(=O)Nc1cc(sc1C(=O)N[C@H]2CCCNC2)c3cccc(F)c3,5.7,CHEMBL614487,EKVX,CHEMBL3307626
CHEMBL939,COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1OCCCN4CCOCC4,5.69,CHEMBL614487,EKVX,CHEMBL3307626
CHEMBL105442,Fc1ccc(C(=O)NOCC2CC2)c(Nc3ccc(I)cc3Cl)c1F,4.63,CHEMBL614487,EKVX,CHEMBL3307626
CHEMBL217092,CN1CCN(CCOc2cc(OC3CCOCC3)c4c(Nc5c(Cl)ccc6OCOc56)ncnc4c2)CC1,4.58,CHEMBL614487,EKVX,CHEMBL3307626
