Molecule ChEMBL ID,Smiles,pChEMBL Value,Target ChEMBL ID,Target Name,Cell ChEMBL ID
CHEMBL242533,ONC(=O)\C=C\c1cccc(c1)C(=O)c2cc3ccccc3[nH]2,7.14,CHEMBL614489,EOL1,CHEMBL3308381
CHEMBL475820,Cc1ccc(NC(=O)c2ccc(cc2)C(=O)Nc3ccccc3N)cc1Nc4ncc(cn4)c5cccnc5,8.15,CHEMBL614489,EOL1,CHEMBL3308381
CHEMBL514351,Cc1ccc(NCc2ccc(\C=C\C(=O)NO)cc2)cc1Nc3nccc(n3)c4cccnc4,6.93,CHEMBL614489,EOL1,CHEMBL3308381
CHEMBL2390986,Cc1ccc(cc1)n2cnc3cc(Nc4nnc(C)c5ccccc45)ccc23,6.05,CHEMBL614489,EOL1,CHEMBL3308381
CHEMBL475796,Cc1ccc(NCc2ccc(cc2)C(=O)Nc3ccccc3N)cc1Nc4nccc(n4)c5cccnc5,7.0,CHEMBL614489,EOL1,CHEMBL3308381
CHEMBL473825,Cc1ccc(NC(=O)c2ccc(s2)C(=O)Nc3ccccc3N)cc1Nc4ncc(cn4)c5cccnc5,8.52,CHEMBL614489,EOL1,CHEMBL3308381
CHEMBL390452,ONC(=O)\C=C\c1cccc(c1)C(=O)c2oc3ccccc3c2,7.31,CHEMBL614489,EOL1,CHEMBL3308381
CHEMBL176544,Cn1cc(\C=C\2/C(=O)Nc3cccnc23)c4ccccc14,4.62,CHEMBL614489,EOL1,CHEMBL3308381
CHEMBL1084546,CN(c1ncccc1CNc2nc(Nc3ccc4NC(=O)Cc4c3)ncc2C(F)(F)F)S(=O)(=O)C,4.35,CHEMBL614489,EOL1,CHEMBL3308381
CHEMBL255863,Cc1cn(cn1)c2cc(NC(=O)c3ccc(C)c(Nc4nccc(n4)c5cccnc5)c3)cc(c2)C(F)(F)F,9.84,CHEMBL614489,EOL1,CHEMBL3308381
CHEMBL848,Nc1cccc2C(=O)N(Cc12)C3CCC(=O)NC3=O,5.39,CHEMBL614489,EOL1,CHEMBL3308381
