Molecule ChEMBL ID,Smiles,pChEMBL Value,Target ChEMBL ID,Target Name,Cell ChEMBL ID
CHEMBL1449685,C(Sc1ncnn1Cc2ccccc2)c3ccccc3,5.12,CHEMBL1075452,H4,CHEMBL3308507
CHEMBL1454438,COc1ccc(OC)c(NS(=O)(=O)c2ccc(SC)cc2)c1,4.35,CHEMBL1075452,H4,CHEMBL3308507
CHEMBL1450360,N1c2ccccc2Sc3cc4ccccc4cc13,5.24,CHEMBL1075452,H4,CHEMBL3308507
CHEMBL1542918,Cc1cc(C2=NN=C(NCCc3ccccc3)SC2)c(C)n1CC4CCCO4,4.89,CHEMBL1075452,H4,CHEMBL3308507
CHEMBL1425355,COc1ccc(C(=O)\C=C\c2ccccc2OC)c(OC(=O)c3ccc(cc3)[N+](=O)[O-])c1,4.27,CHEMBL1075452,H4,CHEMBL3308507
CHEMBL1415834,Cc1ccccc1Nc2c(nc3cnccn23)c4ccc(cc4)N5CCOCC5,4.78,CHEMBL1075452,H4,CHEMBL3308507
CHEMBL1606344,O=C(Nc1cccc(Cn2cccn2)c1)c3cc4CCCCc4s3,4.96,CHEMBL1075452,H4,CHEMBL3308507
CHEMBL3210221,CCCCC\N=C(\C)/C1=C(O)Oc2ccccc2C1=O,5.03,CHEMBL1075452,H4,CHEMBL3308507
CHEMBL1435486,CC(=O)Nc1ccc(\C=C\c2n[nH]c(n2)c3ccccc3O)cc1,5.88,CHEMBL1075452,H4,CHEMBL3308507
CHEMBL1311838,O=C(CSc1ncccc1c2nc3ccccc3[nH]2)N4CCc5ccccc45,4.68,CHEMBL1075452,H4,CHEMBL3308507
CHEMBL1387546,Cc1cccc(c1)c2oc(N3CCCCC3)c(n2)C#N,5.41,CHEMBL1075452,H4,CHEMBL3308507
CHEMBL1583182,CC1CCCC(C)N1C(=O)COC(=O)c2oc3ccccc3c2C,4.14,CHEMBL1075452,H4,CHEMBL3308507
CHEMBL1573487,Brc1oc(cc1)C(=O)NC(=S)NCCC2=CCCCC2,4.74,CHEMBL1075452,H4,CHEMBL3308507
CHEMBL1571228,Clc1ccc(cc1)c2[nH]nc3CCCCc23,4.26,CHEMBL1075452,H4,CHEMBL3308507
CHEMBL1502542,Cc1ccc(cc1)C(=O)Nc2ccnc(n2)c3cccnc3,4.81,CHEMBL1075452,H4,CHEMBL3308507
CHEMBL1307447,Nc1nonc1c2noc(CCCN3C(=O)c4ccccc4C3=O)n2,4.8,CHEMBL1075452,H4,CHEMBL3308507
CHEMBL1521935,Cn1c(S)ncc1c2ccc(cc2)c3ccccc3,4.81,CHEMBL1075452,H4,CHEMBL3308507
CHEMBL1347002,CCCOc1ccc(OCCSc2nnc(N)s2)cc1,4.82,CHEMBL1075452,H4,CHEMBL3308507
CHEMBL1561135,CC1CCN(CC1)C(=O)CSc2nc3ccccc3s2,4.69,CHEMBL1075452,H4,CHEMBL3308507
CHEMBL3194617,[I-].C[n+]1cn(\N=C\c2ccccc2)c3ccccc13,4.24,CHEMBL1075452,H4,CHEMBL3308507
CHEMBL1327977,Clc1cc2C(=O)c3ccccc3C(=O)c2cc1NC(=O)COC(=O)CC4CCCC4,4.66,CHEMBL1075452,H4,CHEMBL3308507
CHEMBL1404286,CCOC(=O)Cc1cc(nc2ccc3ccccc3c12)c4ccc(OC)cc4,4.81,CHEMBL1075452,H4,CHEMBL3308507
CHEMBL1465534,[O-][N+](=O)c1cccc(c1)c2nnn(n2)C34CC5CC(CC(C5)C3)C4,4.83,CHEMBL1075452,H4,CHEMBL3308507
CHEMBL1487173,Cc1ccccc1OCc2nnc3c4cnn(C)c4ncn23,4.41,CHEMBL1075452,H4,CHEMBL3308507
CHEMBL1352992,COc1cc(ccc1OCc2onc(c2)C(=O)N(C)CCC3CCCCO3)C(=O)C,5.11,CHEMBL1075452,H4,CHEMBL3308507
CHEMBL1328281,Cc1ccc(cc1)N2C(c3occc3)c4c(C)n[nH]c4C2=O,4.75,CHEMBL1075452,H4,CHEMBL3308507
CHEMBL1471484,CCN(CC)c1ccc(cc1)C(=O)OCC(=O)c2occc2,4.24,CHEMBL1075452,H4,CHEMBL3308507
CHEMBL1393056,CC(C)C\C=C\1/CCc2c([nH]c3ccccc23)C1=O,4.34,CHEMBL1075452,H4,CHEMBL3308507
CHEMBL1386396,o1nc(nc1c2cccc3ccccc23)c4ccncc4,4.29,CHEMBL1075452,H4,CHEMBL3308507
CHEMBL1582073,CCN1CCN(CC1)c2cc3N(C)c4ccccc4Oc3nn2,6.24,CHEMBL1075452,H4,CHEMBL3308507
CHEMBL1573190,Fc1ccc(cc1)C2=NOC(C2)C(=O)N3CCCCC3,4.48,CHEMBL1075452,H4,CHEMBL3308507
CHEMBL3213940,COC(=O)c1ccc(CO\N=C\2/CCCc3nonc23)cc1,4.89,CHEMBL1075452,H4,CHEMBL3308507
CHEMBL1347288,COC(=O)c1c(C)[nH]c(C(=O)OCc2ccc(F)cc2)c1C,5.02,CHEMBL1075452,H4,CHEMBL3308507
CHEMBL1544192,N#Cc1nc(Cc2ccccc2)oc1NCCc3ccccc3,4.84,CHEMBL1075452,H4,CHEMBL3308507
CHEMBL1583114,CCOc1cccc2C=C(C(=O)NCCC3=CCCCC3)C(=O)Oc12,4.6,CHEMBL1075452,H4,CHEMBL3308507
CHEMBL1399126,Cc1ccc(cc1)c2csc(NC(CO)c3nc4ccccc4n3CCOCCO)n2,4.76,CHEMBL1075452,H4,CHEMBL3308507
CHEMBL3210095,FC(F)Oc1ccc(cc1)\N=C\2/SCC3CCCCN23,4.52,CHEMBL1075452,H4,CHEMBL3308507
CHEMBL1570658,Clc1ccccc1\C=C\C(=O)Nc2ccncc2,6.28,CHEMBL1075452,H4,CHEMBL3308507
CHEMBL1431361,Nc1c(cnc2c(cnn12)c3ccccc3)c4cccc(Cl)c4,6.11,CHEMBL1075452,H4,CHEMBL3308507
CHEMBL1574660,CN1CCc2c(C1)sc3N=C(SCC(=O)NCc4occc4)N(C(=O)c23)c5ccccc5,4.59,CHEMBL1075452,H4,CHEMBL3308507
CHEMBL1429292,Cc1ccc2c(CC(=O)N3CCc4ccccc34)coc2c1,4.73,CHEMBL1075452,H4,CHEMBL3308507
CHEMBL1524235,CC(CNC(=O)c1ccc(OC2CCN(Cc3ccccn3)CC2)cc1)c4ccccc4,4.45,CHEMBL1075452,H4,CHEMBL3308507
CHEMBL1426292,Brc1cncc(c1)C(=O)NC(=S)NC2CCCCCC2,5.13,CHEMBL1075452,H4,CHEMBL3308507
CHEMBL1319024,COc1ccc(cc1)N2C(=O)CC(Sc3nc(C)cc(C)c3C#N)C2=O,4.59,CHEMBL1075452,H4,CHEMBL3308507
CHEMBL1387020,COc1ccccc1C(=O)COC(=O)c2ccc(cc2)N(C)C,5.75,CHEMBL1075452,H4,CHEMBL3308507
CHEMBL1443457,CCOC(=O)c1cc(O)n2c3ccccc3nc2n1,4.69,CHEMBL1075452,H4,CHEMBL3308507
CHEMBL1416301,COc1ccc(cc1)c2c(C#Cc3ccccc3)c4ccccc4n2C,4.37,CHEMBL1075452,H4,CHEMBL3308507
CHEMBL1556013,O=C(NCc1cccs1)c2ccc(nc2)N3CCCCC3,4.5,CHEMBL1075452,H4,CHEMBL3308507
