Molecule ChEMBL ID,Smiles,pChEMBL Value,Target ChEMBL ID,Target Name,Cell ChEMBL ID
CHEMBL585951,Fc1cc(cc(c1)C2=N\C(=N/c3ccc(cc3)n4cnc(n4)N5CCOCC5)\NC=C2)N6CCOCC6,6.38,CHEMBL1075456,HCC1569,CHEMBL3308497
CHEMBL1173655,CN(C)C\C=C\C(=O)Nc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cc1O[C@H]4CCOC4,5.59,CHEMBL1075456,HCC1569,CHEMBL3308497
CHEMBL228043,C\C(=C(/C#N)\C(=O)Nc1cc(Br)ccc1Br)\O,4.24,CHEMBL1075456,HCC1569,CHEMBL3308497
CHEMBL577784,Ic1cnc(Nc2cccc(NC(=O)N3CCCC3)c2)nc1NCCCNC(=O)c4cccs4,4.17,CHEMBL1075456,HCC1569,CHEMBL3308497
CHEMBL477772,CN(c1ccc2c(C)n(C)nc2c1)c3ccnc(Nc4ccc(C)c(c4)S(=O)(=O)N)n3,5.07,CHEMBL1075456,HCC1569,CHEMBL3308497
CHEMBL289228,CN1C(=O)C=C(c2cccc(Cl)c2)c3cc(ccc13)[C@](N)(c4ccc(Cl)cc4)c5cncn5C,5.59,CHEMBL1075456,HCC1569,CHEMBL3308497
CHEMBL1289926,CNC(=O)c1ccccc1Sc2ccc3c(\C=C\c4ccccn4)n[nH]c3c2,5.18,CHEMBL1075456,HCC1569,CHEMBL3308497
CHEMBL1972860,CN(NC(=O)CC(=O)NN(C)C(=S)c1ccccc1)C(=S)c2ccccc2,4.98,CHEMBL1075456,HCC1569,CHEMBL3308497
CHEMBL1879463,CN1C(=O)N(c2ccc(cc2)C(C)(C)C#N)c3c1cnc4ccc(cc34)c5cnc6ccccc6c5,6.56,CHEMBL1075456,HCC1569,CHEMBL3308497
CHEMBL507361,OC[C@@H](O)CONC(=O)c1ccc(F)c(F)c1Nc2ccc(I)cc2F,5.6,CHEMBL1075456,HCC1569,CHEMBL3308497
CHEMBL2137530,C(Cc1c[nH]c2ccccc12)Nc3ccc(Nc4ccncc4)cc3,4.83,CHEMBL1075456,HCC1569,CHEMBL3308497
CHEMBL217354,CC(C)c1ccccc1Cc2cc(C(=O)Nc3ccc(cc3)S(=O)(=O)c4ccccc4C(C)(C)C)c(O)c(O)c2O,5.31,CHEMBL1075456,HCC1569,CHEMBL3308497
CHEMBL399530,CCc1cc(c(O)cc1O)c2[nH]nc(C)c2c3ccc4OCCOc4c3,4.94,CHEMBL1075456,HCC1569,CHEMBL3308497
CHEMBL1173055,CNCc1ccc(cc1)c2[nH]c3cc(F)cc4C(=O)NCCc2c34,4.6,CHEMBL1075456,HCC1569,CHEMBL3308497
CHEMBL412142,Cc1c[nH]c(n1)c2cnc(NCCNc3ccc(cn3)C#N)nc2c4ccc(Cl)cc4Cl,5.46,CHEMBL1075456,HCC1569,CHEMBL3308497
CHEMBL1084546,CN(c1ncccc1CNc2nc(Nc3ccc4NC(=O)Cc4c3)ncc2C(F)(F)F)S(=O)(=O)C,4.33,CHEMBL1075456,HCC1569,CHEMBL3308497
CHEMBL221137,CCCCCCCCCCCC1=C(O)C(=O)C=C(O)C1=O,4.99,CHEMBL1075456,HCC1569,CHEMBL3308497
CHEMBL2107358,COC1=CC(=N/C/1=C\c2[nH]c(C)cc2C)c3cc4ccccc4[nH]3.CS(=O)(=O)O,7.75,CHEMBL1075456,HCC1569,CHEMBL3308497
CHEMBL252164,CCNC(=O)c1noc(c2cc(C(C)C)c(O)cc2O)c1c3ccc(CN4CCOCC4)cc3,7.44,CHEMBL1075456,HCC1569,CHEMBL3308497
CHEMBL512504,OC1=C(C#N)C(=O)Nc2scc(c3ccc(cc3)c4ccccc4O)c12,4.09,CHEMBL1075456,HCC1569,CHEMBL3308497
