Molecule ChEMBL ID,Smiles,pChEMBL Value,Target ChEMBL ID,Target Name,Cell ChEMBL ID
CHEMBL53307,Oc1[nH]c(Nc2cc(Cl)cc(Cl)c2)nc3ncnc13,4.48,CHEMBL613888,HEL,CHEMBL3308090
CHEMBL52943,Nc1nc(Cl)cc(Nc2cc(Cl)cc(Cl)c2)n1,4.915,CHEMBL613888,HEL,CHEMBL3308090
CHEMBL298991,OCCOCn1cnc2c(Cl)nc(Nc3cc(Cl)cc(Cl)c3)nc12,4.87,CHEMBL613888,HEL,CHEMBL3308090
CHEMBL50321,Nc1nc(Nc2cc(Cl)cc(Cl)c2)nc3c1ncn3COC(CO)CO,4.8100000000000005,CHEMBL613888,HEL,CHEMBL3308090
CHEMBL3142468,CCCCCCCCCCC1=CC2=CN([C@H]3C[C@H](O)[C@@H](CO)O3)C(=O)N=C2S1,7.369999999999999,CHEMBL613888,HEL,CHEMBL3308090
CHEMBL54127,Nc1nc(O)cc(Nc2ccc(Cl)c(Cl)c2)n1,4.566666666666666,CHEMBL613888,HEL,CHEMBL3308090
CHEMBL473635,CN1C(=O)N(C=C(C)C1=O)[C@@H]2O[C@H](CO[Si](C)(C)C(C)(C)C)[C@@]3(OS(=O)(=O)C=C3NC(=O)N)[C@H]2O[Si](C)(C)C(C)(C)C,5.7,CHEMBL613888,HEL,CHEMBL3308090
CHEMBL1098420,O=C1Nc2ccccc2/C/1=C\C3NC(=CC=C3)\C=C/4\C(=O)N(Cc5ccccc5)c6ccccc46,5.52,CHEMBL613888,HEL,CHEMBL3308090
CHEMBL386823,CC[C@H](C)[C@H](N)C(=O)N[C@@H](CC(=O)N)C(=O)N1CCC[C@H]1C(=O)N[C@@H]([C@@H](C)CC)C(=O)N[C@@H](Cc2ccc(O)cc2)C(=O)N[C@@H](CCCN=C(N)N)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CCCN=C(N)N)C(=O)N[C@@H](Cc3ccc(O)cc3)C(=O)N,8.05,CHEMBL613888,HEL,CHEMBL3308090
CHEMBL308366,C[C@H](NC(=O)N1C(=O)C[C@@]1(Cc2ccccc2)C(=O)OC(C)(C)C)c3ccccc3,4.495,CHEMBL613888,HEL,CHEMBL3308090
