Molecule ChEMBL ID,Smiles,pChEMBL Value,Target ChEMBL ID,Target Name,Cell ChEMBL ID
CHEMBL510369,CC(=C)C1CC2=C(O1)c3ccccc3C(=O)C2=O,5.4,CHEMBL614736,HOS,CHEMBL3308811
CHEMBL448558,CC(=C)C1CC2=C(O1)c3cccc(O)c3C(=O)C2=O,5.6,CHEMBL614736,HOS,CHEMBL3308811
CHEMBL23327,CC(C)[C@H](CO)Nc1nc(Nc2cccc(Cl)c2)c3ncn(C(C)C)c3n1,4.66,CHEMBL614736,HOS,CHEMBL3308811
CHEMBL563256,Oc1ccc2CN(Cc3cc(F)cc(F)c3)C(=O)c2c1O,4.77,CHEMBL614736,HOS,CHEMBL3308811
CHEMBL559284,Oc1ccc2C(=O)N(Cc3ccc(F)c(Cl)c3)C(=O)c2c1O,5.02,CHEMBL614736,HOS,CHEMBL3308811
CHEMBL540719,Oc1ccc2CN(Cc3cccc(Cl)c3)C(=O)c2c1O,5.04,CHEMBL614736,HOS,CHEMBL3308811
CHEMBL557899,Oc1ccc2CN(Cc3ccc(Cl)c(Cl)c3)C(=O)c2c1O,5.25,CHEMBL614736,HOS,CHEMBL3308811
CHEMBL2402953,NC1CCC(CC1)Nc2nc(NCc3ccc(cc3)c4ccccc4N)c5ncn(C6CCCC6)c5n2,5.73,CHEMBL614736,HOS,CHEMBL3308811
CHEMBL2402952,NC1CCC(CC1)Nc2nc(NCc3ccc(cc3)c4ccccc4)c5ncn(C6CCCC6)c5n2,6.54,CHEMBL614736,HOS,CHEMBL3308811
CHEMBL2403095,NC1CCC(CC1)Nc2nc(NCc3ccc(nc3)c4cocc4)c5ncn(C6CCCC6)c5n2,7.62,CHEMBL614736,HOS,CHEMBL3308811
CHEMBL2402947,NC1CCC(CC1)Nc2nc(NCc3cc(Cl)ccc3O)c4ncn(C5CCCC5)c4n2,6.31,CHEMBL614736,HOS,CHEMBL3308811
CHEMBL2403094,NC1CCC(CC1)Nc2nc(NCc3ccc(nc3)c4occc4)c5ncn(C6CCCC6)c5n2,7.36,CHEMBL614736,HOS,CHEMBL3308811
CHEMBL1094304,CC[C@H](CO)Nc1nc(NCc2ccccc2O)c3ncn(C(C)C)c3n1,5.085,CHEMBL614736,HOS,CHEMBL3308811
CHEMBL470256,CC(=C)C1CC2=C(O1)c3ccc(O)cc3C(=O)C2=O,5.33,CHEMBL614736,HOS,CHEMBL3308811
CHEMBL324274,CC(C)C(=O)O[C@H]1C[C@@H]2[C@@](C)(C\C=C(/C)\C=C)[C@@H](C)CCC23[C@@H](OC(=O)C)O[C@@H](OC(=O)C)C3=C1,6.05,CHEMBL614736,HOS,CHEMBL3308811
CHEMBL457538,C[C@H]1C\C=C\Cc2cccc(O)c2C(=O)O[C@@H](C\C=C\NC(=O)C#Cc3ccccc3)C[C@H]1O,7.31,CHEMBL614736,HOS,CHEMBL3308811
CHEMBL9892,OC1=CC2=C(C=CC1=O)c3c(O)c(O)c(O)cc3CC[C@@H]2NC(=O)C(F)(F)F,4.58,CHEMBL614736,HOS,CHEMBL3308811
CHEMBL276677,OC1=CC2=C(C=CC1=O)c3c(O)c(O)c(O)cc3CC[C@@H]2NC(=O)c4cc(O)c(O)c(O)c4,4.55,CHEMBL614736,HOS,CHEMBL3308811
CHEMBL1775030,COc1ccc(cc1)C(=O)OC[C@@H](C)[C@@]2(O)[C@H](C[C@H]3[C@@H]4CC=C5C[C@@H](O)CC[C@]5(C)[C@H]4CC[C@]23C)O[C@@H]6OC[C@H](O)[C@H](O[C@@H]7OC[C@@H](O)[C@H](O)[C@H]7OC(=O)c8ccc(OC)cc8)[C@H]6OC(=O)C,5.27,CHEMBL614736,HOS,CHEMBL3308811
CHEMBL401989,CCOc1ccccc1N2C(=O)c3ccccc3N=C2C(C)N4CCN(CC4)C(=O)COc5ccc(Cl)cc5,4.77,CHEMBL614736,HOS,CHEMBL3308811
CHEMBL577784,Ic1cnc(Nc2cccc(NC(=O)N3CCCC3)c2)nc1NCCCNC(=O)c4cccs4,5.8,CHEMBL614736,HOS,CHEMBL3308811
CHEMBL419931,CC(C)n1cnc2c(NCc3ccccc3O)nc(NCCCO)nc12,4.76,CHEMBL614736,HOS,CHEMBL3308811
CHEMBL117185,CC(C)C(=O)O[C@H]1C[C@@H]2[C@@](C)(C\C=C(/C)\C=C)[C@@H](C)C[C@@H](O)C23[C@@H](OC(=O)C)O[C@@H](OC(=O)C)C3=C1,6.1,CHEMBL614736,HOS,CHEMBL3308811
CHEMBL456075,CCC(C)C(=O)O[C@H]1C[C@@H]2[C@@](C)(C\C=C(/C)\C=C)[C@@H](C)C[C@@H](O)[C@@]23[C@@H](OC(=O)C)O[C@@H](OC(=O)C)C3=C1,5.92,CHEMBL614736,HOS,CHEMBL3308811
CHEMBL318896,NC1=NC(=O)N(C=C1)[C@@H]2O[C@H](CO)[C@@](O)(C#C)[C@H]2O,6.0,CHEMBL614736,HOS,CHEMBL3308811
CHEMBL215072,Nc1n[nH]c(N)c1\N=N\c2cccc3CCCCc23,4.04,CHEMBL614736,HOS,CHEMBL3308811
CHEMBL2403099,CC(C)(O)CNc1nc(NCc2ccc(nc2)c3occc3)c4ncn(C5CCCC5)c4n1,6.25,CHEMBL614736,HOS,CHEMBL3308811
CHEMBL2403088,NC1CCC(CC1)Nc2nc(NCc3ccc(cc3)n4cccn4)c5ncn(C6CCCC6)c5n2,6.99,CHEMBL614736,HOS,CHEMBL3308811
CHEMBL2403086,NC1CCC(CC1)Nc2nc(NCc3ccc(cc3)c4cccs4)c5ncn(C6CCCC6)c5n2,6.61,CHEMBL614736,HOS,CHEMBL3308811
