Molecule ChEMBL ID,Smiles,pChEMBL Value,Target ChEMBL ID,Target Name,Cell ChEMBL ID
CHEMBL1269247,CN1CCN(CCCCCNc2cc3C(=O)N(CCCCCN4CCN(C)CC4)C(=O)c5c(NCCCCCN6CCN(C)CC6)cc7C(=O)N(CCCCCN8CCN(C)CC8)C(=O)c2c7c35)CC1,6.69,CHEMBL612595,HPAC,CHEMBL3308388
CHEMBL3398508,COC(=O)[C@H](Cc1cn(C)cn1)NC(=O)[C@@H](NC(=O)Nc2cc(cc(c2)C(F)(F)F)C(F)(F)F)C(C)C,4.76,CHEMBL612595,HPAC,CHEMBL3308388
CHEMBL1269246,CN1CCN(CCCCNc2cc3C(=O)N(CCCCN4CCN(C)CC4)C(=O)c5c(NCCCCN6CCN(C)CC6)cc7C(=O)N(CCCCN8CCN(C)CC8)C(=O)c2c7c35)CC1,6.93,CHEMBL612595,HPAC,CHEMBL3308388
CHEMBL207218,CC\C(=C\[C@H](C)C\C=C\C(=C\[C@@H](CO)C(=O)[C@@H](C)[C@H](O)[C@@H](C)C\C(=C\C(=O)O)\C)\C)\C=C\[C@@H]1OC(=O)C=CC1(C)C,10.42,CHEMBL612595,HPAC,CHEMBL3308388
CHEMBL379283,CC\C(=C\[C@H](C)C\C=C\C(=C\[C@@H](CO)C(=O)[C@@H](C)[C@H](O)[C@@H](C)C\C(=C\C(=O)O)\C)\C)\C=C\[C@H]1CC(=CC(=O)O1)C,9.51,CHEMBL612595,HPAC,CHEMBL3308388
CHEMBL1814774,Nc1ncnc2c1c(cn2[C@@H]3O[C@H](CO)[C@@H](O)[C@H]3O)c4cn[nH]c4,6.85,CHEMBL612595,HPAC,CHEMBL3308388
CHEMBL207141,CC\C(=C\[C@H](C)C\C=C\C(=C\[C@@H](CO)C(=O)[C@@H](C)[C@H](O)[C@@H](C)C\C(=C\C(=O)O)\C)\C)\C=C\[C@@H]1OC(=O)C=C[C@@H]1C,10.13,CHEMBL612595,HPAC,CHEMBL3308388
CHEMBL2069709,CCN(CC)CC(=O)Nc1ccc(cc1)n2cc(nn2)c3ccc4ccc(cc4c3)c5cn(nn5)c6ccc(NC(=O)CN(CC)CC)cc6,4.28,CHEMBL612595,HPAC,CHEMBL3308388
CHEMBL1269245,CN1CCN(CCCNc2cc3C(=O)N(CCCN4CCN(C)CC4)C(=O)c5c(NCCCN6CCN(C)CC6)cc7C(=O)N(CCCN8CCN(C)CC8)C(=O)c2c7c35)CC1,6.73,CHEMBL612595,HPAC,CHEMBL3308388
CHEMBL2069618,O=C(CN1CCCCC1)Nc2cccc(c2)n3cc(nn3)c4ccc5ccc(cc5c4)c6cn(nn6)c7cccc(NC(=O)CN8CCCCC8)c7,4.02,CHEMBL612595,HPAC,CHEMBL3308388
