Molecule ChEMBL ID,Smiles,pChEMBL Value,Target ChEMBL ID,Target Name,Cell ChEMBL ID
CHEMBL449158,CCC\C=C\C=C\C(=O)O[C@H]1\C(=C\C(=O)OC)\C[C@H]2C[C@@H](OC(=O)C[C@H](O)C[C@@H]3C[C@H](OC(=O)C)C(C)(C)[C@](O)(C[C@@H]4C\C(=C\C(=O)OC)\C[C@@H](O4)\C=C\C(C)(C)[C@]1(O)O2)O3)[C@@H](C)O,6.7075000000000005,CHEMBL614836,HT1197,
CHEMBL1614701,Cn1cnc2c(F)c(Nc3ccc(Br)cc3Cl)c(cc12)C(=O)NOCCO,5.3762500000000015,CHEMBL614836,HT1197,
CHEMBL2165191,C[C@@H](Nc1ccccc1C(=O)O)C2=CC(=CN3C(=O)C=C(N=C23)N4CCOCC4)C,4.909411764705882,CHEMBL614836,HT1197,
CHEMBL512504,OC1=C(C#N)C(=O)Nc2scc(c3ccc(cc3)c4ccccc4O)c12,5.431,CHEMBL614836,HT1197,
CHEMBL217354,CC(C)c1ccccc1Cc2cc(C(=O)Nc3ccc(cc3)S(=O)(=O)c4ccccc4C(C)(C)C)c(O)c(O)c2O,6.36875,CHEMBL614836,HT1197,
CHEMBL1834657,CCN1CCN(CC1)c2ccc(Nc3cc(ncn3)N(C)C(=O)Nc4c(Cl)c(OC)cc(OC)c4Cl)cc2.OP(=O)(O)O,5.94,CHEMBL614836,HT1197,CHEMBL3308506
CHEMBL3714883,Oc1ccc(C(=O)NC2CCCNC2)c3nc([nH]c13)C4CC4,4.36,CHEMBL614836,HT1197,CHEMBL3308506
CHEMBL3715494,O=C(N[C@H]1CCCNC1)c2ccnc3nc(CC4CC4)[nH]c23,5.07,CHEMBL614836,HT1197,CHEMBL3308506
CHEMBL3718368,CN(CCO)c1ccc(s1)c2nc3c(ccnc3[nH]2)C(=O)N[C@H]4CCCNC4,4.41,CHEMBL614836,HT1197,CHEMBL3308506
CHEMBL3718956,O=C(N[C@H]1CCCNC1)c2ccnc3nc([nH]c23)c4cc(cs4)N5CCNCC5,4.06,CHEMBL614836,HT1197,CHEMBL3308506
CHEMBL3716396,Brc1ccc(s1)c2nc3nccc(C(=O)NC[C@@H]4CCCNC4)c3[nH]2,4.72,CHEMBL614836,HT1197,CHEMBL3308506
CHEMBL3717191,Brc1csc(c1)c2nc3nccc(C(=O)N[C@H]4CCCNC4)c3[nH]2,5.12,CHEMBL614836,HT1197,CHEMBL3308506
CHEMBL3718105,O=C(N[C@H]1CCCNC1)c2ccnc3[nH]c(nc23)C4CC4,5.54,CHEMBL614836,HT1197,CHEMBL3308506
CHEMBL3718575,NC[C@@H]1CC[C@@H](CNC(=O)c2ccnc3nc([nH]c23)C4CC5CCC4C5)CC1,5.09,CHEMBL614836,HT1197,CHEMBL3308506
CHEMBL3714893,OC(c1cccs1)c2nc3nccc(C(=O)N[C@H]4CCCNC4)c3[nH]2,4.1,CHEMBL614836,HT1197,CHEMBL3308506
CHEMBL3717295,Clc1ccc(cc1)c2nc3nccc(C(=O)NC4CCCNC4)c3[nH]2,5.77,CHEMBL614836,HT1197,CHEMBL3308506
CHEMBL3716936,O=C(NCCCc1ncc[nH]1)c2ccnc3nc([nH]c23)c4cccs4,4.5,CHEMBL614836,HT1197,CHEMBL3308506
CHEMBL3718662,Oc1ccc(C(=O)NC2CCCNC2)c3nc([nH]c13)c4cccs4,4.31,CHEMBL614836,HT1197,CHEMBL3308506
CHEMBL3716414,NC12CC3CC(C1)CC(C3)(C2)NC(=O)c4ccc(O)c5[nH]c(nc45)C6CC7CCC6C7,4.62,CHEMBL614836,HT1197,CHEMBL3308506
