Molecule ChEMBL ID,Smiles,pChEMBL Value,Target ChEMBL ID,Target Name,Cell ChEMBL ID
CHEMBL507894,C[C@@H]1CC(=C2C(=O)c3c(O)c(ccc3O[C@]2(COC(=O)C)[C@@H]1OC(=O)C)c4ccc5O[C@]6(COC(=O)C)[C@H](OC(=O)C)[C@H](C)CC(=C6C(=O)c5c4O)O)O,5.54,CHEMBL2366130,HT,CHEMBL3308143
CHEMBL2036660,C[C@@H]1CC(=C2C(=O)c3c(O)cccc3O[C@]2(COC(=O)C)[C@@H]1OC(=O)C)O,4.23,CHEMBL2366130,HT,CHEMBL3308143
CHEMBL65,CC[C@@]1(O)C(=O)OCC2=C1C=C3N(Cc4cc5ccccc5nc34)C2=O,7.53,CHEMBL2366130,HT,CHEMBL3308143
CHEMBL289228,CN1C(=O)C=C(c2cccc(Cl)c2)c3cc(ccc13)[C@](N)(c4ccc(Cl)cc4)c5cncn5C,5.08,CHEMBL2366130,HT,CHEMBL3308143
CHEMBL191384,N#C\C(=C/1\Nc2ccccc2S1)\c3ccnc(NCCc4cccnc4)n3,4.54,CHEMBL2366130,HT,CHEMBL3308143
CHEMBL1173655,CN(C)C\C=C\C(=O)Nc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cc1O[C@H]4CCOC4,4.39,CHEMBL2366130,HT,CHEMBL3308143
CHEMBL2036659,C[C@@H]1CC(=C2C(=O)c3c(O)c(ccc3O[C@]2(CO)[C@@H]1OC(=O)C)c4ccc(O)c5C(=O)C6=C(O)C[C@@H](C)[C@@H](OC(=O)C)[C@@]6(COC(=O)C)Oc45)O,4.984999999999999,CHEMBL2366130,HT,CHEMBL3308143
CHEMBL498888,C[C@@H]1CC(=C2C(=O)c3c(O)c(ccc3O[C@]2(CO)[C@@H]1OC(=O)C)c4ccc5O[C@]6(COC(=O)C)[C@H](OC(=O)C)[C@H](C)CC(=C6C(=O)c5c4O)O)O,5.904999999999999,CHEMBL2366130,HT,CHEMBL3308143
CHEMBL2107358,COC1=CC(=N/C/1=C\c2[nH]c(C)cc2C)c3cc4ccccc4[nH]3.CS(=O)(=O)O,6.59,CHEMBL2366130,HT,CHEMBL3308143
CHEMBL515416,Cc1ccc(cc1)c2c(C(=O)CCl)n(CCCO)c3ncnc(N)c23,4.65,CHEMBL2366130,HT,CHEMBL3308143
