Molecule ChEMBL ID,Smiles,pChEMBL Value,Target ChEMBL ID,Target Name,Cell ChEMBL ID
CHEMBL323280,[O-][N+](=O)c1ccnc2C(=O)c3nccc4c5ccccc5nc(c12)c34,6.3,CHEMBL614586,J82,CHEMBL3308508
CHEMBL494148,COC(=O)c1c(C)nc(C)c2C(=O)C(=CC(=O)c12)Nc3ccccc3,5.24,CHEMBL614586,J82,CHEMBL3308508
CHEMBL522828,CCN(C1=CC(=O)c2c(C(=O)OC)c(C)nc(C)c2C1=O)c3ccccc3,4.83,CHEMBL614586,J82,CHEMBL3308508
CHEMBL492945,COC(=O)c1c(C)nc(C)c2C(=O)C(=CC(=O)c12)NC34CC5CC(CC(C5)C3)C4,4.92,CHEMBL614586,J82,CHEMBL3308508
CHEMBL118201,Oc1ccnc2C(=O)c3nccc4ccnc(c12)c34,5.22,CHEMBL614586,J82,CHEMBL3308508
CHEMBL559328,Brc1ccc2c3CCN=C(CCCC=C)c3[nH]c2c1,4.41,CHEMBL614586,J82,CHEMBL3308508
CHEMBL1277363,CN1C(=O)N(C)c2nc(C)c3C(=O)C(=CC(=O)c3c2C1=O)N4CCOCC4,4.76,CHEMBL614586,J82,CHEMBL3308508
CHEMBL556141,COC(=O)N1CCc2c3[C@@H]1CCC[C@H](O)n3c4cc(Br)ccc24,4.79,CHEMBL614586,J82,CHEMBL3308508
CHEMBL424062,CCOC(=O)c1cnc2C(=O)c3nccc(c4ccccc4NC(=O)C(F)(F)F)c3C(=O)c2c1,5.28,CHEMBL614586,J82,CHEMBL3308508
CHEMBL261101,O=C1C2=C(OCCOCCOCCO2)C(=O)c3ccccc13,4.7,CHEMBL614586,J82,CHEMBL3308508
CHEMBL111359,Nc1ccnc2C(=O)c3nccc(c4ccccc4[N+](=O)[O-])c3C(=O)c12,5.52,CHEMBL614586,J82,CHEMBL3308508
CHEMBL332240,CN(C)c1ccc2nc3C(=O)c4cccnc4c5nccc(c2c1)c35,7.22,CHEMBL614586,J82,CHEMBL3308508
CHEMBL1276913,CN(C1=CC(=O)c2c(cnc3N(C)C(=O)N(C)C(=O)c23)C1=O)c4ccccc4,4.85,CHEMBL614586,J82,CHEMBL3308508
CHEMBL1277000,CN1C(=O)N(C)c2ncc3C(=O)C(=CC(=O)c3c2C1=O)Nc4ccccc4F,4.67,CHEMBL614586,J82,CHEMBL3308508
CHEMBL1091644,C[C@@]1(O)C[C@@H](C1)c2nc(c3ccc4ccc(nc4c3)c5ccccc5)c6c(N)nccn26,4.58,CHEMBL614586,J82,CHEMBL3308508
CHEMBL83200,COc1cc(OC)c2cc(c(O)nc2c1)c3ccccc3,5.0,CHEMBL614586,J82,CHEMBL3308508
CHEMBL85761,CN1C(=O)C(=Cc2c(OC(=O)C)cc(OC(=O)C)cc12)c3ccc(OC(=O)C)cc3,5.0,CHEMBL614586,J82,CHEMBL3308508
CHEMBL93136,C1CCN2CCc3c([nH]c4ccccc34)[C@@H]2C1,4.04,CHEMBL614586,J82,CHEMBL3308508
CHEMBL44657,COc1cc(cc(OC)c1O)[C@H]2[C@@H]3[C@H](COC3=O)[C@H](O[C@@H]4O[C@@H]5CO[C@@H](C)O[C@H]5[C@H](O)[C@H]4O)c6cc7OCOc7cc26,5.616249999999999,CHEMBL614586,J82,CHEMBL3308508
CHEMBL315586,COc1cc(OC)c2C=C(C(=O)N(C)c2c1)c3ccc(OC(=O)C)cc3,5.0,CHEMBL614586,J82,CHEMBL3308508
CHEMBL83405,COc1ccc(cc1)C2=Cc3c(OC)cc(OC)cc3N(CCC(=O)OCc4ccccc4)C2=O,5.0,CHEMBL614586,J82,CHEMBL3308508
CHEMBL85734,Oc1ccc(cc1)c2cc3c(O)cc(O)cc3nc2O,5.0,CHEMBL614586,J82,CHEMBL3308508
CHEMBL315414,COc1cc(OC)c2C=C(C(=O)N(C)c2c1)c3ccc(O)cc3,5.0,CHEMBL614586,J82,CHEMBL3308508
CHEMBL316168,CCN(CC)C(=O)CN1C(=O)C(=Cc2c(OC)cc(OC)cc12)c3ccc(OC)cc3,5.0,CHEMBL614586,J82,CHEMBL3308508
CHEMBL113387,Clc1ccnc2C(=O)c3nccc4c5ccccc5nc(c12)c34,7.05,CHEMBL614586,J82,CHEMBL3308508
CHEMBL334217,COc1ccc2c(n1)C(=O)c3ncc(OC)c4ccnc2c34,5.1,CHEMBL614586,J82,CHEMBL3308508
CHEMBL325202,O=C1c2cccnc2c3nccc4ccnc1c34,5.3,CHEMBL614586,J82,CHEMBL3308508
CHEMBL118655,COc1cnc2C(=O)c3cccnc3c4nccc1c24,5.4,CHEMBL614586,J82,CHEMBL3308508
CHEMBL322816,Nc1ccnc2C(=O)c3nccc4c5ccccc5nc(c12)c34,6.16,CHEMBL614586,J82,CHEMBL3308508
CHEMBL562066,COC(=O)N1CCc2c([nH]c3cc(Br)ccc23)[C@@H]1CCCC=O,4.13,CHEMBL614586,J82,CHEMBL3308508
CHEMBL327101,Oc1ccnc2C(=O)c3nccc4c5ccccc5nc(c12)c34,5.09,CHEMBL614586,J82,CHEMBL3308508
CHEMBL118709,COc1ccnc2c3nccc4c(OC)cnc(C(=O)c12)c34,5.3,CHEMBL614586,J82,CHEMBL3308508
CHEMBL1812607,COc1ccc(NC2=CC(=O)c3c(cnc4CCCC(=O)c34)C2=O)cc1,5.55,CHEMBL614586,J82,CHEMBL3308508
CHEMBL1812602,COc1ccc(OC)c(NC2=CC(=O)c3c4C(=O)CCCc4nc(C)c3C2=O)c1,5.15,CHEMBL614586,J82,CHEMBL3308508
CHEMBL1812622,O=C1CCCc2nc(c3occc3)c4C(=O)C(=CC(=O)c4c12)Nc5ccccc5,5.62,CHEMBL614586,J82,CHEMBL3308508
CHEMBL1812620,Cc1nc2CCCC(=O)c2c3C(=O)C=C(Nc4ccc(F)cc4)C(=O)c13,5.42,CHEMBL614586,J82,CHEMBL3308508
CHEMBL445564,COc1ccc(cc1)C2=Cc3c(OC)cc(OC)cc3N(CCC#N)C2=O,5.0,CHEMBL614586,J82,CHEMBL3308508
CHEMBL87506,CCOC(=O)CN1C(=O)C(=Cc2c(OC)cc(OC)cc12)c3ccc(OC)cc3,5.0,CHEMBL614586,J82,CHEMBL3308508
CHEMBL455934,Oc1cccc2C(=O)c3c(cnc4CCCC(=O)c34)C(=O)c12,5.04,CHEMBL614586,J82,CHEMBL3308508
CHEMBL511356,Cc1cnc2C(=O)c3cnc4CCCC(=O)c4c3C(=O)c2c1,5.75,CHEMBL614586,J82,CHEMBL3308508
CHEMBL447940,O=C1CCCc2ncc3C(=O)c4ccccc4C(=O)c3c12,4.2,CHEMBL614586,J82,CHEMBL3308508
CHEMBL445280,Cc1nc2CCCC(=O)c2c3C(=O)c4ccccc4C(=O)c13,5.11,CHEMBL614586,J82,CHEMBL3308508
CHEMBL260544,COCCOC1=C(Cl)C(=O)c2ccccc2C1=O,4.71,CHEMBL614586,J82,CHEMBL3308508
CHEMBL561607,Brc1ccc2c3CCN[C@@H](CCCC=C)c3[nH]c2c1,4.72,CHEMBL614586,J82,CHEMBL3308508
CHEMBL552969,C=CCCC[C@@H]1NCCc2c1[nH]c3ccccc23,4.59,CHEMBL614586,J82,CHEMBL3308508
CHEMBL558358,COC(=O)N1CCc2c3[C@@H]1CCC[C@H](O)n3c4ccccc24,4.14,CHEMBL614586,J82,CHEMBL3308508
CHEMBL85726,COc1ccc(cc1)C2=Cc3c(OC)cc(OC)c4C(=O)CCN(C2=O)c34,5.0,CHEMBL614586,J82,CHEMBL3308508
CHEMBL448872,Oc1cccc2C(=O)c3c4CCCCc4cc(O)c3C(=O)c12,4.16,CHEMBL614586,J82,CHEMBL3308508
CHEMBL461679,Cc1nc2CC(C)(C)CC(=O)c2c3C(=O)c4cccc(O)c4C(=O)c13,4.8,CHEMBL614586,J82,CHEMBL3308508
CHEMBL313545,CCN(CC)C(=O)CCN1C(=O)C(=Cc2c(OC)cc(OC)cc12)c3ccc(OC)cc3,5.0,CHEMBL614586,J82,CHEMBL3308508
