Molecule ChEMBL ID,Smiles,pChEMBL Value,Target ChEMBL ID,Target Name,Cell ChEMBL ID
CHEMBL78639,CC1=CN([C@H]2C[C@H](N=[N+]=[N-])[C@@H](COC(=O)CC3(C)CC(C)(O)CO3)O2)C(=O)NC1=O,4.0,CHEMBL614589,JM1,CHEMBL3308496
CHEMBL311226,O[C@H]1CCN2C[C@H](O)[C@@H](O)[C@H](O)[C@@H]12,5.1,CHEMBL614589,JM1,CHEMBL3308496
CHEMBL3142414,CSCO[C@@]1(C)CO[C@@](C)(CC(=O)OC[C@H]2O[C@H](C[C@@H]2O[Si](C)(C)C(C)(C)C)N3C=C(C)C(=O)NC3=O)C1,4.8,CHEMBL614589,JM1,CHEMBL3308496
CHEMBL1794818,CC1=CN([C@H]2C[C@H](O[Si](C)(C)C(C)(C)C)[C@@H](COC(=O)CC3(C)CC(C)(O)CO3)O2)C(=O)NC1=O.CC4=CN([C@H]5C[C@H](O[Si](C)(C)C(C)(C)C)[C@@H](COC(=O)CC6(C)CC(C)(O)CO6)O5)C(=O)NC4=O,4.85,CHEMBL614589,JM1,CHEMBL3308496
CHEMBL3142412,CC1=CN([C@H]2C[C@H](O)[C@@H](CO)O2)C(=O)NC1,4.4,CHEMBL614589,JM1,CHEMBL3308496
CHEMBL3142420,CC1=CN([C@H]2C[C@H](O[Si](C)(C)C(C)(C)C)[C@@H](CO)O2)C(=O)NC1=O,4.7,CHEMBL614589,JM1,CHEMBL3308496
CHEMBL3350412,CSCOC1(C)COC(C)(CC(=O)OC[C@H]2O[C@H](C[C@@H]2N=[N+]=[N-])N3C=C(C)C(=O)NC3=O)C1,4.0,CHEMBL614589,JM1,CHEMBL3308496
CHEMBL3350201,CC(C)(C)NC(=O)[C@H]1C[C@@H]2CCCC[C@@H]2CN1C[C@@H](O)[C@H](Cc3ccccc3)NC(=O)[C@H](CC(=O)N)NC(=O)c4ccc5ccccc5n4,8.6,CHEMBL614589,JM1,CHEMBL3308496
CHEMBL3142419,CC1=CN([C@H]2C[C@H](O)[C@@H](COC(=O)C[C@@]3(C)C[C@@](C)(O)CO3)O2)C(=O)NC1,4.4,CHEMBL614589,JM1,CHEMBL3308496
CHEMBL3350413,CSCOC1(C)COC(C)(CC(=O)OC[C@H]2O[C@H](C(=C2)O)n3cnc4c(N)ncnc34)C1,4.0,CHEMBL614589,JM1,CHEMBL3308496
CHEMBL15705,CC(C)[C@H](NC(=O)OCc1ccccc1)C(=O)NC(Cc2ccc(OCc3ccccc3)cc2)C(=O)C(F)(F)C(=O)NCc4ccccc4,6.85,CHEMBL614589,JM1,CHEMBL3308496
