Molecule ChEMBL ID,Smiles,pChEMBL Value,Target ChEMBL ID,Target Name,Cell ChEMBL ID
CHEMBL1241748,CCCCCCCOC(C1=CN([C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)C(=O)NC1=O)c3ccc(cc3)[N+](=O)[O-],4.3875,CHEMBL385,K562,CHEMBL3308378
CHEMBL422812,C[C@]12CCCC(=C)[C@@H]1C[C@H]3[C@@H](C2)OC(=O)[C@H]3CNCc4ccccc4,4.82,CHEMBL385,K562,CHEMBL3308378
CHEMBL376049,CC(=O)OCOC(=O)[C@]12CC[C@H]([C@@H]1[C@H]3CC[C@@H]4[C@@]5(C)Cc6nccnc6C(C)(C)[C@@H]5CC[C@@]4(C)[C@]3(C)CC2)C(=C)C,5.7,CHEMBL385,K562,CHEMBL3308378
CHEMBL248307,COC(=O)[C@@H]1Cc2cc(OC)c(OC)cc2[C@H]([C@@H]3Cc4ccccc4CN3C(=O)OC(C)(C)C)N1C,4.57,CHEMBL385,K562,CHEMBL3308378
CHEMBL249908,CCCCCCCCCCCCC\C=C\[C@@H](O)[C@H](CO)n1cc(CCCCCC)nn1,5.09,CHEMBL385,K562,CHEMBL3308378
CHEMBL249907,CCCCCCCCCCCCC\C=C\[C@@H](O)[C@H](CO)n1cc(CCCC)nn1,4.91,CHEMBL385,K562,CHEMBL3308378
CHEMBL120541,CC1=C(C)C(=O)C(=CC1=O)N2CC2,6.255,CHEMBL385,K562,CHEMBL3308378
CHEMBL135368,C[C@]12CCCC(=C)[C@@H]1C[C@H]3[C@@H](C2)OC(=O)[C@H]3CN4CCCCC4,5.3,CHEMBL385,K562,CHEMBL3308378
CHEMBL415430,CC(=O)O[C@@]12CO[C@@H]1C[C@H](O)C3(C)[C@@H]2[C@H](OC(=O)c4ccccc4)[C@]5(O)C[C@H](OC(=O)[C@H](O)[C@@H](NC(=O)c6ccccc6)c7ccccc7)C(=C([C@@H](OC(=O)NCCOCCOCCN8C(=O)N(C=C(C)C8=O)[C@H]9C[C@@H](O)[C@H](CO)O9)C3=O)C5(C)C)C,5.82,CHEMBL385,K562,CHEMBL3308378
CHEMBL219237,CC(=O)O[C@@]12CO[C@@H]1C[C@H](O)C3(C)[C@@H]2[C@H](OC(=O)c4ccccc4)[C@]5(O)C[C@H](OC(=O)[C@H](O)[C@@H](NC(=O)c6ccccc6)c7ccccc7)C(=C([C@@H](OC(=O)NCCOCCOCCN8C(=O)N(C=C(C)C8=O)[C@@H]9C[C@@H](O)[C@H](CO)O9)C3=O)C5(C)C)C,5.94,CHEMBL385,K562,CHEMBL3308378
CHEMBL267440,CC(=O)O[C@@]12CO[C@@H]1C[C@H](O)C3(C)[C@@H]2[C@H](OC(=O)c4ccccc4)[C@]5(O)C[C@H](OC(=O)[C@H](O)[C@@H](NC(=O)c6ccccc6)c7ccccc7)C(=C([C@@H](OC(=O)NCCCCCCN8C(=O)N(C=C(C)C8=O)[C@@H]9C[C@@H](O)[C@H](CO)O9)C3=O)C5(C)C)C,7.04,CHEMBL385,K562,CHEMBL3308378
CHEMBL266650,CC(=O)O[C@@]12CO[C@@H]1C[C@H](O)C3(C)[C@@H]2[C@H](OC(=O)c4ccccc4)[C@]5(O)C[C@H](OC(=O)[C@H](O)[C@@H](NC(=O)c6ccccc6)c7ccccc7)C(=C([C@@H](OC(=O)NCCCCCN8C(=O)N(C=C(C)C8=O)[C@H]9C[C@H](O)[C@@H](CO)O9)C3=O)C5(C)C)C,6.66,CHEMBL385,K562,CHEMBL3308378
CHEMBL268877,CC(=O)O[C@H]1C(=O)C2(C)[C@H](C[C@H]3OC[C@@]3(OC(=O)C)[C@H]2[C@H](OC(=O)c4ccccc4)[C@]5(O)C[C@H](OC(=O)[C@H](O)[C@@H](NC(=O)c6ccccc6)c7ccccc7)C(=C1C5(C)C)C)OC(=O)NCCCCCCN8C(=O)N(C=C(C)C8=O)[C@H]9C[C@@H](O)[C@H](CO)O9,6.26,CHEMBL385,K562,CHEMBL3308378
CHEMBL218156,CC(=O)O[C@H]1C(=O)C2(C)[C@H](C[C@H]3OC[C@@]3(OC(=O)C)[C@H]2[C@H](OC(=O)c4ccccc4)[C@]5(O)C[C@H](OC(=O)[C@H](O)[C@@H](NC(=O)c6ccccc6)c7ccccc7)C(=C1C5(C)C)C)OC(=O)NCCOCCN8C(=O)N(C=C(C)C8=O)[C@H]9C[C@H](O)[C@@H](CO)O9,5.35,CHEMBL385,K562,CHEMBL3308378
CHEMBL413480,CC(=O)O[C@H]1C(=O)C2(C)[C@H](C[C@H]3OC[C@@]3(OC(=O)C)[C@H]2[C@H](OC(=O)c4ccccc4)[C@]5(O)C[C@H](OC(=O)[C@H](O)[C@@H](NC(=O)c6ccccc6)c7ccccc7)C(=C1C5(C)C)C)OC(=O)NCCCCN8C(=O)N(C=C(C)C8=O)[C@@H]9C[C@@H](O)[C@H](CO)O9,5.54,CHEMBL385,K562,CHEMBL3308378
CHEMBL39033,O=C(N1CCc2cc(ccc12)S(=O)(=O)N3CC(NC3=O)c4ccccc4)c5ccccc5,5.38,CHEMBL385,K562,CHEMBL3308378
CHEMBL159946,ClCCNC(=O)Nc1cccc2CCCCc12,4.12,CHEMBL385,K562,CHEMBL3308378
CHEMBL1277277,Cl.N[C@H]1CCc2nc(NC(=O)c3ccccc3F)sc2C1,4.24,CHEMBL385,K562,CHEMBL3308378
CHEMBL1277369,Cl.N[C@H]1CCc2nc(NC(=O)c3ccc(Cl)cc3Cl)sc2C1,5.11,CHEMBL385,K562,CHEMBL3308378
CHEMBL3144007,NC(=O)c1cccc(c1)[C@@H]2O[C@H](COP(=O)(O)CP(=O)(O)OC[C@@H]3O[C@@H]([C@@H](O)[C@H]3O)n4cnc5c(N)ncnc45)[C@@H](O)[C@H]2O,4.195,CHEMBL385,K562,CHEMBL3308378
CHEMBL236805,COc1ccc(cc1)S(=O)(=O)Oc2c3ccccc3c(Cl)c4ccccc24,6.46,CHEMBL385,K562,CHEMBL3308378
CHEMBL429090,COc1cc(NC(=O)CCCCCCC(=O)NO)ccc1c2ocnc2,6.54,CHEMBL385,K562,CHEMBL3308378
CHEMBL392178,COc1c(C)c2COC(=O)c2c(O)c1C\C=C(/C)\CCCC(=O)NO,4.97,CHEMBL385,K562,CHEMBL3308378
CHEMBL387861,COC(=O)CC[C@@]1(C)[C@@H](CC[C@]2(C)[C@@H]1CC[C@@H]3[C@H](CC[C@@]23C)[C@]4(C)CC[C@@H](O4)C(C)(C)O)C(=C)C,4.7,CHEMBL385,K562,CHEMBL3308378
CHEMBL225604,COC(=O)CC(=O)O[C@@H]1CC[C@@]2(C)[C@@H](CC[C@]3(C)[C@@H]2CC[C@@H]4[C@H](CC[C@@]34C)[C@]5(C)CCC(=O)O5)C1(C)C,4.33,CHEMBL385,K562,CHEMBL3308378
CHEMBL348711,CCC1(O)CC(=O)OCC2=C1C=C3N(Cc4cc5cc(F)c(Cl)cc5nc34)C2=O,7.7,CHEMBL385,K562,CHEMBL3308378
CHEMBL154716,O=C1\C(=C\c2ccccc2)\CNC/C/1=C\c3ccccc3,6.31,CHEMBL385,K562,CHEMBL3308378
CHEMBL216150,COc1ccc(CC(=O)Oc2c3ccccc3cc4sccc24)cc1,4.82,CHEMBL385,K562,CHEMBL3308378
CHEMBL218921,COc1ccc(COc2c3ccccc3cc4sccc24)cc1OC,6.05,CHEMBL385,K562,CHEMBL3308378
CHEMBL159393,ClCCNC(=O)Nc1ccc2[nH]ncc2c1,4.58,CHEMBL385,K562,CHEMBL3308378
CHEMBL159809,Cc1cc(C)cc(NC(=O)NCCCl)c1,5.0,CHEMBL385,K562,CHEMBL3308378
