Molecule ChEMBL ID,Smiles,pChEMBL Value,Target ChEMBL ID,Target Name,Cell ChEMBL ID
CHEMBL470052,[Cl-].Brc1ccc2C(=O)c3c4[nH]c5ccccc5c4cc[n+]3c2c1,5.07,CHEMBL614709,KM12,CHEMBL3307689
CHEMBL38761,ClCC[Se](=O)(=O)c1ccccc1,5.64,CHEMBL614709,KM12,CHEMBL3307689
CHEMBL2391206,Clc1ccc(\C=C\2/CN(C\C(=C/c3ccc(Cl)c(Cl)c3)\C2=O)C(=O)C(=O)N4C\C(=C/c5ccc(Cl)c(Cl)c5)\C(=O)\C(=C\c6ccc(Cl)c(Cl)c6)\C4)cc1,4.95,CHEMBL614709,KM12,CHEMBL3307689
CHEMBL446125,C\C(=C/CCC(CC(=O)O)C(=O)[O-])\CC\C=C(/C)\CCC1=C(C)CCCC1(C)C.O=C2c3ccccc3[n+]4ccc5c6ccccc6[nH]c5c24,5.14,CHEMBL614709,KM12,CHEMBL3307689
CHEMBL7063,COc1cc(CC2CCc3nc(N)nc(N)c3C2)cc(OC)c1OC,5.89,CHEMBL614709,KM12,CHEMBL3307689
CHEMBL44919,Nc1nc(N)c2nc(CNc3ccc(cc3)C(=O)NC(CCCCNC(=O)c4ccccc4C(=O)O)C(=O)O)cnc2n1,8.31,CHEMBL614709,KM12,CHEMBL3307689
CHEMBL2441789,COc1cc(ccc1Cl)c2nn(cc2c3ccncc3)c4cccc(NC(=O)Nc5cccc(c5)C(F)(F)F)c4,6.24,CHEMBL614709,KM12,CHEMBL3307689
CHEMBL500894,C[C@@H]1C[C@H](OC(=O)C)[C@H](OC(=O)C)[C@@]2(C)[C@H](C[C@@H]3[C@@H](OC(=O)c4ccccc4)[C@]12OC3(C)C)OC(=O)c5ccccc5,4.41,CHEMBL614709,KM12,CHEMBL3307689
CHEMBL495060,C[C@@H]1CC[C@H](OC(=O)C)[C@@]2(C)[C@H](C[C@@H]3[C@@H](OC(=O)c4ccccc4)[C@]12OC3(C)C)OC(=O)c5ccccc5,4.83,CHEMBL614709,KM12,CHEMBL3307689
CHEMBL222102,O=C1C=C(OC(=C1)c2cccc3Sc4ccccc4Sc23)N5CCOCC5,5.04,CHEMBL614709,KM12,CHEMBL3307689
CHEMBL2441795,COc1cc(ccc1Cl)c2nn(cc2c3ccncc3)c4cccc(NC(=O)c5ccc(Cl)c(c5)C(F)(F)F)c4,5.69,CHEMBL614709,KM12,CHEMBL3307689
CHEMBL2441792,COc1cc(ccc1Cl)c2nn(cc2c3ccncc3)c4cccc(NC(=O)c5ccccc5)c4,6.25,CHEMBL614709,KM12,CHEMBL3307689
CHEMBL1956190,C[S+](C)CCC(=O)Nc1cc(c2nc3cc(ccc3[nH]2)C(=O)Nc4ccc(cc4)N(CCCl)CCCl)n(C)c1.Cc5ccc(cc5)S(=O)(=O)O.Cc6ccc(cc6)S(=O)(=O)[O-],6.15,CHEMBL614709,KM12,CHEMBL3307689
CHEMBL852,N[C@@H](Cc1ccc(cc1)N(CCCl)CCCl)C(=O)O,4.33,CHEMBL614709,KM12,CHEMBL3307689
CHEMBL503999,Cl.Clc1ccc(\C=C\2/CN(C\C(=C/c3ccc(Cl)cc3)\C2=O)C(=O)c4ccc(OCCN5CCOCC5)cc4)cc1,5.64,CHEMBL614709,KM12,CHEMBL3307689
CHEMBL2391207,Fc1ccc(\C=C\2/CN(C\C(=C/c3ccc(F)cc3)\C2=O)C(=O)C(=O)N4C\C(=C/c5ccc(F)cc5)\C(=O)\C(=C\c6ccc(F)cc6)\C4)cc1,6.52,CHEMBL614709,KM12,CHEMBL3307689
CHEMBL2441804,Oc1cc(ccc1Cl)c2nn(cc2c3ccncc3)c4cccc(NC(=O)c5ccc(N6CCOCC6)c(c5)C(F)(F)F)c4,5.71,CHEMBL614709,KM12,CHEMBL3307689
CHEMBL2391213,Cc1ccc(\C=C/2\CN(C\C(=C/c3ccc(C)cc3)\C2=O)C(=O)CC(=O)N4C\C(=C/c5ccc(C)cc5)\C(=O)\C(=C\c6ccc(C)cc6)\C4)cc1,6.77,CHEMBL614709,KM12,CHEMBL3307689
CHEMBL9470,CC(=CC[C@@H](O)C1=CC(=O)c2c(O)ccc(O)c2C1=O)C,6.13,CHEMBL614709,KM12,CHEMBL3307689
CHEMBL1972860,CN(NC(=O)CC(=O)NN(C)C(=S)c1ccccc1)C(=S)c2ccccc2,5.83,CHEMBL614709,KM12,CHEMBL3307689
CHEMBL2041933,NC(=O)Nc1cc(sc1C(=O)N[C@H]2CCCNC2)c3cccc(F)c3,7.29,CHEMBL614709,KM12,CHEMBL3307689
CHEMBL577784,Ic1cnc(Nc2cccc(NC(=O)N3CCCC3)c2)nc1NCCCNC(=O)c4cccs4,5.48,CHEMBL614709,KM12,CHEMBL3307689
CHEMBL2107358,COC1=CC(=N/C/1=C\c2[nH]c(C)cc2C)c3cc4ccccc4[nH]3.CS(=O)(=O)O,6.5,CHEMBL614709,KM12,CHEMBL3307689
CHEMBL1673039,COc1cc(ccc1Nc2ncc3N(C)C(=O)c4ccccc4N(C)c3n2)N5CCN(C)CC5,5.01,CHEMBL614709,KM12,CHEMBL3307689
CHEMBL455005,Cl.Cc1ccc(\C=C\2/CN(C\C(=C/c3ccc(C)cc3)\C2=O)C(=O)c4ccc(OCCN5CCOCC5)cc4)cc1,5.95,CHEMBL614709,KM12,CHEMBL3307689
CHEMBL2363137,Cc1cc(ccc1NS(=O)(=O)c2cc(Cl)ccc2Cl)[N+](=O)[O-],5.22,CHEMBL614709,KM12,CHEMBL3307689
CHEMBL1773420,OCCSCCC(=O)N1C\C(=C/c2ccc(cc2)[N+](=O)[O-])\C(=O)\C(=C\c3ccc(cc3)[N+](=O)[O-])\C1,6.77,CHEMBL614709,KM12,CHEMBL3307689
CHEMBL510778,OS(=O)(=O)CCSCCC(=O)N1C\C(=C/c2ccc(Cl)cc2)\C(=O)\C(=C\c3ccc(Cl)cc3)\C1,4.6,CHEMBL614709,KM12,CHEMBL3307689
CHEMBL2012934,O=C(N1C\C(=C/c2ccccc2)\C(=O)\C(=C\c3ccccc3)\C1)c4cccc(c4)C(=O)N5C\C(=C/c6ccccc6)\C(=O)\C(=C\c7ccccc7)\C5,6.46,CHEMBL614709,KM12,CHEMBL3307689
CHEMBL227188,[I-].CC[N+](C)(CC)CCOc1ccc(cc1)C(=O)N2C\C(=C/c3ccccc3)\C(=O)\C(=C\c4ccccc4)\C2,4.36,CHEMBL614709,KM12,CHEMBL3307689
CHEMBL499648,Cl.Cc1ccc(\C=C\2/CN(C\C(=C/c3ccc(C)cc3)\C2=O)C(=O)c4ccc(OCCN5CCCCC5)cc4)cc1,6.83,CHEMBL614709,KM12,CHEMBL3307689
CHEMBL464493,Cl.CCN(CC)CCOc1ccc(cc1)C(=O)N2C\C(=C/c3ccccc3)\C(=O)\C(=C\c4ccccc4)\C2,5.76,CHEMBL614709,KM12,CHEMBL3307689
CHEMBL1164847,Cl.CC(=O)Nc1cccc(c1)c2ccc(cn2)c3ccnc(NC(=O)Nc4cc(cc(c4)C(F)(F)F)C(F)(F)F)n3,5.59,CHEMBL614709,KM12,CHEMBL3307689
CHEMBL2012930,O=C(C#CC(=O)N1C\C(=C/c2ccccc2)\C(=O)\C(=C\c3ccccc3)\C1)N4C\C(=C/c5ccccc5)\C(=O)\C(=C\c6ccccc6)\C4,6.55,CHEMBL614709,KM12,CHEMBL3307689
CHEMBL2441791,COc1cc(ccc1Cl)c2nn(cc2c3ccncc3)c4cccc(NC(=O)Nc5cc(cc(c5)C(F)(F)F)C(F)(F)F)c4,6.28,CHEMBL614709,KM12,CHEMBL3307689
CHEMBL189584,CCN(CC)CCCCNc1ncc2cc(c(NC(=O)NC(C)(C)C)nc2n1)c3cc(OC)cc(OC)c3,4.02,CHEMBL614709,KM12,CHEMBL3307689
CHEMBL1173655,CN(C)C\C=C\C(=O)Nc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cc1O[C@H]4CCOC4,4.65,CHEMBL614709,KM12,CHEMBL3307689
CHEMBL515416,Cc1ccc(cc1)c2c(C(=O)CCl)n(CCCO)c3ncnc(N)c23,4.83,CHEMBL614709,KM12,CHEMBL3307689
