Molecule ChEMBL ID,Smiles,pChEMBL Value,Target ChEMBL ID,Target Name,Cell ChEMBL ID
CHEMBL1289584,CCn1c2ccncc2c3cc(NS(=O)(=O)c4cccc(c4)[N+](=O)[O-])ccc13,5.88,CHEMBL387,MCF7,CHEMBL3308403
CHEMBL89341,COc1ccc2c(C(=O)c3cc(OC)c(OC)c(OC)c3)c([nH]c2c1)c4ccc(OC)c(O)c4,7.35,CHEMBL387,MCF7,CHEMBL3308403
CHEMBL410193,CC\C(=C(\c1ccc(O)cc1)/c2ccc(OCCN(C)CCOCCOCCO\N=C\c3ccc(O)c(c3)C(=O)NCNC4CC(O[C@H]5C[C@@](O)(Cc6c(O)c7C(=O)c8cccc(OC)c8C(=O)c7c(O)c56)C(=O)CO)OC(C)C4O)cc2)\c9ccccc9,7.52,CHEMBL387,MCF7,CHEMBL3308403
CHEMBL222192,O=C1CNC(=O)[C@]2(CSC3=C2C(=O)c4ccccc4C3=O)N1,7.34,CHEMBL387,MCF7,CHEMBL3308403
CHEMBL248154,COc1cc2C[C@H](N(C)[C@@H]([C@H]3Cc4ccccc4CN3C(=O)OC(C)(C)C)c2cc1OC)C(=O)Oc5c(F)c(F)c(F)c(F)c5F,4.43,CHEMBL387,MCF7,CHEMBL3308403
CHEMBL395948,COc1cc2C[C@H](N(C)[C@@H]([C@@H]3Cc4ccccc4CN3C(=O)OC(C)(C)C)c2cc1OC)C(=O)Oc5c(F)c(F)c(F)c(F)c5F,5.09,CHEMBL387,MCF7,CHEMBL3308403
CHEMBL393180,COC(=O)[C@@H]1Cc2cc(OC)c(OC)cc2[C@H]([C@H]3Cc4ccccc4CN3C(=O)OC(C)(C)C)N1C,4.43,CHEMBL387,MCF7,CHEMBL3308403
CHEMBL245942,Cc1ccc(CCCCc2ccc(O)c(O)c2)cc1,4.82,CHEMBL387,MCF7,CHEMBL3308403
CHEMBL426709,CC(=O)O[C@H]1C(=O)C2(C)[C@H](C[C@H]3OC[C@@]3(OC(=O)C)[C@H]2[C@H](OC(=O)c4ccccc4)[C@]5(O)C[C@H](OC(=O)[C@H](O)[C@@H](NC(=O)c6ccccc6)c7ccccc7)C(=C1C5(C)C)C)OC(=O)NCCCN8C(=O)N(C=C(C)C8=O)[C@H]9C[C@H](O)[C@@H](CO)O9,5.69,CHEMBL387,MCF7,CHEMBL3308403
CHEMBL148281,CN(C)CCN1C(=O)c2cccc3cc4ccc(Cl)cc4c(C1=O)c23,7.553333333333334,CHEMBL387,MCF7,CHEMBL3308403
CHEMBL345020,CN(C)CCN1C(=O)c2c(C)ccc3cc4ccccc4c(C1=O)c23,6.580000000000001,CHEMBL387,MCF7,CHEMBL3308403
CHEMBL90441,COc1ccc2c(C(O)c3cc(OC)c(OC)c(OC)c3)c(oc2c1)c4ccc(OC)c(O)c4,6.25,CHEMBL387,MCF7,CHEMBL3308403
CHEMBL265916,CC(=O)O[C@H]1C(=O)C2(C)[C@H](C[C@H]3OC[C@@]3(OC(=O)C)[C@H]2[C@H](OC(=O)c4ccccc4)[C@]5(O)C[C@H](OC(=O)[C@H](O)[C@@H](NC(=O)c6ccccc6)c7ccccc7)C(=C1C5(C)C)C)OC(=O)NCCCCCCN8C(=O)N(C=C(C)C8=O)[C@H]9C[C@H](O)[C@@H](CO)O9,7.02,CHEMBL387,MCF7,CHEMBL3308403
CHEMBL389169,COC(=O)c1[nH]c2ccccc2c1Sc3cc(OC)c(OC)c(OC)c3,7.6,CHEMBL387,MCF7,CHEMBL3308403
CHEMBL406132,COc1cccc2C(=O)c3c(O)c4C[C@](O)(C[C@H](O[C@H]5C[C@H](N)[C@H](O)[C@H](C)O5)c4c(O)c3C(=O)c12)C(=O)COC(=O)CCCN6C(=O)CC(SCC(N)C(=O)N[C@@H](CO)C(=O)N[C@@H](CCCN=C(N)N)C(=O)N[C@@H](CCCN=C(N)N)C(=O)N[C@@H](C)C(=O)N[C@@H](CCCN=C(N)N)C(=O)N[C@@H](CCCN=C(N)N)C(=O)N[C@@H](CO)C(=O)N7CCC[C@H]7C(=O)N[C@@H](CCCN=C(N)N)C(=O)N[C@@H](Cc8c[nH]cn8)C(=O)N[C@@H](CC(C)C)C(=O)NCC(=O)N[C@@H](CO)C(=O)NCC(=O)N[C@@H](CS)C(=O)O)C6=O.OC(=O)C(F)(F)F,5.05,CHEMBL387,MCF7,CHEMBL3308403
CHEMBL218156,CC(=O)O[C@H]1C(=O)C2(C)[C@H](C[C@H]3OC[C@@]3(OC(=O)C)[C@H]2[C@H](OC(=O)c4ccccc4)[C@]5(O)C[C@H](OC(=O)[C@H](O)[C@@H](NC(=O)c6ccccc6)c7ccccc7)C(=C1C5(C)C)C)OC(=O)NCCOCCN8C(=O)N(C=C(C)C8=O)[C@H]9C[C@H](O)[C@@H](CO)O9,5.76,CHEMBL387,MCF7,CHEMBL3308403
CHEMBL274803,COc1cccc2C(=O)c3c(O)c4C[C@](C)(C[C@](C)(OC5CC(NC(=O)OCCS(=O)(=O)c6ccccc6)C(O)C(C)O5)c4c(O)c3C(=O)c12)C(=O)C,5.52,CHEMBL387,MCF7,CHEMBL3308403
CHEMBL1684482,CCCCC\C=C\CC[C@@H](O)[C@@H](Cc1ccc(O)cc1)NC,4.6866666666666665,CHEMBL387,MCF7,CHEMBL3308403
CHEMBL1684469,CC[C@@H](C)C[C@H](C)\C=C\CC[C@@H](O)[C@@H](Cc1ccc(O)cc1)NC,5.57,CHEMBL387,MCF7,CHEMBL3308403
CHEMBL244899,[O-][N+](=O)c1ccc(CN2C(=O)C(=O)c3cc(Br)cc(Br)c23)cc1,5.37,CHEMBL387,MCF7,CHEMBL3308403
CHEMBL389246,OC1=C(O)\C(=C\CN2C=C(C=C)C(=O)NC2=O)\OC1=O,4.44,CHEMBL387,MCF7,CHEMBL3308403
CHEMBL390452,ONC(=O)\C=C\c1cccc(c1)C(=O)c2oc3ccccc3c2,5.89,CHEMBL387,MCF7,CHEMBL3308403
CHEMBL387861,COC(=O)CC[C@@]1(C)[C@@H](CC[C@]2(C)[C@@H]1CC[C@@H]3[C@H](CC[C@@]23C)[C@]4(C)CC[C@@H](O4)C(C)(C)O)C(=C)C,4.734999999999999,CHEMBL387,MCF7,CHEMBL3308403
CHEMBL332625,Oc1ccc(cc1)[C@H]2Sc3cc(O)ccc3O[C@H]2c4ccc(cc4)N5CCNCC5,8.55,CHEMBL387,MCF7,CHEMBL3308403
