Molecule ChEMBL ID,Smiles,pChEMBL Value,Target ChEMBL ID,Target Name,Cell ChEMBL ID
CHEMBL1163277,Cc1ccc(cc1)S(=O)(=O)N2CCN(CC2)c3nc(SCc4nc5ccccc5[nH]4)nc(c6ccccc6)c3C#N,8.17,CHEMBL2366284,NB1,CHEMBL3308822
CHEMBL1164658,CN1CCN(CC1)c2nc(SCc3nc4ccccc4[nH]3)nc(c5ccccc5)c2C#N,8.62,CHEMBL2366284,NB1,CHEMBL3308822
CHEMBL1165091,O=C(CN1CCN(CC1)c2nc(SCc3nc4ccccc4[nH]3)nc(c5ccccc5)c2C#N)c6ccccc6,8.54,CHEMBL2366284,NB1,CHEMBL3308822
CHEMBL1164764,NC(=S)Nc1nc(SCc2nc3ccccc3[nH]2)nc(c4ccccc4)c1C#N,7.92,CHEMBL2366284,NB1,CHEMBL3308822
CHEMBL1164111,N#Cc1c(Nc2ccccc2)nc(SCc3nc4ccccc4[nH]3)nc1c5ccccc5,8.6,CHEMBL2366284,NB1,CHEMBL3308822
CHEMBL468747,COc1c(O)c(C(=O)C2=CN3C(=CN=C2)Nc4ccccc34)c(OC)c5ccoc15,10.48,CHEMBL2366284,NB1,CHEMBL3308822
CHEMBL1164763,N#Cc1c(nc(SCc2nc3ccccc3[nH]2)nc1c4ccccc4)N5CCNCC5,8.17,CHEMBL2366284,NB1,CHEMBL3308822
CHEMBL1165818,O=C(N1CCN(CC1)c2nc(SCc3nc4ccccc4[nH]3)nc(c5ccccc5)c2C#N)c6ccccc6,8.13,CHEMBL2366284,NB1,CHEMBL3308822
CHEMBL1163287,CNc1nc(SCc2nc3ccccc3[nH]2)nc(c4ccccc4)c1C#N,8.35,CHEMBL2366284,NB1,CHEMBL3308822
CHEMBL1421,Cc1nc(Nc2ncc(s2)C(=O)Nc3c(C)cccc3Cl)cc(n1)N4CCN(CCO)CC4,4.15,CHEMBL2366284,NB1,CHEMBL3308822
CHEMBL300389,OCCCNc1cc(ccn1)c2ccnc(Nc3cccc(Cl)c3)n2,7.07,CHEMBL2366284,NB1,CHEMBL3308822
CHEMBL1673039,COc1cc(ccc1Nc2ncc3N(C)C(=O)c4ccccc4N(C)c3n2)N5CCN(C)CC5,4.88,CHEMBL2366284,NB1,CHEMBL3308822
CHEMBL1256459,CCC(=O)N1CCN(CC1)c2ccc(cc2C(F)(F)F)N3C(=O)C=Cc4cnc5ccc(cc5c34)c6cnc7ccccc7c6,6.55,CHEMBL2366284,NB1,CHEMBL3308822
CHEMBL449897,COc1c(O)c(C(=O)\C=C\Nc2ccncc2)c(OC)c3ccoc13,10.6,CHEMBL2366284,NB1,CHEMBL3308822
CHEMBL511905,COc1c(O)c(C(=O)C2=CN3C=CSC3N=C2)c(OC)c4ccoc14,10.37,CHEMBL2366284,NB1,CHEMBL3308822
CHEMBL466908,COc1c(O)c(C(=O)C2=CN3C=CC=CC3N=C2)c(OC)c4ccoc14,10.49,CHEMBL2366284,NB1,CHEMBL3308822
CHEMBL450786,Cc1[nH]c(\C=C\2/C(=O)Nc3ccc(cc23)S(=O)(=O)Cc4c(Cl)cccc4Cl)c(C)c1C(=O)N5CCC[C@@H]5CN6CCCC6,4.01,CHEMBL2366284,NB1,CHEMBL3308822
CHEMBL64925,CC(C)C[C@H](NC(=O)[C@H](CC(C)C)NC(=O)[C@H](CC(C)C)NC(=O)OCc1ccccc1)C=O,4.965,CHEMBL2366284,NB1,CHEMBL3308822
CHEMBL252164,CCNC(=O)c1noc(c2cc(C(C)C)c(O)cc2O)c1c3ccc(CN4CCOCC4)cc3,6.84,CHEMBL2366284,NB1,CHEMBL3308822
CHEMBL94657,C[C@H]1CCC[C@@]2(C)O[C@H]2C[C@H](OC(=O)C[C@H](O)C(C)(C)C(=O)[C@H](C)[C@H]1O)\C(=C\c3csc(C)n3)\C,7.84,CHEMBL2366284,NB1,CHEMBL3308822
CHEMBL1171837,CN1CCN(Cc2ccc(NC(=O)c3ccc(C)c(c3)C#Cc4cnc5cccnn45)cc2C(F)(F)F)CC1,4.76,CHEMBL2366284,NB1,CHEMBL3308822
CHEMBL14762,CC[C@H](CO)Nc1nc(NCc2ccccc2)c3ncn(C(C)C)c3n1,4.91,CHEMBL2366284,NB1,CHEMBL3308822
CHEMBL401930,Cc1cc(cc2[nH]c(nc12)C3=C(NC[C@@H](O)c4cccc(Cl)c4)C=CNC3=O)N5CCOCC5,4.8,CHEMBL2366284,NB1,CHEMBL3308822
CHEMBL515416,Cc1ccc(cc1)c2c(C(=O)CCl)n(CCCO)c3ncnc(N)c23,5.25,CHEMBL2366284,NB1,CHEMBL3308822
CHEMBL513909,CC[C@H]1N(C2CCCC2)c3nc(Nc4ccc(cc4OC)C(=O)NC5CCN(C)CC5)ncc3N(C)C1=O,7.18,CHEMBL2366284,NB1,CHEMBL3308822
CHEMBL259181,OC[C@H](Cc1ccccc1)Nc2nc(Oc3ccc4CCCc4c3)nc5c2ncn5Cc6ccc(cc6)c7ccccc7,5.03,CHEMBL2366284,NB1,CHEMBL3308822
