Molecule ChEMBL ID,Smiles,pChEMBL Value,Target ChEMBL ID,Target Name,Cell ChEMBL ID
CHEMBL1645544,Cc1nccc2c3ccc(OCC=C)cc3[nH]c12,4.52,CHEMBL1075556,OE33,CHEMBL3308776
CHEMBL1645545,CC(C)COc1ccc2c(c1)[nH]c3c(C)nccc23,4.6,CHEMBL1075556,OE33,CHEMBL3308776
CHEMBL392817,Cn1ccc2c3C(=O)C=C(Nc3ccc12)c4ccccc4,6.1,CHEMBL1075556,OE33,CHEMBL3308776
CHEMBL1165205,Oc1ccc(cc1Cl)C(=O)OCc2cc(COC(=O)c3ccc(O)c(Cl)c3)cc(COC(=O)c4ccc(O)c(Cl)c4)c2,4.4,CHEMBL1075556,OE33,CHEMBL3308776
CHEMBL1164820,COc1cc(ccc1O)C(=O)O[C@H]2CCCC[C@@H]2OC(=O)c3ccc(O)c(OC)c3,4.11,CHEMBL1075556,OE33,CHEMBL3308776
CHEMBL1164769,COc1cc(ccc1O)C(=O)OCC#CCOC(=O)c2ccc(O)c(OC)c2,4.21,CHEMBL1075556,OE33,CHEMBL3308776
CHEMBL1164564,COc1cc(ccc1O)C(=O)OCCCCCCCOC(=O)c2ccc(O)c(OC)c2,4.33,CHEMBL1075556,OE33,CHEMBL3308776
CHEMBL429086,CCCCCn1ccc2c3C(=O)C=C(Nc3ccc12)c4ccccc4,7.7,CHEMBL1075556,OE33,CHEMBL3308776
CHEMBL237176,COCn1ccc2c3C(=O)C=C(Nc3ccc12)c4ccccc4,6.3,CHEMBL1075556,OE33,CHEMBL3308776
CHEMBL236350,CCn1ccc2c3C(=O)C=C(Nc3ccc12)c4ccccc4,6.7,CHEMBL1075556,OE33,CHEMBL3308776
CHEMBL34259,CN(Cc1cnc2nc(N)nc(N)c2n1)c3ccc(cc3)C(=O)N[C@@H](CCC(=O)O)C(=O)O,6.55,CHEMBL1075556,OE33,CHEMBL3308776
CHEMBL939,COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1OCCCN4CCOCC4,4.67,CHEMBL1075556,OE33,CHEMBL3308776
CHEMBL1164496,COc1ccc(cc1OC)c2nnn(CCCCCCCn3nnc(n3)c4ccc(OC)c(OC)c4)n2,4.44,CHEMBL1075556,OE33,CHEMBL3308776
CHEMBL1165315,COc1cc(ccc1O)C(=O)O[C@@H]2CCCC[C@H]2OC(=O)c3ccc(O)c(OC)c3,4.18,CHEMBL1075556,OE33,CHEMBL3308776
CHEMBL1165327,COc1cc(ccc1O)C(=O)O[C@H]2CCCC[C@H]2OC(=O)c3ccc(O)c(OC)c3,4.25,CHEMBL1075556,OE33,CHEMBL3308776
CHEMBL1163849,COc1ccc(cc1O)C(=O)OCCCCCCOC(=O)c2ccc(OC)c(O)c2,4.28,CHEMBL1075556,OE33,CHEMBL3308776
CHEMBL1165328,COc1cc(ccc1O)C(=O)OC2CCCC(C2)OC(=O)c3ccc(O)c(OC)c3,4.26,CHEMBL1075556,OE33,CHEMBL3308776
CHEMBL1163848,COc1cc(ccc1O)C(=O)OCCCCCCCCCCCOC(=O)c2ccc(O)c(OC)c2,4.55,CHEMBL1075556,OE33,CHEMBL3308776
CHEMBL1164872,COc1cc(ccc1O)C(=O)OCCCCCCCCOC(=O)c2ccc(O)c(OC)c2,4.55,CHEMBL1075556,OE33,CHEMBL3308776
CHEMBL1163758,COc1cc(ccc1O)C(=O)OCCCCOC(=O)c2ccc(O)c(OC)c2,4.17,CHEMBL1075556,OE33,CHEMBL3308776
CHEMBL1163757,COc1cc(ccc1O)C(=O)OCCCOC(=O)c2ccc(O)c(OC)c2,4.19,CHEMBL1075556,OE33,CHEMBL3308776
CHEMBL848,Nc1cccc2C(=O)N(Cc12)C3CCC(=O)NC3=O,4.25,CHEMBL1075556,OE33,CHEMBL3308776
CHEMBL393477,O=C1C=C(Nc2ccc3c(ccn3CC4CC4)c12)c5ccccc5,7.7,CHEMBL1075556,OE33,CHEMBL3308776
CHEMBL392818,CCCn1ccc2c3C(=O)C=C(Nc3ccc12)c4ccccc4,7.0,CHEMBL1075556,OE33,CHEMBL3308776
CHEMBL176544,Cn1cc(\C=C\2/C(=O)Nc3cccnc23)c4ccccc14,4.6,CHEMBL1075556,OE33,CHEMBL3308776
CHEMBL236765,CCCCn1ccc2c3C(=O)C=C(Nc3ccc12)c4ccccc4,7.22,CHEMBL1075556,OE33,CHEMBL3308776
CHEMBL269538,COc1ccc2c(c1)[nH]c3c(C)nccc23,4.75,CHEMBL1075556,OE33,CHEMBL3308776
CHEMBL237175,O=C1C=C(Nc2ccc3c(ccn3Cc4ccccc4)c12)c5ccccc5,7.0,CHEMBL1075556,OE33,CHEMBL3308776
CHEMBL2164707,Cc1nccc2c3ccc(OCc4cccc5ccccc45)cc3[nH]c12,5.09,CHEMBL1075556,OE33,CHEMBL3308776
CHEMBL1645551,Cc1nccc2c3ccc(OCc4ccccn4)cc3[nH]c12,4.64,CHEMBL1075556,OE33,CHEMBL3308776
CHEMBL1079175,NC1(CCC1)c2ccc(cc2)c3nc4C=CN5C(=O)NN=C5c4cc3c6ccccc6,4.46,CHEMBL1075556,OE33,CHEMBL3308776
CHEMBL2164709,Cc1nccc2c3ccc(OCc4ccccc4)cc3n(Cc5ccccc5)c12,4.4,CHEMBL1075556,OE33,CHEMBL3308776
CHEMBL2164702,[Br-].CCCn1c2cc(OCc3ccccc3)ccc2c4cc[n+](Cc5ccccc5)c(C)c14,6.52,CHEMBL1075556,OE33,CHEMBL3308776
CHEMBL521851,CS(=O)(=O)N1CCN(Cc2cc3nc(nc(N4CCOCC4)c3s2)c5cccc6[nH]ncc56)CC1,5.33,CHEMBL1075556,OE33,CHEMBL3308776
CHEMBL109480,CO[C@H]1C[C@H](C)CC2=C(NCC=C)C(=O)C=C(NC(=O)\C(=C\C=C/[C@H](OC)[C@@H](OC(=O)N)\C(=C\[C@H](C)[C@H]1O)\C)\C)C2=O,6.07,CHEMBL1075556,OE33,CHEMBL3308776
CHEMBL449158,CCC\C=C\C=C\C(=O)O[C@H]1\C(=C\C(=O)OC)\C[C@H]2C[C@@H](OC(=O)C[C@H](O)C[C@@H]3C[C@H](OC(=O)C)C(C)(C)[C@](O)(C[C@@H]4C\C(=C\C(=O)OC)\C[C@@H](O4)\C=C\C(C)(C)[C@]1(O)O2)O3)[C@@H](C)O,6.43,CHEMBL1075556,OE33,CHEMBL3308776
CHEMBL2164694,[Br-].Cc1c2c(cc[n+]1Cc3ccccc3F)c4ccc(OCc5ccc(F)cc5)cc4n2Cc6ccc(F)cc6,5.8,CHEMBL1075556,OE33,CHEMBL3308776
CHEMBL2164711,Cc1nccc2c3ccc(OCc4ccc(F)cc4)cc3n(Cc5ccc(F)cc5)c12,4.6,CHEMBL1075556,OE33,CHEMBL3308776
CHEMBL2164704,[Br-].CCCn1c2cc(OCc3ccccc3)ccc2c4cc[n+](Cc5ccc(F)cc5)c(C)c14,6.0,CHEMBL1075556,OE33,CHEMBL3308776
CHEMBL2164706,Cc1nccc2c3ccc(OC(=O)c4ccccc4)cc3[nH]c12,4.51,CHEMBL1075556,OE33,CHEMBL3308776
CHEMBL1645549,Cc1nccc2c3ccc(OCc4ccccc4)cc3[nH]c12,5.39,CHEMBL1075556,OE33,CHEMBL3308776
CHEMBL14355,Cc1nccc2c3ccc(OCCO)cc3[nH]c12,4.2,CHEMBL1075556,OE33,CHEMBL3308776
CHEMBL1163275,COc1cc(ccc1O)C(=O)OCc2cc(COC(=O)c3ccc(O)c(OC)c3)cc(COC(=O)c4ccc(O)c(OC)c4)c2,4.72,CHEMBL1075556,OE33,CHEMBL3308776
CHEMBL1164287,COc1cc(ccc1O)C(=O)OCc2ccccc2COC(=O)c3ccc(O)c(OC)c3,4.18,CHEMBL1075556,OE33,CHEMBL3308776
CHEMBL1165533,Oc1cc(cc(O)c1O)C(=O)OCCCCCCCOC(=O)c2cc(O)c(O)c(O)c2,4.18,CHEMBL1075556,OE33,CHEMBL3308776
CHEMBL1164100,Oc1ccc(cc1O)C(=O)OCCCCCCOC(=O)c2ccc(O)c(O)c2,4.26,CHEMBL1075556,OE33,CHEMBL3308776
