Molecule ChEMBL ID,Smiles,pChEMBL Value,Target ChEMBL ID,Target Name,Cell ChEMBL ID
CHEMBL279433,Clc1cccc(c1)N2CCN(Cc3cncn3Cc4ccc(cc4)C#N)CC2=O,5.803333333333334,CHEMBL614241,PSN1,CHEMBL3307348
CHEMBL349329,CC1(C)OCC(Cc2ccc3Oc4cc(Cn5cncc5CN6CCN(Cc2c3)C(=O)C6)ccc4C#N)O1,6.66,CHEMBL614241,PSN1,CHEMBL3307348
CHEMBL236390,CC(C)CCC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3C\C(=N/O)\[C@@]4(F)CC(=O)CC[C@]4(C)[C@H]3CC[C@]12C,4.94,CHEMBL614241,PSN1,CHEMBL3307348
CHEMBL52073,O=C1CN2CCN1c3cccc4ccc(Oc5cc(Cn6cncc6C2)ccc5C#N)cc34,8.7,CHEMBL614241,PSN1,CHEMBL3307348
CHEMBL159171,O=C1CN2CCN1Cc3cc(Oc4cc(Cn5cncc5C2)ccc4C#N)ccc3CCC6CCCCC6,6.913333333333334,CHEMBL614241,PSN1,CHEMBL3307348
CHEMBL2022968,CN(C)S(=O)(=O)c1ccccc1Nc2nc(Nc3ccc(CN4CCN(C)CC4)cc3)ncc2Cl,7.22,CHEMBL614241,PSN1,CHEMBL3307348
CHEMBL2022973,CN1CCN(Cc2ccc(Nc3ncc(Cl)c(Nc4ccccc4C(=O)N5CCCC5)n3)cc2)CC1,7.68,CHEMBL614241,PSN1,CHEMBL3307348
CHEMBL34259,CN(Cc1cnc2nc(N)nc(N)c2n1)c3ccc(cc3)C(=O)N[C@@H](CCC(=O)O)C(=O)O,5.8,CHEMBL614241,PSN1,CHEMBL3307348
CHEMBL209148,COc1cc(C)c(Sc2cnc(NC(=O)c3ccc(CNC(C)C(C)(C)C)cc3)s2)cc1C(=O)N4CCN(CC4)C(=O)C,5.6,CHEMBL614241,PSN1,CHEMBL3307348
CHEMBL9470,CC(=CC[C@@H](O)C1=CC(=O)c2c(O)ccc(O)c2C1=O)C,4.15,CHEMBL614241,PSN1,CHEMBL3307348
CHEMBL109480,CO[C@H]1C[C@H](C)CC2=C(NCC=C)C(=O)C=C(NC(=O)\C(=C\C=C/[C@H](OC)[C@@H](OC(=O)N)\C(=C\[C@H](C)[C@H]1O)\C)\C)C2=O,7.34,CHEMBL614241,PSN1,CHEMBL3307348
CHEMBL202721,COc1cc2c(Nc3ccc(NC(=O)c4ccccc4)cc3)ncnc2cc1OCCCN5CCOCC5,5.24,CHEMBL614241,PSN1,CHEMBL3307348
CHEMBL2165191,C[C@@H](Nc1ccccc1C(=O)O)C2=CC(=CN3C(=O)C=C(N=C23)N4CCOCC4)C,4.21,CHEMBL614241,PSN1,CHEMBL3307348
CHEMBL255863,Cc1cn(cn1)c2cc(NC(=O)c3ccc(C)c(Nc4nccc(n4)c5cccnc5)c3)cc(c2)C(F)(F)F,4.05,CHEMBL614241,PSN1,CHEMBL3307348
CHEMBL105442,Fc1ccc(C(=O)NOCC2CC2)c(Nc3ccc(I)cc3Cl)c1F,6.02,CHEMBL614241,PSN1,CHEMBL3307348
CHEMBL1336,CNC(=O)c1cc(Oc2ccc(NC(=O)Nc3ccc(Cl)c(c3)C(F)(F)F)cc2)ccn1,4.19,CHEMBL614241,PSN1,CHEMBL3307348
CHEMBL509032,COc1cc(ccc1Nc2ncc(Cl)c(Nc3ccccc3S(=O)(=O)C(C)C)n2)N4CCC(CC4)N5CCN(C)CC5,6.71,CHEMBL614241,PSN1,CHEMBL3307348
