Molecule ChEMBL ID,Smiles,pChEMBL Value,Target ChEMBL ID,Target Name,Cell ChEMBL ID
CHEMBL2402943,CC(=CCC[C@@]1(C)Oc2c(C)cc3c4ccccc4[nH]c3c2C=C1)C,4.6,CHEMBL2366320,REH,CHEMBL3308823
CHEMBL470803,COc1ccc(CNC(=O)CN2C(=S)S\C(=C/c3oc(cc3)c4ccc(Cl)cc4)\C2=O)cc1,4.36,CHEMBL2366320,REH,CHEMBL3308823
CHEMBL459770,CCCCCCNC(=O)CN1C(=S)S\C(=C/c2oc(cc2)c3ccc(Cl)cc3)\C1=O,4.26,CHEMBL2366320,REH,CHEMBL3308823
CHEMBL462105,CCCNC(=O)CN1C(=S)S\C(=C/c2oc(cc2)c3ccc(Cl)cc3)\C1=O,4.26,CHEMBL2366320,REH,CHEMBL3308823
CHEMBL513202,Cc1ccc(CNC(=O)CN2C(=S)S\C(=C/c3oc(cc3)c4ccc(Cl)cc4)\C2=O)cc1,4.35,CHEMBL2366320,REH,CHEMBL3308823
CHEMBL459557,Clc1ccc(cc1)c2oc(\C=C\3/SC(=S)N(CC(=O)Nc4nnn[nH]4)C3=O)cc2,4.3,CHEMBL2366320,REH,CHEMBL3308823
CHEMBL203173,CCN(CC)C(=O)c1ccc2c(NCCc3c[nH]c4ccccc34)c5ccccc5nc2c1,4.81,CHEMBL2366320,REH,CHEMBL3308823
CHEMBL203172,CN1CCN(CC1)C(=O)c2ccc3c(NCCc4c[nH]c5ccccc45)c6ccccc6nc3c2,5.39,CHEMBL2366320,REH,CHEMBL3308823
CHEMBL259181,OC[C@H](Cc1ccccc1)Nc2nc(Oc3ccc4CCCc4c3)nc5c2ncn5Cc6ccc(cc6)c7ccccc7,4.45,CHEMBL2366320,REH,CHEMBL3308823
CHEMBL585951,Fc1cc(cc(c1)C2=N\C(=N/c3ccc(cc3)n4cnc(n4)N5CCOCC5)\NC=C2)N6CCOCC6,6.14,CHEMBL2366320,REH,CHEMBL3308823
CHEMBL1091644,C[C@@]1(O)C[C@@H](C1)c2nc(c3ccc4ccc(nc4c3)c5ccccc5)c6c(N)nccn26,4.93,CHEMBL2366320,REH,CHEMBL3308823
CHEMBL9470,CC(=CC[C@@H](O)C1=CC(=O)c2c(O)ccc(O)c2C1=O)C,6.83,CHEMBL2366320,REH,CHEMBL3308823
