Molecule ChEMBL ID,Smiles,pChEMBL Value,Target ChEMBL ID,Target Name,Cell ChEMBL ID
CHEMBL387056,Cc1nc2ccccc2n1c3csc(Nc4ccccc4)n3,4.35,CHEMBL614879,RKO,CHEMBL3307731
CHEMBL214635,Cc1nc2ccccc2n1c3csc(Nc4ccc(cc4)S(=O)(=O)N)n3,4.185,CHEMBL614879,RKO,CHEMBL3307731
CHEMBL309767,NCCS(=O)(=O)c1cc(c2ccc[nH]2)c3C(=O)Nc4ccc(F)c1c34,6.37,CHEMBL614879,RKO,CHEMBL3307731
CHEMBL550979,COc1cc(cc(OC)c1OC)C(=O)N\N=C\2/C(=O)Nc3ccc(Br)cc23,5.36,CHEMBL614879,RKO,CHEMBL3307731
CHEMBL65090,CCCCC\C=C/C[C@@]1(O)C=C(Cl)C(=O)/C/1=C/[C@H](OC(=O)C)[C@H](CCCC(=O)OC)OC(=O)C,6.51,CHEMBL614879,RKO,CHEMBL3307731
CHEMBL65090,CCCCC\C=C/C[C@@]1(O)C=C(Cl)C(=O)/C/1=C/[C@H](OC(=O)C)[C@H](CCCC(=O)OC)OC(=O)C,6.43,CHEMBL614879,RKO,
CHEMBL1964244,O=C1Nc2ccc3ncsc3c2/C/1=C/Nc4ccc(cc4)S(=O)(=O)Nc5ccccc5,6.04,CHEMBL614879,RKO,CHEMBL3307731
CHEMBL82768,CC(C)(N)CNc1cc(c2ccc[nH]2)c3C(=O)Nc4ccc(F)c1c34,6.96,CHEMBL614879,RKO,CHEMBL3307731
CHEMBL82767,NCCNc1cc(c2ccc[nH]2)c3C(=O)Nc4ccc(F)c1c34,7.1,CHEMBL614879,RKO,CHEMBL3307731
CHEMBL3126408,C[C@H]1C\C(=C\C=C/C(=O)O[C@@H](Cc2nc(CCCCC(=O)O1)cs2)\C=C(/C)\C=C\C(=C\CN(C)C)\C)\C,8.92,CHEMBL614879,RKO,CHEMBL3307731
CHEMBL234781,CCCCCCCCCCCCOC(=O)[C@@H](C)[C@@]1(O)[C@H](C[C@H]2[C@@H]3CC=C4C[C@@H](O)CC[C@]4(C)[C@H]3CC[C@]12C)O[C@@H]5OC[C@H](O)[C@H](OCC=C)[C@H]5OC(=O)C,5.77,CHEMBL614879,RKO,CHEMBL3307731
CHEMBL304706,CCCCC\C=C/C[C@@]1(O)C=C(Cl)C(=O)[C@@H]1C[C@H](OC(=O)C)[C@H](CCCC(=O)OC)OC(=O)C,6.36,CHEMBL614879,RKO,CHEMBL3307731
CHEMBL386425,COc1ccc(Nc2nc(cs2)n3cc(C)nc3C)cc1,6.6,CHEMBL614879,RKO,CHEMBL3307731
CHEMBL395810,CCCCCCCCCCCCOC(=O)[C@@H](C)[C@@]1(O)[C@H](C[C@H]2[C@@H]3CC=C4C[C@@H](O)CC[C@]4(C)[C@H]3CC[C@]12C)O[C@@H]5OC[C@H](O)[C@H](O[C@@H]6OC[C@@H](O)[C@H](O)[C@H]6OC(=O)c7ccc(OC)cc7)[C@H]5OC(=O)C,9.15,CHEMBL614879,RKO,CHEMBL3307731
CHEMBL1964260,CS(=O)(=O)c1ccc(N\C=C\2/C(=O)Nc3ccc4ncsc4c23)cc1,6.02,CHEMBL614879,RKO,CHEMBL3307731
CHEMBL79848,OCCOc1cc(c2ccc[nH]2)c3C(=O)Nc4ccc(F)c1c34,6.3,CHEMBL614879,RKO,CHEMBL3307731
CHEMBL1964242,O=C1Nc2ccc3ncsc3c2/C/1=C/Nc4ccc(cc4)S(=O)(=O)NCc5ccccc5,6.19,CHEMBL614879,RKO,CHEMBL3307731
CHEMBL312018,Fc1ccc2NC(=O)c3c(ccc1c23)c4ccc[nH]4,5.22,CHEMBL614879,RKO,CHEMBL3307731
CHEMBL551575,COc1cc(cc(OC)c1OC)C(=O)N\N=C\2/C(=O)Nc3ccc(C)c(Br)c23,6.64,CHEMBL614879,RKO,CHEMBL3307731
CHEMBL427406,COc1cccc(Nc2nc(cs2)n3c(C)nc4ccccc34)c1,4.3100000000000005,CHEMBL614879,RKO,CHEMBL3307731
CHEMBL311464,NCCSc1cc(c2ccc[nH]2)c3C(=O)Nc4ccc(F)c1c34,7.0,CHEMBL614879,RKO,CHEMBL3307731
CHEMBL304706,CCCCC\C=C/C[C@@]1(O)C=C(Cl)C(=O)[C@@H]1C[C@H](OC(=O)C)[C@H](CCCC(=O)OC)OC(=O)C,6.33,CHEMBL614879,RKO,
CHEMBL463119,Cc1nc2sc3c(N)ncnc3c2c(C)c1CC=C,5.18,CHEMBL614879,RKO,CHEMBL3307731
CHEMBL1952209,COc1cc[nH]c1\C=C\2/C(=O)Nc3ccc(c(N4CC[C@H](C4)NC=O)c23)[N+](=O)[O-],7.5,CHEMBL614879,RKO,CHEMBL3307731
CHEMBL214634,Cc1nc2ccccc2n1c3csc(Nc4cccc(Br)c4)n3,4.255000000000001,CHEMBL614879,RKO,CHEMBL3307731
CHEMBL116173,COc1ccc(C=C2c3ccccc3C(=O)c4ccccc24)cc1O,7.22,CHEMBL614879,RKO,CHEMBL3307731
CHEMBL409892,NS(=O)(=O)c1ccc(N\N=C\2/C(=O)Nc3ccc4ncccc4c23)cc1,6.41,CHEMBL614879,RKO,CHEMBL3307731
CHEMBL411426,CC(C)c1cccc2NC(=O)\C(=N/Nc3ccc(cc3)S(=O)(=O)N)\c12,5.85,CHEMBL614879,RKO,CHEMBL3307731
CHEMBL424708,Cc1nc(C)c(s1)c2csc(Nc3ccc(Br)cc3)n2,5.34,CHEMBL614879,RKO,CHEMBL3307731
CHEMBL3310320,COc1cc(OCCO)ccc1NC(=O)[C@@H]2N[C@@H](CC(C)(C)C)[C@]3([C@H]2c4cccc(Cl)c4F)C(=O)Nc5cc(Cl)ccc35,7.8,CHEMBL614879,RKO,CHEMBL3307731
