Molecule ChEMBL ID,Smiles,pChEMBL Value,Target ChEMBL ID,Target Name,Cell ChEMBL ID
CHEMBL525978,O=C1NCc2ccccc2c3c1[nH]c4ccccc34,6.66,CHEMBL2366175,RL,CHEMBL3308515
CHEMBL185,FC1=CNC(=O)NC1=O,5.5,CHEMBL2366175,RL,CHEMBL3308515
CHEMBL429864,COc1cc(OC)c(\C=C\C(=O)c2c(OC)cc(OC)cc2OC)c(OC)c1,6.05,CHEMBL2366175,RL,CHEMBL3308515
CHEMBL209148,COc1cc(C)c(Sc2cnc(NC(=O)c3ccc(CNC(C)C(C)(C)C)cc3)s2)cc1C(=O)N4CCN(CC4)C(=O)C,4.87,CHEMBL2366175,RL,CHEMBL3308515
CHEMBL559349,CN1Cc2ccccc2c3c([nH]c4ccccc34)C1=O,6.68,CHEMBL2366175,RL,CHEMBL3308515
CHEMBL3745932,O=C(Nc1ncnc2[nH]cnc12)c3ccccc3c4ccc(cc4)n5ccnc5,5.48,CHEMBL2366175,RL,CHEMBL3308515
CHEMBL3746614,O=C(Nc1ncnc2[nH]cnc12)c3cccc(c3)c4ccc(cc4)n5cccc5,5.8525,CHEMBL2366175,RL,CHEMBL3308515
CHEMBL3746292,O=C(Nc1ncnc2[nH]cnc12)c3ccccc3c4ccccc4,4.87,CHEMBL2366175,RL,CHEMBL3308515
CHEMBL3746624,O=C(Nc1ncnc2[nH]cnc12)c3cccc(c3)c4cccc(c4)n5cccc5,5.549999999999999,CHEMBL2366175,RL,CHEMBL3308515
CHEMBL260655,COc1cccc(OC)c1\C=C\C(=O)c2c(OC)cccc2OC,4.4,CHEMBL2366175,RL,CHEMBL3308515
CHEMBL513909,CC[C@H]1N(C2CCCC2)c3nc(Nc4ccc(cc4OC)C(=O)NC5CCN(C)CC5)ncc3N(C)C1=O,4.41,CHEMBL2366175,RL,CHEMBL3308515
CHEMBL135561,COC(=O)[C@H](CCSC)NC(=O)c1ccc(NC[C@@H](N)CS)cc1c2ccccc2,4.68,CHEMBL2366175,RL,CHEMBL3308515
CHEMBL96926,CCCCCCCC(=O)O[C@@H]1[C@@H](OC(=O)\C(=C/C)\C)C(=C2[C@@H]3OC(=O)[C@@](C)(O)[C@@]3(O)[C@H](C[C@](C)(OC(=O)C)[C@@H]12)OC(=O)CCC)C,5.74,CHEMBL2366175,RL,CHEMBL3308515
CHEMBL509032,COc1cc(ccc1Nc2ncc(Cl)c(Nc3ccccc3S(=O)(=O)C(C)C)n2)N4CCC(CC4)N5CCN(C)CC5,4.25,CHEMBL2366175,RL,CHEMBL3308515
CHEMBL3746335,O=C(Nc1ncnc2[nH]cnc12)c3cccc(c3)c4ccc(cc4)c5c[nH]cn5,5.762500000000001,CHEMBL2366175,RL,CHEMBL3308515
CHEMBL3747651,O=C(Nc1ncnc2[nH]cnc12)c3ccc(cc3)c4ccc(cc4)n5cccc5,5.6025,CHEMBL2366175,RL,CHEMBL3308515
CHEMBL3747387,O=C(Nc1ncnc2[nH]cnc12)c3cccc(c3)c4cccc(c4)c5c[nH]cn5,5.5825,CHEMBL2366175,RL,CHEMBL3308515
CHEMBL3746211,[Na+].[Na+].[O-]S(=O)(=O)c1ccc2C(=O)c3cc(ccc3C(=O)c2c1)S(=O)(=O)[O-],6.133333333333333,CHEMBL2366175,RL,CHEMBL3308515
CHEMBL3824252,CC(=O)NCC(=O)N[C@@H](Cc1ccccc1)C(=O)NC2(CCCCC2)C(=O)NCC(=O)NC3(CCCCC3)C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](CCCCN)C(=O)NC4(CCCCC4)C(=O)NCC(=O)NC5(CCCCC5)C(=O)N[C@@H](Cc6ccccc6)C(=O)NC7(CCCCC7)C(=O)NCC(=O)NC8(CCCCC8)C(=O)NCC(=O)N[C@@H](CCCCN)C(=O)N[C@@H](CCCCN)C(=O)NC9(CCCCC9)C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](CCCCN)C(=O)N,5.7,CHEMBL2366175,RL,CHEMBL3308515
CHEMBL3823170,CC(=O)NCC(=O)N[C@@H](Cc1ccccc1)C(=O)NC2(CCCC2)C(=O)NCC(=O)NC3(CCCC3)C(=O)N[C@@H](CCCNC(=N)N)C(=O)NC4(CCCC4)C(=O)NCC(=O)NC5(CCCC5)C(=O)N[C@@H](Cc6ccccc6)C(=O)NC7(CCCC7)C(=O)NCC(=O)NC8(CCCC8)C(=O)NCC(=O)N[C@@H](CCCNC(=N)N)C(=O)NC9(CCCC9)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N,5.43,CHEMBL2366175,RL,CHEMBL3308515
CHEMBL3824201,CC(=O)NCC(=O)N[C@@H](Cc1ccccc1)C(=O)NC2(CCCCC2)C(=O)NCC(=O)N3C4CCCCC4CC3C(=O)N[C@@H](CCCCN)C(=O)NC5(CCCCC5)C(=O)NCC(=O)N6C7CCCCC7CC6C(=O)N[C@@H](Cc8ccccc8)C(=O)NC9(CCCCC9)C(=O)NCC(=O)N%10C%11CCCCC%11CC%10C(=O)NCC(=O)N[C@@H](CCCCN)C(=O)N%12C%13CCCCC%13CC%12C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](CCCCN)C(=O)N,5.17,CHEMBL2366175,RL,CHEMBL3308515
CHEMBL413,CO[C@@H]1C[C@H](C[C@@H](C)[C@@H]2CC(=O)[C@H](C)\C=C(/C)\[C@@H](O)[C@@H](OC)C(=O)[C@H](C)C[C@H](C)\C=C\C=C\C=C(/C)\[C@H](C[C@@H]3CC[C@@H](C)[C@@](O)(O3)C(=O)C(=O)N4CCCC[C@H]4C(=O)O2)OC)CC[C@H]1O,4.69,CHEMBL2366175,RL,CHEMBL3308515
