Molecule ChEMBL ID,Smiles,pChEMBL Value,Target ChEMBL ID,Target Name,Cell ChEMBL ID
CHEMBL3216113,Cl.Cl.CN(C)CCOCCn1c2ccccc2c3c4C(=O)N(CCN(C)C)C(=O)c4c5c6ccccc6[nH]c5c13,5.4,CHEMBL2366293,ST486,CHEMBL3308887
CHEMBL3215659,Cl.Cl.CNCCOCCn1c2ccccc2c3c4C(=O)N(CCN(C)C)C(=O)c4c5c6ccccc6[nH]c5c13,5.52,CHEMBL2366293,ST486,CHEMBL3308887
CHEMBL2107358,COC1=CC(=N/C/1=C\c2[nH]c(C)cc2C)c3cc4ccccc4[nH]3.CS(=O)(=O)O,8.08,CHEMBL2366293,ST486,CHEMBL3308887
CHEMBL96926,CCCCCCCC(=O)O[C@@H]1[C@@H](OC(=O)\C(=C/C)\C)C(=C2[C@@H]3OC(=O)[C@@](C)(O)[C@@]3(O)[C@H](C[C@](C)(OC(=O)C)[C@@H]12)OC(=O)CCC)C,8.75,CHEMBL2366293,ST486,CHEMBL3308887
CHEMBL1091644,C[C@@]1(O)C[C@@H](C1)c2nc(c3ccc4ccc(nc4c3)c5ccccc5)c6c(N)nccn26,4.79,CHEMBL2366293,ST486,CHEMBL3308887
CHEMBL413,CO[C@@H]1C[C@H](C[C@@H](C)[C@@H]2CC(=O)[C@H](C)\C=C(/C)\[C@@H](O)[C@@H](OC)C(=O)[C@H](C)C[C@H](C)\C=C\C=C\C=C(/C)\[C@H](C[C@@H]3CC[C@@H](C)[C@@](O)(O3)C(=O)C(=O)N4CCCC[C@H]4C(=O)O2)OC)CC[C@H]1O,6.53,CHEMBL2366293,ST486,CHEMBL3308887
CHEMBL601719,C[C@@H](Oc1cc(cnc1N)c2cnn(c2)C3CCNCC3)c4c(Cl)ccc(F)c4Cl,5.61,CHEMBL2366293,ST486,CHEMBL3308887
CHEMBL1938697,CN(C)CCN1C(=O)c2c(C1=O)c3c4ccccc4[nH]c3c5[nH]c6ccccc6c25,6.0,CHEMBL2366293,ST486,CHEMBL3308887
CHEMBL1938701,OCCOCCn1c2ccccc2c3c4C(=O)NC(=O)c4c5c6ccccc6[nH]c5c13,7.0,CHEMBL2366293,ST486,CHEMBL3308887
CHEMBL1256459,CCC(=O)N1CCN(CC1)c2ccc(cc2C(F)(F)F)N3C(=O)C=Cc4cnc5ccc(cc5c34)c6cnc7ccccc7c6,6.97,CHEMBL2366293,ST486,CHEMBL3308887
CHEMBL483847,NC(=O)c1cccc(c1)c2cc(Nc3ccc(OC(F)(F)F)cc3)ncn2,4.51,CHEMBL2366293,ST486,CHEMBL3308887
CHEMBL1643959,CCC(=O)N(C)c1ccc(Nc2nc(NC3CCCN(C3)C(=O)C=C)c4nc[nH]c4n2)cc1,4.16,CHEMBL2366293,ST486,CHEMBL3308887
CHEMBL1938698,CN(C)CCN1C(=O)c2c(C1=O)c3c4ccccc4n(CCOCCO)c3c5[nH]c6ccccc6c25,5.52,CHEMBL2366293,ST486,CHEMBL3308887
CHEMBL1938702,Cl.CN(C)CCOCCn1c2ccccc2c3c4C(=O)NC(=O)c4c5c6ccccc6[nH]c5c13,5.7,CHEMBL2366293,ST486,CHEMBL3308887
CHEMBL388978,CN[C@@H]1C[C@H]2O[C@@](C)([C@@H]1OC)n3c4ccccc4c5c6CNC(=O)c6c7c8ccccc8n2c7c35,8.15,CHEMBL2366293,ST486,CHEMBL3308887
CHEMBL585951,Fc1cc(cc(c1)C2=N\C(=N/c3ccc(cc3)n4cnc(n4)N5CCOCC5)\NC=C2)N6CCOCC6,6.72,CHEMBL2366293,ST486,CHEMBL3308887
CHEMBL449158,CCC\C=C\C=C\C(=O)O[C@H]1\C(=C\C(=O)OC)\C[C@H]2C[C@@H](OC(=O)C[C@H](O)C[C@@H]3C[C@H](OC(=O)C)C(C)(C)[C@](O)(C[C@@H]4C\C(=C\C(=O)OC)\C[C@@H](O4)\C=C\C(C)(C)[C@]1(O)O2)O3)[C@@H](C)O,5.79,CHEMBL2366293,ST486,CHEMBL3308887
CHEMBL608533,CO[C@@H]1[C@@H](C[C@H]2O[C@]1(C)n3c4ccccc4c5c6CNC(=O)c6c7c8ccccc8n2c7c35)N(C)C(=O)c9ccccc9,6.46,CHEMBL2366293,ST486,CHEMBL3308887
CHEMBL1171837,CN1CCN(Cc2ccc(NC(=O)c3ccc(C)c(c3)C#Cc4cnc5cccnn45)cc2C(F)(F)F)CC1,5.62,CHEMBL2366293,ST486,CHEMBL3308887
CHEMBL472940,Oc1ccc2ccccc2c1SSc3c(O)ccc4ccccc34,5.31,CHEMBL2366293,ST486,CHEMBL3308887
CHEMBL515416,Cc1ccc(cc1)c2c(C(=O)CCl)n(CCCO)c3ncnc(N)c23,4.42,CHEMBL2366293,ST486,CHEMBL3308887
CHEMBL1673039,COc1cc(ccc1Nc2ncc3N(C)C(=O)c4ccccc4N(C)c3n2)N5CCN(C)CC5,5.46,CHEMBL2366293,ST486,CHEMBL3308887
CHEMBL379300,Cc1n[nH]c2ccc(cc12)c3cncc(OC[C@@H](N)Cc4c[nH]c5ccccc45)c3,6.69,CHEMBL2366293,ST486,CHEMBL3308887
CHEMBL513909,CC[C@H]1N(C2CCCC2)c3nc(Nc4ccc(cc4OC)C(=O)NC5CCN(C)CC5)ncc3N(C)C1=O,7.48,CHEMBL2366293,ST486,CHEMBL3308887
CHEMBL575448,C[C@]1(CCCN1c2nc(Nc3cc(n[nH]3)C4CC4)c5cccn5n2)C(=O)Nc6ccc(F)nc6,5.89,CHEMBL2366293,ST486,CHEMBL3308887
CHEMBL2363137,Cc1cc(ccc1NS(=O)(=O)c2cc(Cl)ccc2Cl)[N+](=O)[O-],5.32,CHEMBL2366293,ST486,CHEMBL3308887
