Molecule ChEMBL ID,Smiles,pChEMBL Value,Target ChEMBL ID,Target Name,Cell ChEMBL ID
CHEMBL334217,COc1ccc2c(n1)C(=O)c3ncc(OC)c4ccnc2c34,6.3,CHEMBL614243,SW1088,CHEMBL3307573
CHEMBL119894,COc1ccc2C(=O)c3nccc4ccnc(c2n1)c34,5.3,CHEMBL614243,SW1088,CHEMBL3307573
CHEMBL117427,COc1cnc2C(=O)c3ncccc3c4nccc1c24,7.1,CHEMBL614243,SW1088,CHEMBL3307573
CHEMBL117784,COc1ccnc2C(=O)c3nccc4ccnc(c12)c34,5.7,CHEMBL614243,SW1088,CHEMBL3307573
CHEMBL188678,O=C1C=C(Oc2c1cccc2c3cccc4c5ccccc5sc34)N6CCOCC6,4.56,CHEMBL614243,SW1088,CHEMBL3307573
CHEMBL573107,CC(C)CCN1C(C)C(=O)N(C)c2cnc(Nc3cc(F)c(O)c(F)c3)nc12,4.25,CHEMBL614243,SW1088,CHEMBL3307573
CHEMBL1801204,COc1ccc(cc1CO)c2ccc3c(nc(nc3n2)N4CCOC[C@@H]4C)N5CCOC[C@@H]5C,5.87,CHEMBL614243,SW1088,CHEMBL3307573
CHEMBL521851,CS(=O)(=O)N1CCN(Cc2cc3nc(nc(N4CCOCC4)c3s2)c5cccc6[nH]ncc56)CC1,5.6,CHEMBL614243,SW1088,CHEMBL3307573
CHEMBL119700,COc1ccnc2C(=O)c3ncc(OC)c4ccnc(c12)c34,8.1,CHEMBL614243,SW1088,CHEMBL3307573
CHEMBL96926,CCCCCCCC(=O)O[C@@H]1[C@@H](OC(=O)\C(=C/C)\C)C(=C2[C@@H]3OC(=O)[C@@](C)(O)[C@@]3(O)[C@H](C[C@](C)(OC(=O)C)[C@@H]12)OC(=O)CCC)C,6.49,CHEMBL614243,SW1088,CHEMBL3307573
CHEMBL585951,Fc1cc(cc(c1)C2=N\C(=N/c3ccc(cc3)n4cnc(n4)N5CCOCC5)\NC=C2)N6CCOCC6,4.5,CHEMBL614243,SW1088,CHEMBL3307573
CHEMBL202721,COc1cc2c(Nc3ccc(NC(=O)c4ccccc4)cc3)ncnc2cc1OCCCN5CCOCC5,4.99,CHEMBL614243,SW1088,CHEMBL3307573
CHEMBL117616,Clc1ccnc2c3nccc4ccnc(C(=O)c12)c34,5.4,CHEMBL614243,SW1088,CHEMBL3307573
CHEMBL331562,COc1cc(OC)c2c(n1)C(=O)c3nccc4ccnc2c34,5.3,CHEMBL614243,SW1088,CHEMBL3307573
CHEMBL118845,CN(C)c1cc(Cl)nc2C(=O)c3nccc4ccnc(c12)c34,5.3,CHEMBL614243,SW1088,CHEMBL3307573
CHEMBL334029,O=C1c2ncccc2c3nccc4ccnc1c34,5.3,CHEMBL614243,SW1088,CHEMBL3307573
CHEMBL119393,COc1cnc2C(=O)c3nccc(N(C)C)c3c4nccc1c24,5.22,CHEMBL614243,SW1088,CHEMBL3307573
CHEMBL333433,COc1ccnc2c3nccc4ccnc(C(=O)c12)c34,6.05,CHEMBL614243,SW1088,CHEMBL3307573
CHEMBL118709,COc1ccnc2c3nccc4c(OC)cnc(C(=O)c12)c34,5.52,CHEMBL614243,SW1088,CHEMBL3307573
CHEMBL507361,OC[C@@H](O)CONC(=O)c1ccc(F)c(F)c1Nc2ccc(I)cc2F,5.99,CHEMBL614243,SW1088,CHEMBL3307573
CHEMBL331163,CN(C)c1ccnc2C(=O)c3nccc4ccnc(c12)c34,5.3,CHEMBL614243,SW1088,CHEMBL3307573
CHEMBL1201182,CO[C@@H]1C[C@H](C[C@@H](C)[C@@H]2CC(=O)[C@H](C)\C=C(/C)\[C@@H](O)[C@@H](OC)C(=O)[C@H](C)C[C@H](C)\C=C\C=C\C=C(/C)\[C@H](C[C@@H]3CC[C@@H](C)[C@@](O)(O3)C(=O)C(=O)N4CCCC[C@H]4C(=O)O2)OC)CC[C@H]1OC(=O)C(C)(CO)CO,7.5,CHEMBL614243,SW1088,CHEMBL3307573
CHEMBL119037,COc1ccc2c(n1)C(=O)c3nccc4ccnc2c34,5.3,CHEMBL614243,SW1088,CHEMBL3307573
CHEMBL118655,COc1cnc2C(=O)c3cccnc3c4nccc1c24,6.52,CHEMBL614243,SW1088,CHEMBL3307573
CHEMBL603469,C[C@]12O[C@H](C[C@]1(O)CO)n3c4ccccc4c5c6C(=O)NCc6c7c8ccccc8n2c7c35,6.06,CHEMBL614243,SW1088,CHEMBL3307573
CHEMBL1090090,NC(=O)N(c1ccc(C(=O)N)c(n1)c2ccc(F)cc2F)c3c(F)cccc3F,4.21,CHEMBL614243,SW1088,CHEMBL3307573
CHEMBL222102,O=C1C=C(OC(=C1)c2cccc3Sc4ccccc4Sc23)N5CCOCC5,4.14,CHEMBL614243,SW1088,CHEMBL3307573
CHEMBL118201,Oc1ccnc2C(=O)c3nccc4ccnc(c12)c34,5.22,CHEMBL614243,SW1088,CHEMBL3307573
CHEMBL449158,CCC\C=C\C=C\C(=O)O[C@H]1\C(=C\C(=O)OC)\C[C@H]2C[C@@H](OC(=O)C[C@H](O)C[C@@H]3C[C@H](OC(=O)C)C(C)(C)[C@](O)(C[C@@H]4C\C(=C\C(=O)OC)\C[C@@H](O4)\C=C\C(C)(C)[C@]1(O)O2)O3)[C@@H](C)O,7.35,CHEMBL614243,SW1088,CHEMBL3307573
CHEMBL289228,CN1C(=O)C=C(c2cccc(Cl)c2)c3cc(ccc13)[C@](N)(c4ccc(Cl)cc4)c5cncn5C,5.07,CHEMBL614243,SW1088,CHEMBL3307573
CHEMBL105442,Fc1ccc(C(=O)NOCC2CC2)c(Nc3ccc(I)cc3Cl)c1F,5.16,CHEMBL614243,SW1088,CHEMBL3307573
CHEMBL553025,CCC1=C[C@@H]2CN(C1)Cc3c([nH]c4ccccc34)[C@@](C2)(C(=O)OC)c5cc6c(cc5OC)N(C)[C@H]7[C@](O)([C@H](OC(=O)C)[C@]8(CC)C=CCN9CC[C@]67[C@H]89)C(=O)OC,7.1,CHEMBL614243,SW1088,CHEMBL3307573
CHEMBL512504,OC1=C(C#N)C(=O)Nc2scc(c3ccc(cc3)c4ccccc4O)c12,4.7,CHEMBL614243,SW1088,CHEMBL3307573
CHEMBL259181,OC[C@H](Cc1ccccc1)Nc2nc(Oc3ccc4CCCc4c3)nc5c2ncn5Cc6ccc(cc6)c7ccccc7,4.48,CHEMBL614243,SW1088,CHEMBL3307573
CHEMBL135561,COC(=O)[C@H](CCSC)NC(=O)c1ccc(NC[C@@H](N)CS)cc1c2ccccc2,5.29,CHEMBL614243,SW1088,CHEMBL3307573
CHEMBL2363137,Cc1cc(ccc1NS(=O)(=O)c2cc(Cl)ccc2Cl)[N+](=O)[O-],4.91,CHEMBL614243,SW1088,CHEMBL3307573
CHEMBL1171837,CN1CCN(Cc2ccc(NC(=O)c3ccc(C)c(c3)C#Cc4cnc5cccnn45)cc2C(F)(F)F)CC1,6.35,CHEMBL614243,SW1088,CHEMBL3307573
CHEMBL109480,CO[C@H]1C[C@H](C)CC2=C(NCC=C)C(=O)C=C(NC(=O)\C(=C\C=C/[C@H](OC)[C@@H](OC(=O)N)\C(=C\[C@H](C)[C@H]1O)\C)\C)C2=O,6.79,CHEMBL614243,SW1088,CHEMBL3307573
CHEMBL9470,CC(=CC[C@@H](O)C1=CC(=O)c2c(O)ccc(O)c2C1=O)C,6.16,CHEMBL614243,SW1088,CHEMBL3307573
CHEMBL2107358,COC1=CC(=N/C/1=C\c2[nH]c(C)cc2C)c3cc4ccccc4[nH]3.CS(=O)(=O)O,5.56,CHEMBL614243,SW1088,CHEMBL3307573
CHEMBL572881,CC1(C)CNc2cc(NC(=O)c3cccnc3NCc4ccncc4)ccc12,5.36,CHEMBL614243,SW1088,CHEMBL3307573
CHEMBL477772,CN(c1ccc2c(C)n(C)nc2c1)c3ccnc(Nc4ccc(C)c(c4)S(=O)(=O)N)n3,5.02,CHEMBL614243,SW1088,CHEMBL3307573
CHEMBL3349342,COc1cc(F)c(F)c(Nc2ccc(I)cc2F)c1NS(=O)(=O)C3(CC(O)CO)CC3,5.12,CHEMBL614243,SW1088,CHEMBL3307573
CHEMBL888,NC1=NC(=O)N(C=C1)[C@@H]2O[C@H](CO)[C@@H](O)C2(F)F,5.78,CHEMBL614243,SW1088,CHEMBL3307573
CHEMBL191384,N#C\C(=C/1\Nc2ccccc2S1)\c3ccnc(NCCc4cccnc4)n3,4.09,CHEMBL614243,SW1088,CHEMBL3307573
CHEMBL34259,CN(Cc1cnc2nc(N)nc(N)c2n1)c3ccc(cc3)C(=O)N[C@@H](CCC(=O)O)C(=O)O,5.19,CHEMBL614243,SW1088,CHEMBL3307573
CHEMBL1614701,Cn1cnc2c(F)c(Nc3ccc(Br)cc3Cl)c(cc12)C(=O)NOCCO,4.17,CHEMBL614243,SW1088,CHEMBL3307573
CHEMBL1972860,CN(NC(=O)CC(=O)NN(C)C(=S)c1ccccc1)C(=S)c2ccccc2,7.08,CHEMBL614243,SW1088,CHEMBL3307573
CHEMBL2165191,C[C@@H](Nc1ccccc1C(=O)O)C2=CC(=CN3C(=O)C=C(N=C23)N4CCOCC4)C,5.655,CHEMBL614243,SW1088,CHEMBL3307573
CHEMBL575448,C[C@]1(CCCN1c2nc(Nc3cc(n[nH]3)C4CC4)c5cccn5n2)C(=O)Nc6ccc(F)nc6,5.93,CHEMBL614243,SW1088,CHEMBL3307573
CHEMBL189963,CC(=O)C1=C(C)c2cnc(Nc3ccc(cn3)N4CCNCC4)nc2N(C5CCCC5)C1=O,5.46,CHEMBL614243,SW1088,CHEMBL3307573
CHEMBL2041933,NC(=O)Nc1cc(sc1C(=O)N[C@H]2CCCNC2)c3cccc(F)c3,6.04,CHEMBL614243,SW1088,CHEMBL3307573
CHEMBL65,CC[C@@]1(O)C(=O)OCC2=C1C=C3N(Cc4cc5ccccc5nc34)C2=O,7.56,CHEMBL614243,SW1088,CHEMBL3307573
CHEMBL325202,O=C1c2cccnc2c3nccc4ccnc1c34,5.4,CHEMBL614243,SW1088,CHEMBL3307573
CHEMBL210618,CCOc1nc(NC(=O)Cc2cc(OC)ccc2OC)cc(N)c1C#N,4.63,CHEMBL614243,SW1088,CHEMBL3307573
CHEMBL53463,COc1cccc2C(=O)c3c(O)c4C[C@](O)(C[C@H](O[C@H]5C[C@H](N)[C@H](O)[C@H](C)O5)c4c(O)c3C(=O)c12)C(=O)CO,5.68,CHEMBL614243,SW1088,CHEMBL3307573
CHEMBL258844,O=C1Nc2ccccc2N1C3CCN(Cc4ccc(cc4)c5nc6cc7[nH]cnc7cc6nc5c8ccccc8)CC3,4.27,CHEMBL614243,SW1088,CHEMBL3307573
CHEMBL409,CC(O)(CS(=O)(=O)c1ccc(F)cc1)C(=O)Nc2ccc(C#N)c(c2)C(F)(F)F,4.46,CHEMBL614243,SW1088,CHEMBL3307573
CHEMBL252164,CCNC(=O)c1noc(c2cc(C(C)C)c(O)cc2O)c1c3ccc(CN4CCOCC4)cc3,6.27,CHEMBL614243,SW1088,CHEMBL3307573
CHEMBL189584,CCN(CC)CCCCNc1ncc2cc(c(NC(=O)NC(C)(C)C)nc2n1)c3cc(OC)cc(OC)c3,4.29,CHEMBL614243,SW1088,CHEMBL3307573
CHEMBL379975,Oc1ccc2[nH]c3cc(c4ccccc4Cl)c5C(=O)NC(=O)c5c3c2c1,4.81,CHEMBL614243,SW1088,CHEMBL3307573
CHEMBL577784,Ic1cnc(Nc2cccc(NC(=O)N3CCCC3)c2)nc1NCCCNC(=O)c4cccs4,5.7,CHEMBL614243,SW1088,CHEMBL3307573
CHEMBL3545252,O.O.O.CC(=O)O[C@@]12CO[C@@H]1C[C@H](O)[C@]3(C)[C@@H]2[C@H](OC(=O)c4ccccc4)[C@]5(O)C[C@H](OC(=O)[C@H](O)[C@@H](NC(=O)OC(C)(C)C)c6ccccc6)C(=C([C@@H](O)C3=O)C5(C)C)C,8.53,CHEMBL614243,SW1088,CHEMBL3307573
CHEMBL399530,CCc1cc(c(O)cc1O)c2[nH]nc(C)c2c3ccc4OCCOc4c3,4.07,CHEMBL614243,SW1088,CHEMBL3307573
CHEMBL2137530,C(Cc1c[nH]c2ccccc12)Nc3ccc(Nc4ccncc4)cc3,5.55,CHEMBL614243,SW1088,CHEMBL3307573
CHEMBL217354,CC(C)c1ccccc1Cc2cc(C(=O)Nc3ccc(cc3)S(=O)(=O)c4ccccc4C(C)(C)C)c(O)c(O)c2O,6.34,CHEMBL614243,SW1088,CHEMBL3307573
CHEMBL221137,CCCCCCCCCCCC1=C(O)C(=O)C=C(O)C1=O,4.78,CHEMBL614243,SW1088,CHEMBL3307573
CHEMBL1079175,NC1(CCC1)c2ccc(cc2)c3nc4C=CN5C(=O)NN=C5c4cc3c6ccccc6,5.71,CHEMBL614243,SW1088,CHEMBL3307573
CHEMBL939,COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1OCCCN4CCOCC4,5.89,CHEMBL614243,SW1088,CHEMBL3307573
CHEMBL608533,CO[C@@H]1[C@@H](C[C@H]2O[C@]1(C)n3c4ccccc4c5c6CNC(=O)c6c7c8ccccc8n2c7c35)N(C)C(=O)c9ccccc9,6.47,CHEMBL614243,SW1088,CHEMBL3307573
CHEMBL94657,C[C@H]1CCC[C@@]2(C)O[C@H]2C[C@H](OC(=O)C[C@H](O)C(C)(C)C(=O)[C@H](C)[C@H]1O)\C(=C\c3csc(C)n3)\C,8.24,CHEMBL614243,SW1088,CHEMBL3307573
CHEMBL102714,Cn1cc(C2=C(C(=O)NC2=O)c3ccc(Cl)cc3Cl)c4ccccc14,4.46,CHEMBL614243,SW1088,CHEMBL3307573
CHEMBL1091644,C[C@@]1(O)C[C@@H](C1)c2nc(c3ccc4ccc(nc4c3)c5ccccc5)c6c(N)nccn26,4.4,CHEMBL614243,SW1088,CHEMBL3307573
CHEMBL159,CC[C@]1(O)C[C@@H]2CN(CCc3c([nH]c4ccccc34)[C@@](C2)(C(=O)OC)c5cc6c(cc5OC)N(C)[C@H]7[C@](O)([C@H](OC(=O)C)[C@]8(CC)C=CCN9CC[C@]67[C@H]89)C(=O)OC)C1,7.77,CHEMBL614243,SW1088,CHEMBL3307573
CHEMBL803,NC1=NC(=O)N(C=C1)[C@@H]2O[C@H](CO)[C@@H](O)[C@@H]2O,5.48,CHEMBL614243,SW1088,CHEMBL3307573
CHEMBL1173655,CN(C)C\C=C\C(=O)Nc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cc1O[C@H]4CCOC4,4.3,CHEMBL614243,SW1088,CHEMBL3307573
CHEMBL1289926,CNC(=O)c1ccccc1Sc2ccc3c(\C=C\c4ccccn4)n[nH]c3c2,5.12,CHEMBL614243,SW1088,CHEMBL3307573
CHEMBL591429,Oc1c(CC=C)cccc1\C=N\NC(=O)CN2CCN(Cc3ccccc3)CC2,4.09,CHEMBL614243,SW1088,CHEMBL3307573
CHEMBL1023,Cc1cc2c(cc1C(=C)c3ccc(cc3)C(=O)O)C(C)(C)CCC2(C)C,4.21,CHEMBL614243,SW1088,CHEMBL3307573
CHEMBL105,CO[C@]12[C@H]3N[C@H]3CN1C4=C([C@H]2COC(=O)N)C(=O)C(=C(C)C4=O)N,5.33,CHEMBL614243,SW1088,CHEMBL3307573
CHEMBL1879463,CN1C(=O)N(c2ccc(cc2)C(C)(C)C#N)c3c1cnc4ccc(cc34)c5cnc6ccccc6c5,7.55,CHEMBL614243,SW1088,CHEMBL3307573
CHEMBL191334,COc1ccc(C2=N[C@H]([C@H](N2C(=O)N3CCNC(=O)C3)c4ccc(Cl)cc4)c5ccc(Cl)cc5)c(OC(C)C)c1,4.48,CHEMBL614243,SW1088,CHEMBL3307573
CHEMBL98,ONC(=O)CCCCCCC(=O)Nc1ccccc1,5.3,CHEMBL614243,SW1088,CHEMBL3307573
