Molecule ChEMBL ID,Smiles,pChEMBL Value,Target ChEMBL ID,Target Name,Cell ChEMBL ID
CHEMBL374774,CN(C)c1ccc2C(C(=C(N)Oc2c1)C#N)c3cc(Br)cs3,6.82,CHEMBL614361,T47D,CHEMBL3307606
CHEMBL247565,CC1=CC(=C(C(=O)O1)C2=NCCSC(C2)c3ccc(C)cc3)O,5.92,CHEMBL614361,T47D,CHEMBL3307606
CHEMBL248262,CSc1ccc(cc1)C2CC(=NCCS2)C3=C(O)C=C(C)OC3=O,5.56,CHEMBL614361,T47D,CHEMBL3307606
CHEMBL221997,CN(C)c1ccc2C(C(=C(N)Oc2c1)C#N)c3cccc(OCc4ccccc4)c3,5.6,CHEMBL614361,T47D,CHEMBL3307606
CHEMBL374886,COc1cc(OC)cc(c1)C2C(=C(N)Oc3cc(ccc23)N(C)C)C#N,7.64,CHEMBL614361,T47D,CHEMBL3307606
CHEMBL222052,COc1ccc(C2C(=C(N)Oc3cc(ccc23)N(C)C)C#N)c(OC)c1OC,5.5,CHEMBL614361,T47D,CHEMBL3307606
CHEMBL222919,COc1cc(cc(I)c1OC)C2C(=C(N)Oc3cc(ccc23)N(C)C)C#N,7.75,CHEMBL614361,T47D,CHEMBL3307606
CHEMBL1689424,CC1=C(CO[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)C(=O)O[C@H](C1)[C@@H](CO)[C@H]3CC[C@H]4[C@@H]5CC=C6CC=CC(=O)[C@]6(C)[C@H]5C[C@@H](O)[C@]34C,6.66,CHEMBL614361,T47D,CHEMBL3307606
CHEMBL224072,c1ccc2c(c3ccccc3cc2c1)n4ccnc4,4.47,CHEMBL614361,T47D,CHEMBL3307606
CHEMBL22313,C(CCNCc1ccc(cc1)N(c2ccccc2)c3ccccc3)CNCc4ccc(cc4)N(c5ccccc5)c6ccccc6,6.19,CHEMBL614361,T47D,CHEMBL3307606
CHEMBL110742,FC(F)(F)C(=O)Nc1ccccc1c2ccnc3C(=O)c4ncccc4C(=O)c23,7.3,CHEMBL614361,T47D,CHEMBL3307606
CHEMBL428549,NC(=N)NCCCCCCNCc1ccc2ccc3cccc4ccc1c2c34,5.66,CHEMBL614361,T47D,CHEMBL3307606
CHEMBL238151,NC(=N)NCCCCNCc1c2ccccc2cc3ccccc13,4.51,CHEMBL614361,T47D,CHEMBL3307606
CHEMBL1765621,O=S(=O)(Nc1cncc(c1)c2ccc3ncc(c4cccnc4)n3c2)c5ccccc5,5.12,CHEMBL614361,T47D,CHEMBL3307606
CHEMBL1765622,O=S(=O)(Nc1cncc(c1)c2ccc3ncc(c4ccncc4)n3c2)c5ccccc5,5.8,CHEMBL614361,T47D,CHEMBL3307606
CHEMBL1765626,Cc1onc(n1)c2cnc3ccc(cn23)c4cncc(NS(=O)(=O)c5ccc(F)cc5F)c4,6.1,CHEMBL614361,T47D,CHEMBL3307606
CHEMBL1765628,Cc1onc(n1)c2cnc3ccc(cn23)c4cncc(NS(=O)(=O)c5cc(F)cc(F)c5)c4,5.08,CHEMBL614361,T47D,CHEMBL3307606
CHEMBL506238,COc1ccc(OC)c(Nc2cc(nc(n2)c3ccccn3)C(F)(F)F)c1,7.75,CHEMBL614361,T47D,CHEMBL3307606
CHEMBL482535,Oc1cccc(Nc2cc(nc(n2)c3cccnc3)C(F)(F)F)c1,6.01,CHEMBL614361,T47D,CHEMBL3307606
CHEMBL456788,COc1cccc(N(C)c2nc(Cl)nc3ccccc23)c1OC,6.17,CHEMBL614361,T47D,CHEMBL3307606
CHEMBL462400,O=C(c1ccc(cc1)n2ccnc2)c3cc(C#N)c4ccc5ccccc5n34,7.47,CHEMBL614361,T47D,CHEMBL3307606
CHEMBL455464,[O-][N+](=O)c1ccc(cc1)C(=O)c2cc(C#N)c3ccc4ccccc4n23,5.55,CHEMBL614361,T47D,CHEMBL3307606
CHEMBL505530,COc1ccc(CN(C)c2nc(Cl)nc3ccccc23)cc1,7.17,CHEMBL614361,T47D,CHEMBL3307606
CHEMBL215230,CC1CCN(CC1)C(=O)c2coc(n2)c3ccc(CNC(=O)Cc4cccs4)cc3,6.26,CHEMBL614361,T47D,CHEMBL3307606
CHEMBL235808,NC(=N)NCCCCNCc1ccc2ccc3cccc4ccc1c2c34,5.66,CHEMBL614361,T47D,CHEMBL3307606
CHEMBL223072,C\C(=C/C=C/C(=C/C(=O)n1ccnc1)/C)\C=C\C2=C(C)C(CCC2(C)C)n3ccnc3,8.05,CHEMBL614361,T47D,CHEMBL3307606
CHEMBL190837,C\C(=C/C=C/C(=C/C(=O)Nc1ccc(O)cc1)/C)\C=C\C2=C(C)C(CCC2(C)C)n3ccnc3,6.24,CHEMBL614361,T47D,CHEMBL3307606
CHEMBL1257252,O=C(NCCCSc1nc2ccccc2s1)NC(=O)Nc3ccccc3,4.46,CHEMBL614361,T47D,CHEMBL3307606
CHEMBL1257371,O=C(NCc1ccccc1)NC(=O)NCc2ccccc2,4.12,CHEMBL614361,T47D,CHEMBL3307606
CHEMBL1257601,O=C(NCCCSc1nnnn1c2ccccc2)NC(=O)NCc3ccccc3,4.3,CHEMBL614361,T47D,CHEMBL3307606
CHEMBL1257844,O=C(NCCCSc1nc2ccccc2s1)NC(=O)NCCc3ccccc3,4.35,CHEMBL614361,T47D,CHEMBL3307606
CHEMBL1257961,O=C(NCCCSc1nc2ccccc2s1)NC(=O)NCCCc3ccccc3,4.22,CHEMBL614361,T47D,CHEMBL3307606
CHEMBL1258073,Cc1cc(NC(=O)NCCCCCCSc2nc3ccccc3s2)c4ccccc4n1,4.0,CHEMBL614361,T47D,CHEMBL3307606
CHEMBL1255977,O=C(NC(=O)Nc1ccccc1)Nc2ccccc2,4.22,CHEMBL614361,T47D,CHEMBL3307606
CHEMBL442636,CCCCCc1cc(OCOCCOC)c(cc1C(=O)\C=C\c2ccc(cc2)C(=O)O)C34CC5CC(CC(C5)C3)C4,5.66,CHEMBL614361,T47D,CHEMBL3307606
CHEMBL521706,COC(c1ccc(OC)cc1)c2ccc(N(C)C)c3ccccc23,6.23,CHEMBL614361,T47D,CHEMBL3307606
CHEMBL583959,S=C(SSC(=S)N1CCCC1)N2CCCC2,6.55,CHEMBL614361,T47D,CHEMBL3307606
CHEMBL477383,COc1ccc2C(=C(C#N)C(=O)Oc2c1)c3cc(OC)cc(OC)c3,7.77,CHEMBL614361,T47D,CHEMBL3307606
CHEMBL476982,Cc1cncc(c1)C2=C(C#N)C(=O)Oc3c2ccc4c3ccn4C,7.72,CHEMBL614361,T47D,CHEMBL3307606
CHEMBL494943,COc1ccc(cc1)N(C)c2nc(CN(C)C)nc3ccccc23,5.75,CHEMBL614361,T47D,CHEMBL3307606
CHEMBL495141,COc1ccc(Nc2nc(C)nc3ccccc23)cc1,5.19,CHEMBL614361,T47D,CHEMBL3307606
CHEMBL450582,CN(c1ccc(OC(F)F)cc1)c2nc(C)nc3ccccc23,8.05,CHEMBL614361,T47D,CHEMBL3307606
CHEMBL506330,COc1ccc(cn1)N(C)c2nc(C)nc3ccccc23,7.96,CHEMBL614361,T47D,CHEMBL3307606
CHEMBL527023,COc1ccc(cc1)N(C)c2nc(nc3ccsc23)c4ccccc4,6.47,CHEMBL614361,T47D,CHEMBL3307606
CHEMBL107,COC1=CC=C2C(=CC1=O)[C@H](CCc3cc(OC)c(OC)c(OC)c23)NC(=O)C,7.95,CHEMBL614361,T47D,CHEMBL3307606
CHEMBL557104,Cc1cc(Cl)ccc1c2noc(n2)c3occc3Br,5.96,CHEMBL614361,T47D,CHEMBL3307606
CHEMBL559667,Clc1ccc(c(CBr)c1)c2noc(n2)c3occc3Br,5.66,CHEMBL614361,T47D,CHEMBL3307606
CHEMBL191081,Cc1cc(Cl)ccc1c2noc(n2)c3sccc3Cl,6.04,CHEMBL614361,T47D,CHEMBL3307606
CHEMBL196304,COc1cc(cc(Br)c1OC)C2C(=C(N)Oc3c(O)c(O)ccc23)C#N,5.77,CHEMBL614361,T47D,CHEMBL3307606
CHEMBL118201,Oc1ccnc2C(=O)c3nccc4ccnc(c12)c34,5.22,CHEMBL614361,T47D,CHEMBL3307606
CHEMBL425005,CC1(C)OC(=S)Nc2ccc(cc12)c3ccc(C#N)[nH]3,9.82,CHEMBL614361,T47D,CHEMBL3307606
CHEMBL373355,COc1cc(cc2OCOc12)C3C(=C(N)Oc4cc(N)ccc34)C#N,5.92,CHEMBL614361,T47D,CHEMBL3307606
CHEMBL288640,NC(=N)NCc1ccccc1,4.08,CHEMBL614361,T47D,CHEMBL3307606
CHEMBL391612,NC(=N)NCc1ccc2ccc3cccc4ccc1c2c34,4.36,CHEMBL614361,T47D,CHEMBL3307606
CHEMBL2171300,Oc1ccc(cc1)c2cc(nc(c2)c3ccccn3)c4ccc(Cl)cc4,4.59,CHEMBL614361,T47D,CHEMBL3307606
CHEMBL2316052,N=C(NCCCN1CCN(CCCNC(=N)c2ccccn2)CC1)c3ccccn3,4.65,CHEMBL614361,T47D,CHEMBL3307606
CHEMBL2171292,Oc1ccc(cc1)c2cc(nc(c2)c3cccc(Cl)c3)c4occc4,5.28,CHEMBL614361,T47D,CHEMBL3307606
CHEMBL2171106,Oc1cccc(c1)c2cc(nc(c2)c3ccsc3)c4ccc(Cl)cc4,4.94,CHEMBL614361,T47D,CHEMBL3307606
CHEMBL2171099,Oc1cccc(c1)c2cc(nc(c2)c3cccc(Cl)c3)c4ccsc4,5.45,CHEMBL614361,T47D,CHEMBL3307606
CHEMBL393690,COc1ccc(cc1)C(=O)O[C@@H]2[C@@H](O)[C@H](O)CO[C@H]2O[C@@H]3[C@H](O)CO[C@H](O[C@H]4C[C@H]5[C@@H]6CCc7cc(O)ccc7[C@H]6CC[C@]5(C)[C@@]4(O)[C@H](C)C(=O)CCC(C)C)[C@H]3OC(=O)C,6.15,CHEMBL614361,T47D,CHEMBL3307606
CHEMBL398092,COc1ccc(cc1)C(=O)O[C@@H]2[C@@H](O)[C@H](O)CO[C@H]2O[C@@H]3[C@H](F)CO[C@H](O[C@H]4C[C@H]5[C@@H]6CCc7cc(O)ccc7[C@H]6CC[C@]5(C)[C@@]4(O)[C@H](C)C(=O)CCC(C)C)[C@H]3OC(=O)C,5.55,CHEMBL614361,T47D,CHEMBL3307606
CHEMBL454962,Cc1ccccc1NC(=O)c2cccc3c4ccccc4C(=O)c23,6.01,CHEMBL614361,T47D,CHEMBL3307606
CHEMBL598130,O=C(Nc1ccccc1n2cccn2)c3cccc4c3Cc5ccccc45,5.5,CHEMBL614361,T47D,CHEMBL3307606
CHEMBL598559,Cc1ccccc1NC(=O)c2cccc3c2Cc4ccccc34,5.77,CHEMBL614361,T47D,CHEMBL3307606
CHEMBL605777,Nc1ccc2c(c1)C(=O)c3c(cccc23)C(=O)Nc4ccccc4n5cccn5,6.01,CHEMBL614361,T47D,CHEMBL3307606
CHEMBL599591,[N-]=[N+]=Nc1ccc2c(c1)C(=O)c3c(cccc23)C(=O)Nc4ccccc4n5cccn5,6.33,CHEMBL614361,T47D,CHEMBL3307606
CHEMBL605006,[O-][N+](=O)c1ccc2c(c1)C(=O)c3c(cccc23)C(=O)Nc4ccccc4n5cc(Br)cn5,5.89,CHEMBL614361,T47D,CHEMBL3307606
CHEMBL331760,COc1cc2Cc3c(Nc4cccc(C)c4)[nH]nc3c2cc1OC,7.38,CHEMBL614361,T47D,CHEMBL3307606
CHEMBL120862,COc1cc2Cc3c(Nc4cccc(Br)c4)[nH]nc3c2cc1OC,7.43,CHEMBL614361,T47D,CHEMBL3307606
CHEMBL229054,COc1cc(cc(Br)c1OC)C2C(=C(N)Oc3c4CCCCc4ccc23)C#N,6.72,CHEMBL614361,T47D,CHEMBL3307606
CHEMBL496939,COc1cccc(c1)C(=O)c2ccc(N(C)C)c3ccccc23,5.58,CHEMBL614361,T47D,CHEMBL3307606
CHEMBL493725,CNc1nc(N(C)c2ccc(OC)cc2)c3ccccc3n1,8.1,CHEMBL614361,T47D,CHEMBL3307606
CHEMBL492922,COc1ccc(OC)c(Sc2ccc(OC)cc2\C=N\NC(=N)N)c1,5.16,CHEMBL614361,T47D,CHEMBL3307606
CHEMBL492923,COc1ccc(OC)c(Sc2ccc(cc2\C=N\NC(=N)N)[N+](=O)[O-])c1,6.7,CHEMBL614361,T47D,CHEMBL3307606
CHEMBL493125,COc1ccc(OC)c(Sc2cc(OC)ccc2\C=N\NC(=N)N)c1,6.89,CHEMBL614361,T47D,CHEMBL3307606
CHEMBL493126,CNC(=N)N\N=C\c1ccccc1Sc2cc(OC)ccc2OC,7.16,CHEMBL614361,T47D,CHEMBL3307606
CHEMBL388797,COc1cccc(c1)C2C(=C(N)Oc3c2ccc4[nH]ccc34)C#N,7.28,CHEMBL614361,T47D,CHEMBL3307606
CHEMBL54875,Nc1ccc(cc1F)C2=CC(=O)c3c(N)c(F)cc(F)c3O2,7.51,CHEMBL614361,T47D,CHEMBL3307606
CHEMBL228997,COc1cc(cc(OC)c1OC)C2C(=C(N)Oc3c2ccc4cc[nH]c34)C#N,7.14,CHEMBL614361,T47D,CHEMBL3307606
CHEMBL229109,COc1cc(cc(Br)c1OC)C2C(=C(N)Oc3c2ccc4nc(C)c(C)nc34)C#N,5.67,CHEMBL614361,T47D,CHEMBL3307606
CHEMBL447382,COCCOCOc1cc(C\C=C\c2ccccc2)c(cc1C34CC5CC(CC(C5)C3)C4)C(=O)\C=C\c6ccc(cc6)C(=O)O,5.85,CHEMBL614361,T47D,CHEMBL3307606
CHEMBL1684984,CS(=O)(=O)N1CCc2c1nc(nc2c3cnc(N)nc3)N4CCOCC4,7.25,CHEMBL614361,T47D,CHEMBL3307606
CHEMBL204167,COC(=O)[C@H](CCSC)NC(=O)[C@H](Cc1ccc(O)c(C)c1C)NC(=O)[C@@H](NC(=O)[C@@H](N)CS)C(C)C,4.05,CHEMBL614361,T47D,CHEMBL3307606
CHEMBL513194,Oc1ccc(Cl)c(Nc2cc(nc(n2)c3ccncc3)C(F)(F)F)c1,7.11,CHEMBL614361,T47D,CHEMBL3307606
CHEMBL511311,COc1ccc(C)cc1Nc2cc(nc(n2)c3cccnc3)C(F)(F)F,7.02,CHEMBL614361,T47D,CHEMBL3307606
CHEMBL469597,Cc1ccc(C)c(Nc2cc(nc(n2)c3ccncc3)C(F)(F)F)c1,6.92,CHEMBL614361,T47D,CHEMBL3307606
CHEMBL2382058,COc1ccc(\C=C\C(=O)c2cccs2)cc1Br,4.66,CHEMBL614361,T47D,CHEMBL3307606
CHEMBL196484,NC1=C(C#N)C(c2cccc(c2)C#N)c3ccc(N)c(N)c3O1,6.41,CHEMBL614361,T47D,CHEMBL3307606
CHEMBL3088339,C1CN(CCO1)c2ncnc3sc(Nc4ccccc4)nc23,4.23,CHEMBL614361,T47D,CHEMBL3307606
CHEMBL2042114,CC(=O)\C(=N\Nc1ccc2C(=O)C=C(C)Oc2c1)\N3CCN(CC3)c4ccc(F)cc4,5.46,CHEMBL614361,T47D,CHEMBL3307606
CHEMBL384522,CC(Cc1ccccc1)C(=O)SCCCCCCC(=O)Nc2nc(cs2)c3ccccc3,5.37,CHEMBL614361,T47D,CHEMBL3307606
CHEMBL3104257,C\C(=N\NC(=O)c1ccc(Cl)c(Br)c1)\c2cc(Cl)ccc2O,6.25,CHEMBL614361,T47D,CHEMBL3307606
CHEMBL83286,COc1ccc(cc1)C2=Cc3c(OC)cc(OC)cc3N(C)/C/2=N\Nc4ccccc4,5.0,CHEMBL614361,T47D,CHEMBL3307606
CHEMBL468333,Cc1ccc(NC(=O)c2cccc3c4ccccc4C(=O)c23)cc1,5.34,CHEMBL614361,T47D,CHEMBL3307606
