Molecule ChEMBL ID,Smiles,pChEMBL Value,Target ChEMBL ID,Target Name,Cell ChEMBL ID
CHEMBL3261103,COC(=O)c1ccc(C)c(C[C@H]2C(=C)CC[C@@H]3[C@]2(C)CCC[C@]3(C)C(=O)OC)c1C(=O)OC,4.6,CHEMBL613531,T84,CHEMBL3307275
CHEMBL3261104,COC(=O)[C@@]1(C)CCC[C@]2(C)[C@@H](Cc3c(C)ccc4C(=O)C=CC(=O)c34)C(=C)CC[C@@H]12,6.25,CHEMBL613531,T84,CHEMBL3307275
CHEMBL3261102,COC(=O)c1cccc(C)c1C[C@H]2C(=C)CC[C@@H]3[C@]2(C)CCC[C@]3(C)C(=O)OC,4.54,CHEMBL613531,T84,CHEMBL3307275
CHEMBL3350053,CCCCCCCCCCCCCCCCOC[C@H](CO[C@H]1O[C@@H](CO)[C@H](O)[C@@H](O)[C@@H]1N)OC,4.91,CHEMBL613531,T84,CHEMBL3307275
CHEMBL608533,CO[C@@H]1[C@@H](C[C@H]2O[C@]1(C)n3c4ccccc4c5c6CNC(=O)c6c7c8ccccc8n2c7c35)N(C)C(=O)c9ccccc9,4.78,CHEMBL613531,T84,CHEMBL3307275
CHEMBL217354,CC(C)c1ccccc1Cc2cc(C(=O)Nc3ccc(cc3)S(=O)(=O)c4ccccc4C(C)(C)C)c(O)c(O)c2O,4.86,CHEMBL613531,T84,CHEMBL3307275
CHEMBL3261106,COC(=O)[C@@]1(C)CCC[C@]2(C)[C@@H](Cc3c(C)ccc4C(=O)C=C(O)C(=O)c34)C(=C)CC[C@@H]12,4.52,CHEMBL613531,T84,CHEMBL3307275
CHEMBL1023,Cc1cc2c(cc1C(=C)c3ccc(cc3)C(=O)O)C(C)(C)CCC2(C)C,4.07,CHEMBL613531,T84,CHEMBL3307275
CHEMBL3261108,COC(=O)c1ccc(C)c(C[C@H]2C(=C)CC[C@@H]3[C@]2(C)CCC[C@]3(C)C(=O)OC)c1O,4.4,CHEMBL613531,T84,CHEMBL3307275
CHEMBL105,CO[C@]12[C@H]3N[C@H]3CN1C4=C([C@H]2COC(=O)N)C(=O)C(=C(C)C4=O)N,6.76,CHEMBL613531,T84,CHEMBL3307275
CHEMBL259181,OC[C@H](Cc1ccccc1)Nc2nc(Oc3ccc4CCCc4c3)nc5c2ncn5Cc6ccc(cc6)c7ccccc7,4.98,CHEMBL613531,T84,CHEMBL3307275
CHEMBL472940,Oc1ccc2ccccc2c1SSc3c(O)ccc4ccccc34,4.91,CHEMBL613531,T84,CHEMBL3307275
CHEMBL67,COc1ccc(\C=C/c2cc(OC)c(OC)c(OC)c2)cc1O,7.63,CHEMBL613531,T84,CHEMBL3307275
CHEMBL3581855,C[C@]1(CO)CCC[C@@]2(C)[C@H]1CC(=O)c3cc4C(=O)C=CC(=O)c4cc23,5.1,CHEMBL613531,T84,CHEMBL3307275
CHEMBL3581854,COc1ccc(OC)c2cc3c(cc12)C(=O)C[C@H]4[C@@](C)(CO)CCC[C@]34C,4.38,CHEMBL613531,T84,CHEMBL3307275
CHEMBL403664,C[C@@H](O)[C@H](NC(=O)[C@@H](C)[C@H](O)[C@@H](C)NC(=O)[C@@H](NC(=O)c1nc(nc(N)c1C)[C@H](CC(=O)N)NC[C@H](N)C(=O)N)[C@@H](O[C@@H]2O[C@@H](CO)[C@@H](O)[C@H](O)[C@@H]2O[C@H]3O[C@H](CO)[C@@H](O)[C@H](OC(=O)N)[C@@H]3O)c4c[nH]cn4)C(=O)NCCc5nc(cs5)c6nc(cs6)C(=O)NCCC[S+](C)C,4.87,CHEMBL613531,T84,CHEMBL3307275
CHEMBL1201182,CO[C@@H]1C[C@H](C[C@@H](C)[C@@H]2CC(=O)[C@H](C)\C=C(/C)\[C@@H](O)[C@@H](OC)C(=O)[C@H](C)C[C@H](C)\C=C\C=C\C=C(/C)\[C@H](C[C@@H]3CC[C@@H](C)[C@@](O)(O3)C(=O)C(=O)N4CCCC[C@H]4C(=O)O2)OC)CC[C@H]1OC(=O)C(C)(CO)CO,4.84,CHEMBL613531,T84,CHEMBL3307275
CHEMBL289228,CN1C(=O)C=C(c2cccc(Cl)c2)c3cc(ccc13)[C@](N)(c4ccc(Cl)cc4)c5cncn5C,6.26,CHEMBL613531,T84,CHEMBL3307275
CHEMBL585951,Fc1cc(cc(c1)C2=N\C(=N/c3ccc(cc3)n4cnc(n4)N5CCOCC5)\NC=C2)N6CCOCC6,5.82,CHEMBL613531,T84,CHEMBL3307275
CHEMBL558642,OC(=O)c1ccc(cc1C2CCCC2)c3c[nH]c4ncc(cc34)c5ccccc5,5.58,CHEMBL613531,T84,CHEMBL3307275
CHEMBL109480,CO[C@H]1C[C@H](C)CC2=C(NCC=C)C(=O)C=C(NC(=O)\C(=C\C=C/[C@H](OC)[C@@H](OC(=O)N)\C(=C\[C@H](C)[C@H]1O)\C)\C)C2=O,4.72,CHEMBL613531,T84,CHEMBL3307275
CHEMBL2032213,COc1ccc(cc1)[C@H]2[C@H](O)C(=O)N2c3cc(OC)cc(OC)c3,8.205,CHEMBL613531,T84,CHEMBL3307275
CHEMBL409,CC(O)(CS(=O)(=O)c1ccc(F)cc1)C(=O)Nc2ccc(C#N)c(c2)C(F)(F)F,4.49,CHEMBL613531,T84,CHEMBL3307275
CHEMBL252164,CCNC(=O)c1noc(c2cc(C(C)C)c(O)cc2O)c1c3ccc(CN4CCOCC4)cc3,7.88,CHEMBL613531,T84,CHEMBL3307275
CHEMBL888,NC1=NC(=O)N(C=C1)[C@@H]2O[C@H](CO)[C@@H](O)C2(F)F,7.8,CHEMBL613531,T84,CHEMBL3307275
CHEMBL1173655,CN(C)C\C=C\C(=O)Nc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cc1O[C@H]4CCOC4,4.94,CHEMBL613531,T84,CHEMBL3307275
CHEMBL803,NC1=NC(=O)N(C=C1)[C@@H]2O[C@H](CO)[C@@H](O)[C@@H]2O,4.38,CHEMBL613531,T84,CHEMBL3307275
CHEMBL1917936,C[C@]1(CO)CCC[C@H]2[C@H]1C=Cc3cc4C(=O)C=CC(=O)c4cc23,4.94,CHEMBL613531,T84,CHEMBL3307275
CHEMBL2165191,C[C@@H](Nc1ccccc1C(=O)O)C2=CC(=CN3C(=O)C=C(N=C23)N4CCOCC4)C,4.23,CHEMBL613531,T84,CHEMBL3307275
CHEMBL443684,CC1(C)CCC(=C(CN2CCN(CC2)c3ccc(cc3)C(=O)NS(=O)(=O)c4ccc(N[C@H](CCN5CCOCC5)CSc6ccccc6)c(c4)S(=O)(=O)C(F)(F)F)C1)c7ccc(Cl)cc7,4.41,CHEMBL613531,T84,CHEMBL3307275
CHEMBL94657,C[C@H]1CCC[C@@]2(C)O[C@H]2C[C@H](OC(=O)C[C@H](O)C(C)(C)C(=O)[C@H](C)[C@H]1O)\C(=C\c3csc(C)n3)\C,9.62,CHEMBL613531,T84,CHEMBL3307275
CHEMBL9470,CC(=CC[C@@H](O)C1=CC(=O)c2c(O)ccc(O)c2C1=O)C,4.84,CHEMBL613531,T84,CHEMBL3307275
CHEMBL2107358,COC1=CC(=N/C/1=C\c2[nH]c(C)cc2C)c3cc4ccccc4[nH]3.CS(=O)(=O)O,6.67,CHEMBL613531,T84,CHEMBL3307275
CHEMBL3781424,COc1c(CC=C(C)C)c(O)c(C(=O)O)c(CCc2ccccc2)c1CC=C(C)C,4.96,CHEMBL613531,T84,CHEMBL3307275
CHEMBL34259,CN(Cc1cnc2nc(N)nc(N)c2n1)c3ccc(cc3)C(=O)N[C@@H](CCC(=O)O)C(=O)O,4.76,CHEMBL613531,T84,CHEMBL3307275
CHEMBL1879463,CN1C(=O)N(c2ccc(cc2)C(C)(C)C#N)c3c1cnc4ccc(cc34)c5cnc6ccccc6c5,5.16,CHEMBL613531,T84,CHEMBL3307275
CHEMBL221137,CCCCCCCCCCCC1=C(O)C(=O)C=C(O)C1=O,5.01,CHEMBL613531,T84,CHEMBL3307275
CHEMBL575448,C[C@]1(CCCN1c2nc(Nc3cc(n[nH]3)C4CC4)c5cccn5n2)C(=O)Nc6ccc(F)nc6,7.47,CHEMBL613531,T84,CHEMBL3307275
CHEMBL507361,OC[C@@H](O)CONC(=O)c1ccc(F)c(F)c1Nc2ccc(I)cc2F,4.74,CHEMBL613531,T84,CHEMBL3307275
CHEMBL2363137,Cc1cc(ccc1NS(=O)(=O)c2cc(Cl)ccc2Cl)[N+](=O)[O-],5.33,CHEMBL613531,T84,CHEMBL3307275
CHEMBL1091644,C[C@@]1(O)C[C@@H](C1)c2nc(c3ccc4ccc(nc4c3)c5ccccc5)c6c(N)nccn26,5.92,CHEMBL613531,T84,CHEMBL3307275
CHEMBL1190711,COc1ccc(cc1OC)c2cc3nccn3c(Nc4ncccc4C(=O)N)n2,5.49,CHEMBL613531,T84,CHEMBL3307275
CHEMBL449158,CCC\C=C\C=C\C(=O)O[C@H]1\C(=C\C(=O)OC)\C[C@H]2C[C@@H](OC(=O)C[C@H](O)C[C@@H]3C[C@H](OC(=O)C)C(C)(C)[C@](O)(C[C@@H]4C\C(=C\C(=O)OC)\C[C@@H](O4)\C=C\C(C)(C)[C@]1(O)O2)O3)[C@@H](C)O,6.29,CHEMBL613531,T84,CHEMBL3307275
CHEMBL191384,N#C\C(=C/1\Nc2ccccc2S1)\c3ccnc(NCCc4cccnc4)n3,5.41,CHEMBL613531,T84,CHEMBL3307275
CHEMBL3545252,O.O.O.CC(=O)O[C@@]12CO[C@@H]1C[C@H](O)[C@]3(C)[C@@H]2[C@H](OC(=O)c4ccccc4)[C@]5(O)C[C@H](OC(=O)[C@H](O)[C@@H](NC(=O)OC(C)(C)C)c6ccccc6)C(=C([C@@H](O)C3=O)C5(C)C)C,6.96,CHEMBL613531,T84,CHEMBL3307275
CHEMBL3261105,COC(=O)[C@@]1(C)CCC[C@]2(C)[C@@H](Cc3c(C)ccc4C(=O)C=C(OC)C(=O)c34)C(=C)CC[C@@H]12,4.78,CHEMBL613531,T84,CHEMBL3307275
CHEMBL399530,CCc1cc(c(O)cc1O)c2[nH]nc(C)c2c3ccc4OCCOc4c3,4.02,CHEMBL613531,T84,CHEMBL3307275
CHEMBL1090771,NC(=O)[C@@H](CCC(F)(F)F)N(Cc1ccc(cc1F)c2nocn2)S(=O)(=O)c3ccc(Cl)cc3,4.05,CHEMBL613531,T84,CHEMBL3307275
CHEMBL553025,CCC1=C[C@@H]2CN(C1)Cc3c([nH]c4ccccc34)[C@@](C2)(C(=O)OC)c5cc6c(cc5OC)N(C)[C@H]7[C@](O)([C@H](OC(=O)C)[C@]8(CC)C=CCN9CC[C@]67[C@H]89)C(=O)OC,7.27,CHEMBL613531,T84,CHEMBL3307275
CHEMBL65,CC[C@@]1(O)C(=O)OCC2=C1C=C3N(Cc4cc5ccccc5nc34)C2=O,5.34,CHEMBL613531,T84,CHEMBL3307275
CHEMBL3261107,COC(=O)[C@@]1(C)CCC[C@]2(C)[C@@H](Cc3c(C)cccc3C#N)C(=C)CC[C@@H]12,4.63,CHEMBL613531,T84,CHEMBL3307275
CHEMBL591429,Oc1c(CC=C)cccc1\C=N\NC(=O)CN2CCN(Cc3ccccc3)CC2,5.99,CHEMBL613531,T84,CHEMBL3307275
CHEMBL1972860,CN(NC(=O)CC(=O)NN(C)C(=S)c1ccccc1)C(=S)c2ccccc2,5.76,CHEMBL613531,T84,CHEMBL3307275
CHEMBL44657,COc1cc(cc(OC)c1O)[C@H]2[C@@H]3[C@H](COC3=O)[C@H](O[C@@H]4O[C@@H]5CO[C@@H](C)O[C@H]5[C@H](O)[C@H]4O)c6cc7OCOc7cc26,5.52,CHEMBL613531,T84,CHEMBL3307275
CHEMBL2337127,COc1cc(CCc2ccccc2)c(C(=O)O)c(O)c1C\C=C(/C)\CCC=C(C)C,4.89,CHEMBL613531,T84,CHEMBL3307275
CHEMBL185,FC1=CNC(=O)NC1=O,5.21,CHEMBL613531,T84,CHEMBL3307275
CHEMBL603469,C[C@]12O[C@H](C[C@]1(O)CO)n3c4ccccc4c5c6C(=O)NCc6c7c8ccccc8n2c7c35,4.37,CHEMBL613531,T84,CHEMBL3307275
CHEMBL2134202,CCc1cncnc1N2CCN(Cc3nc4cc(ccc4[nH]3)C(F)(F)F)CC2,4.38,CHEMBL613531,T84,CHEMBL3307275
CHEMBL512504,OC1=C(C#N)C(=O)Nc2scc(c3ccc(cc3)c4ccccc4O)c12,4.57,CHEMBL613531,T84,CHEMBL3307275
CHEMBL1171837,CN1CCN(Cc2ccc(NC(=O)c3ccc(C)c(c3)C#Cc4cnc5cccnn45)cc2C(F)(F)F)CC1,4.66,CHEMBL613531,T84,CHEMBL3307275
CHEMBL939,COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1OCCCN4CCOCC4,4.6,CHEMBL613531,T84,CHEMBL3307275
CHEMBL258844,O=C1Nc2ccccc2N1C3CCN(Cc4ccc(cc4)c5nc6cc7[nH]cnc7cc6nc5c8ccccc8)CC3,4.16,CHEMBL613531,T84,CHEMBL3307275
CHEMBL2032319,COc1ccc(cc1O)[C@H]2[C@H](O)C(=O)N2c3cc(OC)c(OC)c(OC)c3,7.5150000000000015,CHEMBL613531,T84,CHEMBL3307275
CHEMBL53463,COc1cccc2C(=O)c3c(O)c4C[C@](O)(C[C@H](O[C@H]5C[C@H](N)[C@H](O)[C@H](C)O5)c4c(O)c3C(=O)c12)C(=O)CO,7.24,CHEMBL613531,T84,CHEMBL3307275
CHEMBL96926,CCCCCCCC(=O)O[C@@H]1[C@@H](OC(=O)\C(=C/C)\C)C(=C2[C@@H]3OC(=O)[C@@](C)(O)[C@@]3(O)[C@H](C[C@](C)(OC(=O)C)[C@@H]12)OC(=O)CCC)C,7.87,CHEMBL613531,T84,CHEMBL3307275
CHEMBL481,CCc1c2CN3C(=O)C4=C(C=C3c2nc5ccc(OC(=O)N6CCC(CC6)N7CCCCC7)cc15)[C@@](O)(CC)C(=O)OC4,5.92,CHEMBL613531,T84,CHEMBL3307275
CHEMBL159,CC[C@]1(O)C[C@@H]2CN(CCc3c([nH]c4ccccc34)[C@@](C2)(C(=O)OC)c5cc6c(cc5OC)N(C)[C@H]7[C@](O)([C@H](OC(=O)C)[C@]8(CC)C=CCN9CC[C@]67[C@H]89)C(=O)OC)C1,5.09,CHEMBL613531,T84,CHEMBL3307275
