Molecule ChEMBL ID,Smiles,pChEMBL Value,Target ChEMBL ID,Target Name,Cell ChEMBL ID
CHEMBL383961,Oc1nc2cccc3OCCNCCN4Sc5c(cccc5c1nc23)C4=O,6.22,CHEMBL614775,T98G,CHEMBL3307777
CHEMBL461455,[Se]=C=NCCCCCCc1ccccc1,4.64,CHEMBL614775,T98G,CHEMBL3307777
CHEMBL1165533,Oc1cc(cc(O)c1O)C(=O)OCCCCCCCOC(=O)c2cc(O)c(O)c(O)c2,4.42,CHEMBL614775,T98G,CHEMBL3307777
CHEMBL1165527,Oc1ccc(cc1O)C(=O)OCCCCCCCOC(=O)c2ccc(O)c(O)c2,4.96,CHEMBL614775,T98G,CHEMBL3307777
CHEMBL1164313,COc1cc(ccc1O)C(=O)OCCCCCCCCCOC(=O)c2ccc(O)c(OC)c2,4.5,CHEMBL614775,T98G,CHEMBL3307777
CHEMBL1164872,COc1cc(ccc1O)C(=O)OCCCCCCCCOC(=O)c2ccc(O)c(OC)c2,4.35,CHEMBL614775,T98G,CHEMBL3307777
CHEMBL1645545,CC(C)COc1ccc2c(c1)[nH]c3c(C)nccc23,4.66,CHEMBL614775,T98G,CHEMBL3307777
CHEMBL3319515,C\C\1=C/CC[C@@]2(C)O[C@@H]2[C@H]3OC(=O)[C@@H](CN4CCCCC4)[C@@H]3C[C@@H]1O,4.77,CHEMBL614775,T98G,CHEMBL3307777
CHEMBL3319521,C[C@@]12CC[C@H]3O[C@]3(C)[C@H](O)C[C@H]4[C@H](CN5CCN(CC5)c6ccc(Cl)cc6)C(=O)O[C@@H]4[C@H]1O2,4.8,CHEMBL614775,T98G,CHEMBL3307777
CHEMBL2164706,Cc1nccc2c3ccc(OC(=O)c4ccccc4)cc3[nH]c12,4.38,CHEMBL614775,T98G,CHEMBL3307777
CHEMBL1645550,Cc1nccc2c3ccc(OCCc4ccccc4)cc3[nH]c12,4.68,CHEMBL614775,T98G,CHEMBL3307777
CHEMBL1645548,Cc1nccc2c3ccc(OCC4CCCCC4)cc3[nH]c12,5.14,CHEMBL614775,T98G,CHEMBL3307777
CHEMBL236387,CC(C)CCC[C@@H](C)[C@H]1C(C[C@H]2[C@@H]3C\C(=N/O)\C4=C[C@H](CC[C@]4(C)[C@H]3CC[C@]12C)OC(=O)C)C(=O)C,4.71,CHEMBL614775,T98G,CHEMBL3307777
CHEMBL225066,CN(C)c1ccc2C(C(=C(N)Oc2c1)C#N)c3ccccc3,6.92,CHEMBL614775,T98G,CHEMBL3307777
CHEMBL3121273,COc1ccc(Cl)cc1C(=O)N2CC(=O)Nc3ccccc23,6.19,CHEMBL614775,T98G,CHEMBL3307777
CHEMBL3115967,CC1=C2C[C@H]3O[C@@]3(C)[C@@H]2[C@H]4OC(=O)[C@@H](CNCc5cn(nn5)c6ccccc6)[C@@H]4CC1,4.68,CHEMBL614775,T98G,CHEMBL3307777
