Molecule ChEMBL ID,Smiles,pChEMBL Value,Target ChEMBL ID,Target Name,Cell ChEMBL ID
CHEMBL454569,CC1(C)Oc2cc(O)c3C(=O)c4ccccc4Nc3c2C=C1,5.68,CHEMBL2366374,TGBC11TKB,CHEMBL3308557
CHEMBL447169,CN1c2c(O)cccc2C(=O)c3c(O)cc4OC(C)(C)C=Cc4c13,4.79,CHEMBL2366374,TGBC11TKB,CHEMBL3308557
CHEMBL510049,COc1cc(O)c2C(=O)c3ccc(OC)c(O)c3N(C)c2c1,4.71,CHEMBL2366374,TGBC11TKB,CHEMBL3308557
CHEMBL379975,Oc1ccc2[nH]c3cc(c4ccccc4Cl)c5C(=O)NC(=O)c5c3c2c1,5.26,CHEMBL2366374,TGBC11TKB,CHEMBL3308557
CHEMBL573107,CC(C)CCN1C(C)C(=O)N(C)c2cnc(Nc3cc(F)c(O)c(F)c3)nc12,5.04,CHEMBL2366374,TGBC11TKB,CHEMBL3308557
CHEMBL452222,CN1c2c(O)cccc2C(=O)c3c(O)c(CC=C(C)C)c4OC(C)(C)C=Cc4c13,5.67,CHEMBL2366374,TGBC11TKB,CHEMBL3308557
CHEMBL508187,CC(=CCc1c(O)c2C(=O)c3cccc(O)c3Nc2c4C=CC(C)(C)Oc14)C,5.84,CHEMBL2366374,TGBC11TKB,CHEMBL3308557
CHEMBL452220,CC1(C)Oc2cc(O)c3C(=O)c4cccc(O)c4Nc3c2C=C1,5.55,CHEMBL2366374,TGBC11TKB,CHEMBL3308557
CHEMBL803,NC1=NC(=O)N(C=C1)[C@@H]2O[C@H](CO)[C@@H](O)[C@@H]2O,5.76,CHEMBL2366374,TGBC11TKB,CHEMBL3308557
CHEMBL222102,O=C1C=C(OC(=C1)c2cccc3Sc4ccccc4Sc23)N5CCOCC5,4.41,CHEMBL2366374,TGBC11TKB,CHEMBL3308557
CHEMBL1173655,CN(C)C\C=C\C(=O)Nc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cc1O[C@H]4CCOC4,4.33,CHEMBL2366374,TGBC11TKB,CHEMBL3308557
CHEMBL105442,Fc1ccc(C(=O)NOCC2CC2)c(Nc3ccc(I)cc3Cl)c1F,4.8,CHEMBL2366374,TGBC11TKB,CHEMBL3308557
CHEMBL1201182,CO[C@@H]1C[C@H](C[C@@H](C)[C@@H]2CC(=O)[C@H](C)\C=C(/C)\[C@@H](O)[C@@H](OC)C(=O)[C@H](C)C[C@H](C)\C=C\C=C\C=C(/C)\[C@H](C[C@@H]3CC[C@@H](C)[C@@](O)(O3)C(=O)C(=O)N4CCCC[C@H]4C(=O)O2)OC)CC[C@H]1OC(=O)C(C)(CO)CO,5.3,CHEMBL2366374,TGBC11TKB,CHEMBL3308557
CHEMBL2041933,NC(=O)Nc1cc(sc1C(=O)N[C@H]2CCCNC2)c3cccc(F)c3,6.96,CHEMBL2366374,TGBC11TKB,CHEMBL3308557
CHEMBL1801204,COc1ccc(cc1CO)c2ccc3c(nc(nc3n2)N4CCOC[C@@H]4C)N5CCOC[C@@H]5C,5.26,CHEMBL2366374,TGBC11TKB,CHEMBL3308557
CHEMBL507361,OC[C@@H](O)CONC(=O)c1ccc(F)c(F)c1Nc2ccc(I)cc2F,6.48,CHEMBL2366374,TGBC11TKB,CHEMBL3308557
CHEMBL477989,CN(C)CCOc1ccc(cc1)c2nc(c3ccncc3)c([nH]2)c4ccc5\C(=N\O)\CCc5c4,4.32,CHEMBL2366374,TGBC11TKB,CHEMBL3308557
CHEMBL1614701,Cn1cnc2c(F)c(Nc3ccc(Br)cc3Cl)c(cc12)C(=O)NOCCO,5.04,CHEMBL2366374,TGBC11TKB,CHEMBL3308557
CHEMBL188678,O=C1C=C(Oc2c1cccc2c3cccc4c5ccccc5sc34)N6CCOCC6,4.66,CHEMBL2366374,TGBC11TKB,CHEMBL3308557
CHEMBL159,CC[C@]1(O)C[C@@H]2CN(CCc3c([nH]c4ccccc34)[C@@](C2)(C(=O)OC)c5cc6c(cc5OC)N(C)[C@H]7[C@](O)([C@H](OC(=O)C)[C@]8(CC)C=CCN9CC[C@]67[C@H]89)C(=O)OC)C1,7.8,CHEMBL2366374,TGBC11TKB,CHEMBL3308557
CHEMBL1972860,CN(NC(=O)CC(=O)NN(C)C(=S)c1ccccc1)C(=S)c2ccccc2,6.29,CHEMBL2366374,TGBC11TKB,CHEMBL3308557
CHEMBL521851,CS(=O)(=O)N1CCN(Cc2cc3nc(nc(N4CCOCC4)c3s2)c5cccc6[nH]ncc56)CC1,4.08,CHEMBL2366374,TGBC11TKB,CHEMBL3308557
