Molecule ChEMBL ID,Smiles,pChEMBL Value,Target ChEMBL ID,Target Name,Cell ChEMBL ID
CHEMBL1081312,Nc1ncnc2c1c(nn2C3CCCC3)c4cnc5[nH]ccc5c4,7.3,CHEMBL2366083,TT,CHEMBL3308145
CHEMBL1233882,CC(C)n1nc(c2ccc3ncccc3c2)c4c(N)ncnc14,6.11,CHEMBL2366083,TT,CHEMBL3308145
CHEMBL2363137,Cc1cc(ccc1NS(=O)(=O)c2cc(Cl)ccc2Cl)[N+](=O)[O-],5.04,CHEMBL2366083,TT,CHEMBL3308145
CHEMBL252164,CCNC(=O)c1noc(c2cc(C(C)C)c(O)cc2O)c1c3ccc(CN4CCOCC4)cc3,5.08,CHEMBL2366083,TT,CHEMBL3308145
CHEMBL259181,OC[C@H](Cc1ccccc1)Nc2nc(Oc3ccc4CCCc4c3)nc5c2ncn5Cc6ccc(cc6)c7ccccc7,4.34,CHEMBL2366083,TT,CHEMBL3308145
CHEMBL3128226,O=S(=O)(Cc1ccccc1)Nc2cccc(CNc3ncnc4c3cnn4CCc5ccccc5)c2,5.22,CHEMBL2366083,TT,CHEMBL3308145
CHEMBL3128228,O=C(Nc1cccc(CNc2ncnc3c2cnn3CCc4ccccc4)c1)c5ccccc5,4.86,CHEMBL2366083,TT,CHEMBL3308145
CHEMBL3128236,Brc1ccc(NC(=O)Nc2cccc(CNc3ncnc4c3cnn4CCc5ccccc5)c2)cc1,5.01,CHEMBL2366083,TT,CHEMBL3308145
CHEMBL3128229,Brc1ccc(cc1)C(=O)Nc2cccc(CNc3ncnc4c3cnn4CCc5ccccc5)c2,4.87,CHEMBL2366083,TT,CHEMBL3308145
CHEMBL585951,Fc1cc(cc(c1)C2=N\C(=N/c3ccc(cc3)n4cnc(n4)N5CCOCC5)\NC=C2)N6CCOCC6,5.45,CHEMBL2366083,TT,CHEMBL3308145
CHEMBL9470,CC(=CC[C@@H](O)C1=CC(=O)c2c(O)ccc(O)c2C1=O)C,5.77,CHEMBL2366083,TT,CHEMBL3308145
CHEMBL3128231,[O-][N+](=O)c1ccc(cc1)C(=O)Nc2cccc(CNc3ncnc4c3cnn4CCc5ccccc5)c2,5.21,CHEMBL2366083,TT,CHEMBL3308145
CHEMBL94657,C[C@H]1CCC[C@@]2(C)O[C@H]2C[C@H](OC(=O)C[C@H](O)C(C)(C)C(=O)[C@H](C)[C@H]1O)\C(=C\c3csc(C)n3)\C,5.59,CHEMBL2366083,TT,CHEMBL3308145
CHEMBL512504,OC1=C(C#N)C(=O)Nc2scc(c3ccc(cc3)c4ccccc4O)c12,4.25,CHEMBL2366083,TT,CHEMBL3308145
CHEMBL2107358,COC1=CC(=N/C/1=C\c2[nH]c(C)cc2C)c3cc4ccccc4[nH]3.CS(=O)(=O)O,4.13,CHEMBL2366083,TT,CHEMBL3308145
CHEMBL2332840,FC(F)(F)c1cc(NC(=O)Nc2ccc(Oc3ncnc4[nH]ncc34)cc2)ccc1Cl,5.47,CHEMBL2366083,TT,CHEMBL3308145
CHEMBL449158,CCC\C=C\C=C\C(=O)O[C@H]1\C(=C\C(=O)OC)\C[C@H]2C[C@@H](OC(=O)C[C@H](O)C[C@@H]3C[C@H](OC(=O)C)C(C)(C)[C@](O)(C[C@@H]4C\C(=C\C(=O)OC)\C[C@@H](O4)\C=C\C(C)(C)[C@]1(O)O2)O3)[C@@H](C)O,7.94,CHEMBL2366083,TT,CHEMBL3308145
CHEMBL1241857,COc1ccc2C3=NCCN3C(=Nc2c1OC)NC(=O)c4cccnc4,6.1,CHEMBL2366083,TT,CHEMBL3308145
CHEMBL553025,CCC1=C[C@@H]2CN(C1)Cc3c([nH]c4ccccc34)[C@@](C2)(C(=O)OC)c5cc6c(cc5OC)N(C)[C@H]7[C@](O)([C@H](OC(=O)C)[C@]8(CC)C=CCN9CC[C@]67[C@H]89)C(=O)OC,5.64,CHEMBL2366083,TT,CHEMBL3308145
CHEMBL1171837,CN1CCN(Cc2ccc(NC(=O)c3ccc(C)c(c3)C#Cc4cnc5cccnn45)cc2C(F)(F)F)CC1,4.78,CHEMBL2366083,TT,CHEMBL3308145
CHEMBL135561,COC(=O)[C@H](CCSC)NC(=O)c1ccc(NC[C@@H](N)CS)cc1c2ccccc2,4.21,CHEMBL2366083,TT,CHEMBL3308145
CHEMBL608533,CO[C@@H]1[C@@H](C[C@H]2O[C@]1(C)n3c4ccccc4c5c6CNC(=O)c6c7c8ccccc8n2c7c35)N(C)C(=O)c9ccccc9,4.69,CHEMBL2366083,TT,CHEMBL3308145
CHEMBL3128230,Fc1ccc(cc1)C(=O)Nc2cccc(CNc3ncnc4c3cnn4CCc5ccccc5)c2,4.87,CHEMBL2366083,TT,CHEMBL3308145
CHEMBL888,NC1=NC(=O)N(C=C1)[C@@H]2O[C@H](CO)[C@@H](O)C2(F)F,4.3,CHEMBL2366083,TT,CHEMBL3308145
CHEMBL403664,C[C@@H](O)[C@H](NC(=O)[C@@H](C)[C@H](O)[C@@H](C)NC(=O)[C@@H](NC(=O)c1nc(nc(N)c1C)[C@H](CC(=O)N)NC[C@H](N)C(=O)N)[C@@H](O[C@@H]2O[C@@H](CO)[C@@H](O)[C@H](O)[C@@H]2O[C@H]3O[C@H](CO)[C@@H](O)[C@H](OC(=O)N)[C@@H]3O)c4c[nH]cn4)C(=O)NCCc5nc(cs5)c6nc(cs6)C(=O)NCCC[S+](C)C,4.23,CHEMBL2366083,TT,CHEMBL3308145
