Molecule ChEMBL ID,Smiles,pChEMBL Value,Target ChEMBL ID,Target Name,Cell ChEMBL ID
CHEMBL382384,COC(Cc1ccc(OCCCOc2ccc(cc2)c3ccc(Br)cc3)cc1)C(=O)O,5.63,CHEMBL615023,U2OS,CHEMBL3307757
CHEMBL204659,CCOC(Cc1ccc(OCCCOc2ccc(cc2)c3ccc(CC)cc3)cc1)C(=O)O,6.61,CHEMBL615023,U2OS,CHEMBL3307757
CHEMBL372610,CCOC(Cc1ccc(OCCCOc2ccc(cc2)c3ccc(F)cc3)cc1)C(=O)O,6.415,CHEMBL615023,U2OS,CHEMBL3307757
CHEMBL380446,CCOC(Cc1ccc(OCCCOc2ccc(cc2)c3ccccc3)cc1)C(=O)O,5.67,CHEMBL615023,U2OS,CHEMBL3307757
CHEMBL1782273,CC1(C)CCC[C@@](C)(O1)[C@H]2CC[C@]3(C)[C@@H]2[C@H](O)C[C@@H]4[C@@]5(C)CC[C@H](OC(=O)CCC=C)C(C)(C)[C@@H]5CC[C@@]34C,4.41,CHEMBL615023,U2OS,CHEMBL3307757
CHEMBL2089200,COC(=O)C(N1C(C(=S)Nc2cc(Cl)ccc2C1=O)c3ccc(F)cc3)c4ccc(F)cc4,4.35,CHEMBL615023,U2OS,CHEMBL3307757
CHEMBL204015,COC(Cc1ccc(OCCCOc2ccc(cc2)c3ccccc3)cc1)C(=O)O,6.145,CHEMBL615023,U2OS,CHEMBL3307757
CHEMBL202558,OC(=O)C(Cc1ccc(OCCCOc2ccc(cc2)c3ccccc3)cc1)OC4CCCC4,5.2,CHEMBL615023,U2OS,CHEMBL3307757
CHEMBL2180468,Brc1ccc(cc1)C2N(CCCn3ccnc3)C(=O)C(=C2C(=O)c4ccccc4)Nc5cccc(Br)c5,4.93,CHEMBL615023,U2OS,CHEMBL3307757
CHEMBL2180470,Brc1ccc(cc1)C2N(CCCn3ccnc3)C(=O)C(=C2C(=O)c4ccccc4)NCc5ccccc5,4.49,CHEMBL615023,U2OS,CHEMBL3307757
CHEMBL3342760,CCCCCCCC(=O)O[C@H]1[C@H](C)O[C@@H](O[C@H]2[C@H](C)O[C@@H](O[C@H]3[C@H](C)O[C@H]4O[C@@H]5[C@@H](O)[C@@H](O)[C@@H](C)O[C@H]5O[C@@H](CCCCC)CCCCCCCCCC(=O)O[C@H]3[C@H]4O)[C@H](OC(=O)CCCCC)[C@@H]2O[C@@H]6O[C@@H](C)[C@H](O)[C@@H](O)[C@H]6O)[C@H](O)[C@@H]1O,5.35,CHEMBL615023,U2OS,CHEMBL3307757
CHEMBL2180465,Brc1ccc(NC2=C(C(N(CCCn3ccnc3)C2=O)c4ccc(Br)cc4)C(=O)c5ccccc5)cc1,4.89,CHEMBL615023,U2OS,CHEMBL3307757
CHEMBL2180121,CCOC1=C(C(N(CCCn2ccnc2)C1=O)c3ccc(Br)cc3)C(=O)c4ccccc4,4.66,CHEMBL615023,U2OS,CHEMBL3307757
CHEMBL2089207,COC(=O)C(N1C(C(=S)Nc2ccc(C)cc2C1=O)c3ccc(Cl)cc3)c4ccc(Cl)cc4,4.49,CHEMBL615023,U2OS,CHEMBL3307757
CHEMBL2089208,COC(=O)C(N1C(C(=S)Nc2ccc(F)cc2C1=O)c3ccc(Cl)cc3)c4ccc(Cl)cc4,5.12,CHEMBL615023,U2OS,CHEMBL3307757
CHEMBL115000,Oc1ccc2C(=C(C(=O)Oc2c1)c3ccccc3)c4cccc(OCCCCN5CCCCC5)c4,8.49,CHEMBL615023,U2OS,CHEMBL3307757
CHEMBL117263,Oc1ccc2C(=C(C(=O)Oc2c1)c3ccccc3)c4ccc(OCCN5CCCCC5)cc4,6.3,CHEMBL615023,U2OS,CHEMBL3307757
CHEMBL262042,Oc1ccc2C(=C(C(=O)Oc2c1)c3ccccc3)c4cccc(OCCN5CCCCC5)c4,7.92,CHEMBL615023,U2OS,CHEMBL3307757
CHEMBL201615,CCc1ccc(cc1)c2ccc(OCCCOc3ccc(CC(OC)C(=O)O)cc3)cc2,6.925,CHEMBL615023,U2OS,CHEMBL3307757
CHEMBL201980,CCOC(Cc1ccc(OCCCOc2ccc(cc2)c3ccc(Br)cc3)cc1)C(=O)O,5.8900000000000015,CHEMBL615023,U2OS,CHEMBL3307757
CHEMBL377063,COC(Cc1ccc(OCCCOc2ccc(cc2)c3ccc(F)cc3)cc1)C(=O)O,6.859999999999999,CHEMBL615023,U2OS,CHEMBL3307757
CHEMBL3314861,ONC(=O)\C=C\c1ccc(Cc2oc(Cc3cccc4ccccc34)nn2)cc1,4.3,CHEMBL615023,U2OS,CHEMBL3307757
CHEMBL201893,OC(=O)C(Cc1ccc(OCCCOc2ccc(cc2)c3ccc(F)cc3)cc1)OC4CCCC4,5.745,CHEMBL615023,U2OS,CHEMBL3307757
CHEMBL1782271,CC1(C)CCC[C@@](C)(O1)[C@H]2CC[C@]3(C)[C@@H]2[C@H](O)C[C@@H]4[C@@]5(C)CC[C@H](OC(=O)C=C)C(C)(C)[C@@H]5CC[C@@]34C,4.68,CHEMBL615023,U2OS,CHEMBL3307757
CHEMBL2180469,Brc1ccc(cc1)C2N(CCCn3ccnc3)C(=O)C(=C2C(=O)c4ccccc4)Nc5ccccc5Br,4.77,CHEMBL615023,U2OS,CHEMBL3307757
CHEMBL2180466,Clc1ccc(NC2=C(C(N(CCCn3ccnc3)C2=O)c4ccc(Br)cc4)C(=O)c5ccccc5)cc1,4.64,CHEMBL615023,U2OS,CHEMBL3307757
CHEMBL1818163,COc1ccc(Nc2nc(nc3ccc(F)cc23)c4cccc(F)c4)cc1,4.49,CHEMBL615023,U2OS,CHEMBL3307757
CHEMBL1818180,Nc1ccccc1Nc2nc(nc3ccc(F)cc23)c4cccc(F)c4,4.42,CHEMBL615023,U2OS,CHEMBL3307757
CHEMBL1808342,CCc1cccc(CC)c1NC(=O)c2nn(C)c3c2CCc4cnc(Nc5ccc(cc5OC(F)(F)F)C(=O)NCCN(C)C)nc34,6.96,CHEMBL615023,U2OS,CHEMBL3307757
CHEMBL1808343,CCc1cccc(CC)c1NC(=O)c2nn(C)c3c2CCc4cnc(Nc5ccc(cc5OC)C(=O)N6CCC[C@@H]6CN7CCCC7)nc34,7.96,CHEMBL615023,U2OS,CHEMBL3307757
CHEMBL3409978,CC(C)(C)n1nnc(n1)[C@H](CCCNC(=N)CCl)NC(=O)c2ccc(cc2)c3ccccc3,5.0,CHEMBL615023,U2OS,CHEMBL3307757
CHEMBL2442836,Cc1ccc(cc1)S(=O)(=O)Oc2ccc(NCc3ccc(N)cc3)c4C(=O)c5ccccc5C(=O)c24,5.55,CHEMBL615023,U2OS,CHEMBL3307757
