Molecule ChEMBL ID,Smiles,pChEMBL Value,Target ChEMBL ID,Target Name,Cell ChEMBL ID
CHEMBL1363219,COc1cccc(c1)N(C(C(=O)NC2CCCC2)c3cccs3)C(=O)C#C,5.16,CHEMBL612799,UMUC3,CHEMBL3307245
CHEMBL1610049,COc1ccc(OC)c(c1)N(C(C(=O)NC2CCCC2)c3cccs3)C(=O)C#C,5.24,CHEMBL612799,UMUC3,CHEMBL3307245
CHEMBL558642,OC(=O)c1ccc(cc1C2CCCC2)c3c[nH]c4ncc(cc34)c5ccccc5,5.02,CHEMBL612799,UMUC3,CHEMBL3307245
CHEMBL96926,CCCCCCCC(=O)O[C@@H]1[C@@H](OC(=O)\C(=C/C)\C)C(=C2[C@@H]3OC(=O)[C@@](C)(O)[C@@]3(O)[C@H](C[C@](C)(OC(=O)C)[C@@H]12)OC(=O)CCC)C,8.92,CHEMBL612799,UMUC3,CHEMBL3307245
CHEMBL191384,N#C\C(=C/1\Nc2ccccc2S1)\c3ccnc(NCCc4cccnc4)n3,4.52,CHEMBL612799,UMUC3,CHEMBL3307245
CHEMBL110590,[O-][S+]1Sc2ccccc2S1,6.44,CHEMBL612799,UMUC3,CHEMBL3307245
CHEMBL159,CC[C@]1(O)C[C@@H]2CN(CCc3c([nH]c4ccccc34)[C@@](C2)(C(=O)OC)c5cc6c(cc5OC)N(C)[C@H]7[C@](O)([C@H](OC(=O)C)[C@]8(CC)C=CCN9CC[C@]67[C@H]89)C(=O)OC)C1,8.29,CHEMBL612799,UMUC3,CHEMBL3307245
CHEMBL259181,OC[C@H](Cc1ccccc1)Nc2nc(Oc3ccc4CCCc4c3)nc5c2ncn5Cc6ccc(cc6)c7ccccc7,4.6,CHEMBL612799,UMUC3,CHEMBL3307245
CHEMBL2363137,Cc1cc(ccc1NS(=O)(=O)c2cc(Cl)ccc2Cl)[N+](=O)[O-],5.78,CHEMBL612799,UMUC3,CHEMBL3307245
CHEMBL603469,C[C@]12O[C@H](C[C@]1(O)CO)n3c4ccccc4c5c6C(=O)NCc6c7c8ccccc8n2c7c35,5.94,CHEMBL612799,UMUC3,CHEMBL3307245
CHEMBL72793,NP(=O)(OCc1oc(cc1)[N+](=O)[O-])N(CCBr)CCBr,7.89,CHEMBL612799,UMUC3,CHEMBL3307245
CHEMBL351028,Nc1nc(O)c2nc(CNc3ccc(cc3)C(=O)NC(CCCCNP(=O)(OCc4oc(cc4)[N+](=O)[O-])N(CCBr)CCBr)C(=O)O)cnc2n1,5.28,CHEMBL612799,UMUC3,CHEMBL3307245
CHEMBL159380,NC(CCCCNP(=O)(OCc1oc(cc1)[N+](=O)[O-])N(CCCl)CCCl)C(=O)O,6.21,CHEMBL612799,UMUC3,CHEMBL3307245
CHEMBL393929,O=C1N=C(NCc2cccs2)S/C/1=C\c3ccc4ncccc4c3,5.56,CHEMBL612799,UMUC3,CHEMBL3307245
CHEMBL351001,CCCNP(=O)(OCc1oc(cc1)[N+](=O)[O-])N(CCCl)CCCl,6.14,CHEMBL612799,UMUC3,CHEMBL3307245
CHEMBL351590,NP(=O)(OCc1oc(cc1)[N+](=O)[O-])N(CCCl)CCCl,7.26,CHEMBL612799,UMUC3,CHEMBL3307245
CHEMBL577784,Ic1cnc(Nc2cccc(NC(=O)N3CCCC3)c2)nc1NCCCNC(=O)c4cccs4,4.67,CHEMBL612799,UMUC3,CHEMBL3307245
CHEMBL572881,CC1(C)CNc2cc(NC(=O)c3cccnc3NCc4ccncc4)ccc12,4.58,CHEMBL612799,UMUC3,CHEMBL3307245
CHEMBL2134202,CCc1cncnc1N2CCN(Cc3nc4cc(ccc4[nH]3)C(F)(F)F)CC2,4.42,CHEMBL612799,UMUC3,CHEMBL3307245
CHEMBL2107358,COC1=CC(=N/C/1=C\c2[nH]c(C)cc2C)c3cc4ccccc4[nH]3.CS(=O)(=O)O,6.54,CHEMBL612799,UMUC3,CHEMBL3307245
CHEMBL9470,CC(=CC[C@@H](O)C1=CC(=O)c2c(O)ccc(O)c2C1=O)C,6.01,CHEMBL612799,UMUC3,CHEMBL3307245
CHEMBL477772,CN(c1ccc2c(C)n(C)nc2c1)c3ccnc(Nc4ccc(C)c(c4)S(=O)(=O)N)n3,4.09,CHEMBL612799,UMUC3,CHEMBL3307245
CHEMBL105442,Fc1ccc(C(=O)NOCC2CC2)c(Nc3ccc(I)cc3Cl)c1F,5.29,CHEMBL612799,UMUC3,CHEMBL3307245
CHEMBL1186585,FC(F)(F)c1ccc2c(SCCCCCOC3=COC(=CC3=O)CN4CCOCC4)ccnc2c1,4.6,CHEMBL612799,UMUC3,CHEMBL3307245
CHEMBL255863,Cc1cn(cn1)c2cc(NC(=O)c3ccc(C)c(Nc4nccc(n4)c5cccnc5)c3)cc(c2)C(F)(F)F,5.07,CHEMBL612799,UMUC3,CHEMBL3307245
CHEMBL176544,Cn1cc(\C=C\2/C(=O)Nc3cccnc23)c4ccccc14,4.26,CHEMBL612799,UMUC3,CHEMBL3307245
CHEMBL1173655,CN(C)C\C=C\C(=O)Nc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cc1O[C@H]4CCOC4,5.0,CHEMBL612799,UMUC3,CHEMBL3307245
CHEMBL1190711,COc1ccc(cc1OC)c2cc3nccn3c(Nc4ncccc4C(=O)N)n2,5.13,CHEMBL612799,UMUC3,CHEMBL3307245
CHEMBL1090090,NC(=O)N(c1ccc(C(=O)N)c(n1)c2ccc(F)cc2F)c3c(F)cccc3F,4.2,CHEMBL612799,UMUC3,CHEMBL3307245
CHEMBL1766688,Fc1ccc(cc1)C(N(C(=O)C#C)c2cccc(c2)C(F)(F)F)C(=O)NC3CCCC3,5.1,CHEMBL612799,UMUC3,CHEMBL3307245
CHEMBL1766685,Cc1cc(ccc1n2cnnn2)N(C(C(=O)NC3CCCC3)c4ccccc4)C(=O)C#C,5.11,CHEMBL612799,UMUC3,CHEMBL3307245
CHEMBL2137530,C(Cc1c[nH]c2ccccc12)Nc3ccc(Nc4ccncc4)cc3,5.16,CHEMBL612799,UMUC3,CHEMBL3307245
CHEMBL2165191,C[C@@H](Nc1ccccc1C(=O)O)C2=CC(=CN3C(=O)C=C(N=C23)N4CCOCC4)C,5.0150000000000015,CHEMBL612799,UMUC3,CHEMBL3307245
CHEMBL1766683,Cc1cc(ccc1n2cnnn2)N(C(C(=O)NC3CCCC3)c4ccccc4F)C(=O)C#C,5.2,CHEMBL612799,UMUC3,CHEMBL3307245
CHEMBL443684,CC1(C)CCC(=C(CN2CCN(CC2)c3ccc(cc3)C(=O)NS(=O)(=O)c4ccc(N[C@H](CCN5CCOCC5)CSc6ccccc6)c(c4)S(=O)(=O)C(F)(F)F)C1)c7ccc(Cl)cc7,4.12,CHEMBL612799,UMUC3,CHEMBL3307245
CHEMBL1230020,CCCS(=O)(=O)Nc1ccc(F)c(C(=O)c2c[nH]c3ncc(Cl)cc23)c1F,4.33,CHEMBL612799,UMUC3,CHEMBL3307245
