Molecule ChEMBL ID,Smiles,pChEMBL Value,Target ChEMBL ID,Target Name,Cell ChEMBL ID
CHEMBL488834,Cc1ccc(cc1C(=O)Nc2ccc(N)nc2)C(=O)NCCC3CCCCC3,7.85,CHEMBL614057,UT7,CHEMBL3307293
CHEMBL487863,CC(=O)Nc1ncc(NC(=O)c2cc(ccc2C)C(=O)Nc3cccc(c3)C(F)(F)F)cn1,7.24,CHEMBL614057,UT7,CHEMBL3307293
CHEMBL470483,Cc1ccc(cc1C(=O)Nc2ccc(N)nc2)C(=O)Nc3cccc(c3)C(F)(F)F,7.96,CHEMBL614057,UT7,CHEMBL3307293
CHEMBL469882,Cc1ccc(cc1NC(=O)c2cncnc2)C(=O)Nc3cccc(c3)C(F)(F)F,7.51,CHEMBL614057,UT7,CHEMBL3307293
CHEMBL443902,Cc1ccc(cc1C(=O)Nc2ccc(N)nc2)C(=O)NC3CCCCC3,6.12,CHEMBL614057,UT7,CHEMBL3307293
CHEMBL487864,CC(=O)Nc1ccc(NC(=O)c2cc(ccc2C)C(=O)Nc3cccc(c3)C(F)(F)F)cn1,7.92,CHEMBL614057,UT7,CHEMBL3307293
CHEMBL488833,Cc1ccc(cc1C(=O)Nc2ccc(N)nc2)C(=O)NCC3CCCCC3,6.84,CHEMBL614057,UT7,CHEMBL3307293
CHEMBL259247,Cc1ccc(NC(=O)c2cccc(c2)C(F)(F)F)cc1C(=O)Nc3cncnc3,7.92,CHEMBL614057,UT7,CHEMBL3307293
CHEMBL520718,Cc1ccc(cc1C(=O)Nc2ccc(N)nc2)C(=O)NCCCC3CCCCC3,9.52,CHEMBL614057,UT7,CHEMBL3307293
CHEMBL487431,Cc1ccc(cc1C(=O)Nc2ccc(N)nc2)C(=O)NCCC3CCCC3,7.64,CHEMBL614057,UT7,CHEMBL3307293
CHEMBL512840,Cc1ccc(cc1C(=O)Nc2cncnc2)C(=O)Nc3cccc(c3)C(F)(F)F,7.52,CHEMBL614057,UT7,CHEMBL3307293
CHEMBL469883,Cc1ccc(cc1C(=O)Nc2cccnc2)C(=O)Nc3cccc(c3)C(F)(F)F,7.96,CHEMBL614057,UT7,CHEMBL3307293
CHEMBL116937,Cc1ccc(cc1C)c2cccc(c2O)c3nc4c(ccc5cc(cc(O)c45)S(=O)(=O)O)[nH]3,6.0,CHEMBL614057,UT7,
CHEMBL272902,Cc1ccc(cc1C(=O)Nc2cnc(N)nc2)C(=O)Nc3cccc(c3)C(F)(F)F,7.75,CHEMBL614057,UT7,CHEMBL3307293
