,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225,226,227,228,229,230,231,232,233,234,235,236,237,238,239,240,241,242,243,244,245,246,247,248,249,250,251,252,253,254,255
22RV1,0.0,0.0,0.0,0.0,0.0,0.0,1.1991065,0.0,0.0725388,0.0,0.39941627,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29775837,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.012373,0.20904608,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.1951065,0.0,0.0,0.036567073,0.0,0.0,0.0,0.18426804,0.0,0.0,0.0,0.0,2.6849568,0.21024148,0.0,0.0,0.0,0.54760844,0.0,0.0,0.0,0.0,0.0,0.53186953,0.0,0.0,0.069404185,0.51056564,0.0,0.0,0.0,0.49333128,0.0,0.0,0.0,0.0,1.4771847,0.0,0.0,0.0,1.8749636,0.27221394,0.0,0.0,0.0,0.0,1.7253847,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6583272,0.0,0.0,0.043752324,0.0,0.0,0.0,0.0,0.0,0.12498118,0.0,0.54412866,3.3277214,4.139707,1.6150609,0.0,0.0,0.0,0.0,0.0,0.88565516,0.0,0.0,0.0,0.0,0.46409127,0.0,0.0,0.0,0.0,0.5397566,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.95625293,0.0,0.0,1.3891705,0.0,0.0,0.0,0.0,0.0,0.0,0.18098512,2.7864997,0.0,0.0,0.47942406,0.0,0.0,0.0,0.0,0.0,4.158991,0.0,0.0,3.6063783,0.23843935,0.0,0.0,0.0,0.0,0.0,0.10421225,0.0,0.48462713,0.0,1.7699046,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.907551,0.0,0.0,0.0,0.0,0.11151156,0.0,3.8737671,0.0,0.0,2.1753192,0.0,0.0,0.0,1.0917077,1.2670118,0.0,0.0,3.0200634,0.0,5.8381863,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11663696,1.6110063,0.0,0.0,0.0,0.0,0.0,0.0,2.4983206,0.0,0.0,2.6954963,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0213552,1.0676066,0.0,0.0,0.0,1.4739485,0.0,0.0,0.0,0.0,3.7231312,0.0,0.0,0.0,4.1487203,0.0,0.0,0.0,0.0,0.0,2.6033208,0.0,0.0
2313287,0.0,0.0,0.0,0.0,0.0,0.0,1.2736969,0.0,0.07718361,0.0,0.42386675,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.315883,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.2641544,0.22142561,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.4580607,0.0,0.0,0.038993817,0.0,0.0,0.0,0.19550149,0.0,0.0,0.0,0.0,2.8542852,0.22395287,0.0,0.0,0.0,0.5824634,0.0,0.0,0.0,0.0,0.0,0.5664811,0.0,0.0,0.07488686,0.5418991,0.0,0.0,0.0,0.52483004,0.0,0.0,0.0,0.0,1.5704789,0.0,0.0,0.0,1.992547,0.28859645,0.0,0.0,0.0,0.0,1.8341414,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.69930506,0.0,0.0,0.047170054,0.0,0.0,0.0,0.0,0.0,0.13197048,0.0,0.5773304,3.5361955,4.3979588,1.7167974,0.0,0.0,0.0,0.0,0.0,0.9428831,0.0,0.0,0.0,0.0,0.49300134,0.0,0.0,0.0,0.0,0.57267725,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0171572,0.0,0.0,1.4769305,0.0,0.0,0.0,0.0,0.0,0.0,0.19262138,2.9608238,0.0,0.0,0.5082285,0.0,0.0,0.0,0.0,0.0,4.4203467,0.0,0.0,3.8328123,0.25322297,0.0,0.0,0.0,0.0,0.0,0.11005511,0.0,0.51544064,0.0,1.8797466,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.1525226,0.0,0.0,0.0,0.0,0.119871765,0.0,4.117279,0.0,0.0,2.3119798,0.0,0.0,0.0,1.1601068,1.3474636,0.0,0.0,3.2095222,0.0,6.203437,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12641141,1.712143,0.0,0.0,0.0,0.0,0.0,0.0,2.6557415,0.0,0.0,2.8642237,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0860684,1.1350929,0.0,0.0,0.0,1.5670924,0.0,0.0,0.0,0.0,3.9567127,0.0,0.0,0.0,4.4091535,0.0,0.0,0.0,0.0,0.0,2.7664185,0.0,0.0
42MGBA,0.0,0.0,0.0,0.0,0.0,0.0,1.3781067,0.0,0.08379925,0.0,0.45813906,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3413116,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.617058,0.23870842,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.8264503,0.0,0.0,0.042360764,0.0,0.0,0.0,0.2111905,0.0,0.0,0.0,0.0,3.0917246,0.24323098,0.0,0.0,0.0,0.6311407,0.0,0.0,0.0,0.0,0.0,0.6148108,0.0,0.0,0.08242291,0.58576775,0.0,0.0,0.0,0.5690756,0.0,0.0,0.0,0.0,1.7011554,0.0,0.0,0.0,2.1575136,0.31163353,0.0,0.0,0.0,0.0,1.9865305,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7568944,0.0,0.0,0.05190904,0.0,0.0,0.0,0.0,0.0,0.14194353,0.0,0.6237073,3.828265,4.759715,1.8591291,0.0,0.0,0.0,0.0,0.0,1.0229712,0.0,0.0,0.0,0.0,0.533617,0.0,0.0,0.0,0.0,0.6190734,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1025203,0.0,0.0,1.6000677,0.0,0.0,0.0,0.0,0.0,0.0,0.20866027,3.2049112,0.0,0.0,0.5485837,0.0,0.0,0.0,0.0,0.0,4.786744,0.0,0.0,4.1500673,0.27403432,0.0,0.0,0.0,0.0,0.0,0.11853125,0.0,0.5585733,0.0,2.033608,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.4959497,0.0,0.0,0.0,0.0,0.13145441,0.0,4.4581795,0.0,0.0,2.5035074,0.0,0.0,0.0,1.2557257,1.4601184,0.0,0.0,3.4749799,0.0,6.715292,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1400983,1.8537949,0.0,0.0,0.0,0.0,0.0,0.0,2.8764555,0.0,0.0,3.100701,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1767803,1.2297872,0.0,0.0,0.0,1.6977646,0.0,0.0,0.0,0.0,4.2840843,0.0,0.0,0.0,4.774118,0.0,0.0,0.0,0.0,0.0,2.9951622,0.0,0.0
5637,0.0,0.0,0.0,0.0,0.0,0.0,1.1293118,0.0,0.068167694,0.0,0.37640017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28083864,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.7760952,0.1975543,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.948302,0.0,0.0,0.034371953,0.0,0.0,0.0,0.17368679,0.0,0.0,0.0,0.0,2.525757,0.19749211,0.0,0.0,0.0,0.515139,0.0,0.0,0.0,0.0,0.0,0.499584,0.0,0.0,0.064525485,0.4812218,0.0,0.0,0.0,0.46355549,0.0,0.0,0.0,0.0,1.3893815,0.0,0.0,0.0,1.7645038,0.25663412,0.0,0.0,0.0,0.0,1.6232846,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.61952555,0.0,0.0,0.040581476,0.0,0.0,0.0,0.0,0.0,0.117924765,0.0,0.513104,3.1319213,3.8973687,1.5198954,0.0,0.0,0.0,0.0,0.0,0.831905,0.0,0.0,0.0,0.0,0.43676043,0.0,0.0,0.0,0.0,0.5087208,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8990069,0.0,0.0,1.306471,0.0,0.0,0.0,0.0,0.0,0.0,0.1703954,2.622965,0.0,0.0,0.45229632,0.0,0.0,0.0,0.0,0.0,3.913308,0.0,0.0,3.3938346,0.22435644,0.0,0.0,0.0,0.0,0.0,0.098286055,0.0,0.4559744,0.0,1.6669862,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.677527,0.0,0.0,0.0,0.0,0.1037668,0.0,3.6455328,0.0,0.0,2.0469403,0.0,0.0,0.0,1.0275788,1.1916662,0.0,0.0,2.8421385,0.0,5.4953165,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.107418746,1.5160756,0.0,0.0,0.0,0.0,0.0,0.0,2.3503888,0.0,0.0,2.5374067,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9606712,1.0044692,0.0,0.0,0.0,1.3863794,0.0,0.0,0.0,0.0,3.5036778,0.0,0.0,0.0,3.9040082,0.0,0.0,0.0,0.0,0.0,2.4500237,0.0,0.0
59M,0.0,0.0,0.0,0.0,0.0,0.0,1.1943852,0.0,0.072108276,0.0,0.39774305,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.9960244,0.20847823,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.1780095,0.0,0.0,0.03669856,0.0,0.0,0.0,0.18348949,0.0,0.0,0.0,0.0,2.6735227,0.2094738,0.0,0.0,0.0,0.5454651,0.0,0.0,0.0,0.0,0.0,0.5298496,0.0,0.0,0.06917858,0.508684,0.0,0.0,0.0,0.49111882,0.0,0.0,0.0,0.0,1.4707397,0.0,0.0,0.0,1.8671069,0.2708904,0.0,0.0,0.0,0.0,1.7184283,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.65537447,0.0,0.0,0.043627154,0.0,0.0,0.0,0.0,0.0,0.123971716,0.0,0.5422501,3.313974,4.122972,1.6088381,0.0,0.0,0.0,0.0,0.0,0.88179296,0.0,0.0,0.0,0.0,0.4621144,0.0,0.0,0.0,0.0,0.53742886,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9522659,0.0,0.0,1.3828765,0.0,0.0,0.0,0.0,0.0,0.0,0.1807163,2.7751749,0.0,0.0,0.4772982,0.0,0.0,0.0,0.0,0.0,4.1415353,0.0,0.0,3.5916333,0.23732531,0.0,0.0,0.0,0.0,0.0,0.103404246,0.0,0.48285484,0.0,1.7629566,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.8915117,0.0,0.0,0.0,0.0,0.1110875,0.0,3.8582964,0.0,0.0,2.1663442,0.0,0.0,0.0,1.0872828,1.2619009,0.0,0.0,3.0077724,0.0,5.81446,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11583802,1.6043589,0.0,0.0,0.0,0.0,0.0,0.0,2.488108,0.0,0.0,2.6846602,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0170863,1.0634137,0.0,0.0,0.0,1.4677052,0.0,0.0,0.0,0.0,3.7076216,0.0,0.0,0.0,4.131499,0.0,0.0,0.0,0.0,0.0,2.5924523,0.0,0.0
639V,0.0,0.0,0.0,0.0,0.0,0.0,1.320561,0.0,0.080112524,0.0,0.43929046,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3273439,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.4227953,0.22925021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.623711,0.0,0.0,0.04044674,0.0,0.0,0.0,0.2025247,0.0,0.0,0.0,0.0,2.9610353,0.23266004,0.0,0.0,0.0,0.6043757,0.0,0.0,0.0,0.0,0.0,0.5882977,0.0,0.0,0.07819134,0.5616332,0.0,0.0,0.0,0.5447538,0.0,0.0,0.0,0.0,1.6292596,0.0,0.0,0.0,2.066644,0.29902703,0.0,0.0,0.0,0.0,1.9026698,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7252882,0.0,0.0,0.04926802,0.0,0.0,0.0,0.0,0.0,0.13650538,0.0,0.59828204,3.6675267,4.560587,1.780746,0.0,0.0,0.0,0.0,0.0,0.9788769,0.0,0.0,0.0,0.0,0.51129067,0.0,0.0,0.0,0.0,0.59357405,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0555484,0.0,0.0,1.5322441,0.0,0.0,0.0,0.0,0.0,0.0,0.19986,3.070537,0.0,0.0,0.52636003,0.0,0.0,0.0,0.0,0.0,4.585084,0.0,0.0,3.9753823,0.26256743,0.0,0.0,0.0,0.0,0.0,0.11385002,0.0,0.53480107,0.0,1.9488685,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.306977,0.0,0.0,0.0,0.0,0.12510094,0.0,4.2705584,0.0,0.0,2.3981216,0.0,0.0,0.0,1.203071,1.398079,0.0,0.0,3.328948,0.0,6.433605,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13251111,1.775856,0.0,0.0,0.0,0.0,0.0,0.0,2.7550652,0.0,0.0,2.9704287,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1267879,1.1776768,0.0,0.0,0.0,1.6258435,0.0,0.0,0.0,0.0,4.1039352,0.0,0.0,0.0,4.5733123,0.0,0.0,0.0,0.0,0.0,2.8692846,0.0,0.0
647V,0.0,0.0,0.0,0.0,0.0,0.0,1.1899014,0.0,0.07189251,0.0,0.39626545,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29554507,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.9809716,0.20766135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.162166,0.0,0.0,0.036344033,0.0,0.0,0.0,0.18284969,0.0,0.0,0.0,0.0,2.6636178,0.20862515,0.0,0.0,0.0,0.5433374,0.0,0.0,0.0,0.0,0.0,0.52771884,0.0,0.0,0.068862736,0.50673914,0.0,0.0,0.0,0.4894013,0.0,0.0,0.0,0.0,1.4652929,0.0,0.0,0.0,1.8603151,0.27005476,0.0,0.0,0.0,0.0,1.7117045,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6530542,0.0,0.0,0.043314826,0.0,0.0,0.0,0.0,0.0,0.12388517,0.0,0.54007435,3.3015924,4.1074376,1.6025286,0.0,0.0,0.0,0.0,0.0,0.87853783,0.0,0.0,0.0,0.0,0.4603282,0.0,0.0,0.0,0.0,0.53560454,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.94870687,0.0,0.0,1.3779932,0.0,0.0,0.0,0.0,0.0,0.0,0.17973426,2.7647502,0.0,0.0,0.47584718,0.0,0.0,0.0,0.0,0.0,4.126117,0.0,0.0,3.5780432,0.23646736,0.0,0.0,0.0,0.0,0.0,0.10320141,0.0,0.48090297,0.0,1.7561946,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.8769646,0.0,0.0,0.0,0.0,0.11059776,0.0,3.8434782,0.0,0.0,2.1581695,0.0,0.0,0.0,1.0831639,1.256994,0.0,0.0,2.9963217,0.0,5.7925653,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11536476,1.5982907,0.0,0.0,0.0,0.0,0.0,0.0,2.4785895,0.0,0.0,2.6745365,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0133321,1.0592334,0.0,0.0,0.0,1.4623033,0.0,0.0,0.0,0.0,3.6938825,0.0,0.0,0.0,4.115982,0.0,0.0,0.0,0.0,0.0,2.5828567,0.0,0.0
697,0.0,0.0,0.0,0.0,0.0,0.0,1.2996994,0.0,0.07872791,0.0,0.43254,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32236663,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.351858,0.2258422,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.549787,0.0,0.0,0.03991626,0.0,0.0,0.0,0.19932751,0.0,0.0,0.0,0.0,2.9131644,0.2288888,0.0,0.0,0.0,0.59468573,0.0,0.0,0.0,0.0,0.0,0.5786691,0.0,0.0,0.07674378,0.5529328,0.0,0.0,0.0,0.5356687,0.0,0.0,0.0,0.0,1.6027992,0.0,0.0,0.0,2.0334196,0.29428577,0.0,0.0,0.0,0.0,1.8721677,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7135007,0.0,0.0,0.048392486,0.0,0.0,0.0,0.0,0.0,0.13415183,0.0,0.5891117,3.608662,4.4879665,1.7523258,0.0,0.0,0.0,0.0,0.0,0.9627306,0.0,0.0,0.0,0.0,0.50328976,0.0,0.0,0.0,0.0,0.5842512,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0383898,0.0,0.0,1.5071365,0.0,0.0,0.0,0.0,0.0,0.0,0.19683674,3.021592,0.0,0.0,0.51809067,0.0,0.0,0.0,0.0,0.0,4.5112705,0.0,0.0,3.9117112,0.25827286,0.0,0.0,0.0,0.0,0.0,0.11193254,0.0,0.5262081,0.0,1.9179971,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.2380123,0.0,0.0,0.0,0.0,0.122743845,0.0,4.202256,0.0,0.0,2.3595147,0.0,0.0,0.0,1.1838408,1.3755685,0.0,0.0,3.2756314,0.0,6.330883,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12983128,1.7473707,0.0,0.0,0.0,0.0,0.0,0.0,2.7107244,0.0,0.0,2.923011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1085703,1.1588794,0.0,0.0,0.0,1.5996375,0.0,0.0,0.0,0.0,4.0380464,0.0,0.0,0.0,4.499776,0.0,0.0,0.0,0.0,0.0,2.8232584,0.0,0.0
769P,0.0,0.0,0.0,0.0,0.0,0.0,1.3697546,0.0,0.08307851,0.0,0.45553142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33923832,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.58893,0.23733969,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.7973166,0.0,0.0,0.042089205,0.0,0.0,0.0,0.20990281,0.0,0.0,0.0,0.0,3.0728228,0.241693,0.0,0.0,0.0,0.6272793,0.0,0.0,0.0,0.0,0.0,0.61101234,0.0,0.0,0.08164239,0.58236796,0.0,0.0,0.0,0.5655027,0.0,0.0,0.0,0.0,1.6908933,0.0,0.0,0.0,2.1442533,0.3098464,0.0,0.0,0.0,0.0,1.9746189,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7523628,0.0,0.0,0.051561724,0.0,0.0,0.0,0.0,0.0,0.14108814,0.0,0.6201621,3.805032,4.731002,1.8477632,0.0,0.0,0.0,0.0,0.0,1.0165578,0.0,0.0,0.0,0.0,0.5305136,0.0,0.0,0.0,0.0,0.61534476,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0957319,0.0,0.0,1.5901213,0.0,0.0,0.0,0.0,0.0,0.0,0.20752123,3.1856043,0.0,0.0,0.5452649,0.0,0.0,0.0,0.0,0.0,4.757706,0.0,0.0,4.1248436,0.27239078,0.0,0.0,0.0,0.0,0.0,0.1178424,0.0,0.555083,0.0,2.0212753,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.468643,0.0,0.0,0.0,0.0,0.13050756,0.0,4.4310856,0.0,0.0,2.488314,0.0,0.0,0.0,1.2481993,1.4511324,0.0,0.0,3.454063,0.0,6.6746426,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13896248,1.8425845,0.0,0.0,0.0,0.0,0.0,0.0,2.8590243,0.0,0.0,3.081646,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1694968,1.2222894,0.0,0.0,0.0,1.6873915,0.0,0.0,0.0,0.0,4.2580876,0.0,0.0,0.0,4.7451925,0.0,0.0,0.0,0.0,0.0,2.976926,0.0,0.0
786O,0.0,0.0,0.0,0.0,0.0,0.0,1.0167814,0.0,0.06090004,0.0,0.3392064,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25346783,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3954008,0.17914248,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5506456,0.0,0.0,0.03104804,0.0,0.0,0.0,0.1566302,0.0,0.0,0.0,0.0,2.269209,0.17685594,0.0,0.0,0.0,0.46264112,0.0,0.0,0.0,0.0,0.0,0.4475663,0.0,0.0,0.056423336,0.43406472,0.0,0.0,0.0,0.41565624,0.0,0.0,0.0,0.0,1.247852,0.0,0.0,0.0,1.5865256,0.23148702,0.0,0.0,0.0,0.0,1.4589422,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.55712986,0.0,0.0,0.03557689,0.0,0.0,0.0,0.0,0.0,0.10665394,0.0,0.46314973,2.8164206,3.5068204,1.3663882,0.0,0.0,0.0,0.0,0.0,0.74533886,0.0,0.0,0.0,0.0,0.39285612,0.0,0.0,0.0,0.0,0.45864502,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.80697334,0.0,0.0,1.1730982,0.0,0.0,0.0,0.0,0.0,0.0,0.15335825,2.3593605,0.0,0.0,0.40856385,0.0,0.0,0.0,0.0,0.0,3.517557,0.0,0.0,3.05131,0.2017164,0.0,0.0,0.0,0.0,0.0,0.08885165,0.0,0.40962958,0.0,1.5010993,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3069293,0.0,0.0,0.0,0.0,0.0912427,0.0,3.277681,0.0,0.0,1.8400724,0.0,0.0,0.0,0.92413396,1.0700201,0.0,0.0,2.5556283,0.0,4.9428086,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09244105,1.3630623,0.0,0.0,0.0,0.0,0.0,0.0,2.1122549,0.0,0.0,2.282431,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8627333,0.9026172,0.0,0.0,0.0,1.2454171,0.0,0.0,0.0,0.0,3.1501298,0.0,0.0,0.0,3.5097113,0.0,0.0,0.0,0.0,0.0,2.2030525,0.0,0.0
